index,detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
15,positive,positive,"[świetny, wysoki, kuchnia, wystrój, wnętrze, smaczny, piękny]","[niesamowity, świetny, wysoki, kuchnia, polecać, wystrój, wnętrze, deser, smaczny, piękny, obsługa, bardzo, danie, z, półka]",5.0,0.4253968253968254,Polecam. Bardzo smaczna kuchnia. Świetna obsługa. Piękny wystrój wnętrz. Niesamowite desery. Dania z najwyższej półki.,15.0,15.0,7.0
16,positive,positive,"[idealny, dobry, restauracja, kuchnia, obcokrajowiec, polski]","[do, warszawa, idealny, tatar, deser, dobry, także, wątróbka, restauracja, kuchnia, i, obcokrajowiec, polecać, polski, w, pokazać]",5.0,0.12083333333333332,Idealna restauracja do pokazania Polskiej kuchni obcokrajowcom. Najlepsza wątróbka w Warszawie! Polecam także tatar i desery.,16.0,16.0,6.0
17,negative,positive,"[czas, długi, wyjście, git, dziewczyna]","[czas, wszystko, długi, wyjście, tutaj, być, urok, przychodzić, lokal, git, długo, pamięć, i, na, od, w, pozostawać, z, po, dziewczyna]",4.0,-0.05,Urok lokalu pozostaje w pamięci na długo po wyjściu. Przychodzę tutaj z dziewczyną od dłuższego czasu i wszystko jest git.,20.0,20.0,5.0
18,negative,positive,"[róża, czas, ten, okazja, zacny, miejsce, stary, dola, jakiś, pani, piękny, restauracja, ludzie]","[róża, czas, ten, zawsze, piękne, ale, okazja, trzeba, dobre, namalować, pianino, opinia, zacny, na, miejsce, wybrać, jak, stary, coś, grać, do, iść, się, więc, sugerować, dola, jakiś, pani, piękny, mówić, dom, i, sporo, od, restauracja, ludzie, dość, być, z]",4.0,-0.012820512820512829,"Zacna okazja więc trzeba było wybrać coś dobrego. Od jakiegoś czasu przymierzalam się do tej restauracji i sugerując się opiniami jak zawsze mówię Idziemy. Piękne miejsce stary dom, z pięknymi namalowanymi różami na scianach, panią grającą na pianinie. Na dole dość sporo ludzi, ale na...Więcej",45.0,39.0,13.0
19,positive,positive,"[idealny, topowy, idealny, okazja, elegancki, cudowny, romantyczny, stara, restauracja, urodziny, polski, pyszny, rocznica]","[spróbować, idealny, co, topowy, idealny, okazja, ale, walentynki, intymność, salka, być, elegancki, cudowny, dla, romantyczny, na, willa, to, zmieniać, bywać, stara, pięknie, się, nie, gościa, klimat, restauracja, zapewniać, kilka, karta, z, urodziny, urządzić, polski, tyle, zagranica, że, dość, w, rzadko, pyszny, rocznica]",5.0,0.11706349206349205,"Topowa restauracja polska z cudownym klimatem w starej willi. Pięknie urządzona, romantyczna, kilka salek zapewniających intymność. Na eleganckie okazje idealna (urodziny, rocznice, Walentynki). Bywam dość rzadko (na tyle, że zmienia się karta) ale co nie spróbuję, to jest pyszne. Idealne dla gości z zagranicy, którzy...Więcej",45.0,42.0,13.0
20,positive,positive,"[sympatyczny, wzgląd, bajeczny, miejsce, miejsce, fantastyczny, ślub, pyszny, człowiek]","[sympatyczny, co, z, wiedzieć, ugościć, planować, wzgląd, zdecydowanie, my, na, polecać, musieć, bajeczny, to, bardzo, miejsce, robić, miejsce, fantastyczny, jedno, wszystko, mało, być, jedzenie, tylko, indziej, ślub, pyszny, i, człowiek, gdzie, zewnątrz, z, zrobić]",5.0,0.2034313725490196,"Było to jedno z miejsc gdzie planowaliśmy ślub.
Ugościł nas menager. Fantastyczny człowiek. Sympatyczny i zdecydowanie wie co robi.
Jedzenie bajeczne!!! Wszystko było pyszne.
Tylko ze względu na mało miejsca na zewnątrz musieliśmy zrobić gdzie indziej.
Polecam bardzo!",38.0,34.0,9.0
21,positive,positive,"[wystrój, kolacja, przyjaciel, fajny]","[przyjemny, się, wystrój, nie, wraz, uczcić, wybrać, lato, małżeństwo, zawieść, i, na, opinia, bardzo, kolacja, przyjaciel, fajny, obsługa, aby, z]",4.0,0.175,Bardzo fajny wystrój i przyjemna obsługa. Wraz z przyjaciółmi wybraliśmy się na kolację aby uczcić 30lecie małżeństwa. Nie zawiedliśmy się na opiniach.,22.0,20.0,4.0
22,positive,positive,"[ładny, pan, czas, dobry, biznesowy, miły, śliczny, wnętrze, wypad]","[czy, dwa, spotkanie, przy, polecać, bardzo, jak, ładny, pan, czas, we, gdzie, jedzenie, dobry, spędzić, biznesowy, jedzenie, kelner, zarówno, miły, i, śliczny, oraz, winko, rodzinka, miło, wnętrze, wypad, na, dobre, z, taras, ogródek]",5.0,0.08636363636363636,Bardzo dobre jedzenie ! Śliczny taras / ogródek gdzie spędziliśmy bardzo miło czas przy dobrym jedzeniu oraz winku :) ładne wnętrza i bardzo miły Pan kelner :) polecam zarówno na biznesowe spotkania jak i wypady we dwoje czy z rodzinką :),41.0,33.0,9.0
23,negative,positive,"[świąteczny, raz, ludzie, pycha, sprawny, aktor, restauracja, drugi, biznes, bez]","[wszystko, kraj, świąteczny, z, ale, dziw, najbardziej, być, wszyscy, tam, obiad, elegancko, raz, polecać, odwiedzić, już, smacznie, ludzie, do, jedzenie, pycha, sprawny, się, nie, być, aktor, restauracja, z, i, ta, polityk, drugi, biznes, nasz, odwiedzać, miło, obsługa, na, bez, wcale, rodzina, sławny]",5.0,-0.07837301587301587,"Drugi raz już jestem tam na obiedzie świątecznym z rodziną. Jest miło elegancko i smacznie. obsługa sprawna.
Polecam wszystko do jedzenia ale najbardziej beze pycha.
wcale się nie dziwie ze odwiedzili ta restauracje wszyscy sławni aktorzy ludzie biznesu i polityki odwiedzający nasz kraj. wszystko można...Więcej",45.0,42.0,10.0
24,positive,positive,"[domowy, ten, niedzielny, wyśmienity, czas, urodziny, wszystek, wystrój, dobry, ten, restauracja, kochać, obłędny, cudowny, atmosfera]","[wszystko, domowy, ten, za, zdanie, absolutnie, warszawa, niedzielny, wizyta, na, wyśmienity, gratulować, danie, wiele, czas, urodziny, obsługa, wszystek, wystrój, deser, dobry, lato, moi, ten, restauracja, kochać, i, od, po, obłędny, cudowny, atmosfera, w]",4.0,0.04011544011544011,Kocham tą restauracje absolutnie za wszystko od wielu lat. Najlepsze moim zdaniem w Warszawie! ❤️Cudowna atmosfera i obsługa. Dania wszystkie wyśmienite i ten domowy wystrój i obłędne desery. Menadzer na 6+. Gratuluje i dziekuje za cudowne wizyty i wspanialy czas od urodzin po niedzielne rodzinne...Więcej,45.0,33.0,15.0
25,neutral,positive,"[rocznica, ten, żona, restauracja]","[rocznica, ten, wybór, na, rzecz, wraz, że, być, umieć, dobór, najwyższy, być, to, bardzo, jak, poziom, żona, do, jedzenie, obsługa, jedzenie, się, doskonale, przyrządzić, restauracja, znać, kwestia, widać, zarówno, i, trafić, udać, w, moja, z, doradzić, wina]",5.0,0.0,"Udałem się do tej restauracji na rocznicę wraz z moją żoną i był to bardzo trafiony wybór. Obsługa restauracji jest na najwyższym poziomie, umie doradzić zarówno w kwestii jedzenia, jak i doboru wina - widać, że znają się na rzeczy. Jedzenie jest doskonale przyrządzone i...Więcej",45.0,37.0,4.0
26,positive,positive,[wysoki],"[jedzenie, cena, rzeczywiście, na, również, dość, obsługa, wysoki, poziom, dlatego]",5.0,0.07142857142857142,"Jedzenia rzeczywiście na wysokim poziomie, obsługa również dlatego ceny również na dość wysokim poziomie.",14.0,10.0,1.0
27,positive,positive,"[klimatycznie, romantyczny, wrażenie, uczynny, miejsce, kolacja, duży, czas]","[warto, obsługa, jedzenie, zapłacić, dwa, żeby, miło, klimatycznie, moja, też, romantyczny, spędzić, pod, żywo, super, lokal, dla, wrażenie, uczynny, i, na, tyle, miejsce, kolacja, muzyka, luba, była, dobre, duży, czas]",5.0,0.06944444444444445,"Na romantyczną kolację dla dwojga, super miejsce. Klimatycznie, muzyka na żywo, dobre jedzenie i uczynna obsługa. Warto tyle zapłacić, żeby miło spędzić czas. Moja luba też była pod dużym wrażeniem lokalu",31.0,30.0,8.0
28,negative,positive,"[stary, dola, inny, styl, biznesowy, rodzinny, atmosfera, zbliżony]","[stary, mniejszy, choć, dola, inny, lubić, tam, przeszkadzać, zasada, no, na, styl, to, danie, część, jak, sprzyjać, nieco, do, przychodzić, jedzenie, rozmówić, nie, więc, nowocześnie, obiad, zarówno, biznesowy, i, rodzinny, góra, halka, atmosfera, zbliżony, w, menu, smakowo, bardzo]",5.0,-0.03947368421052632,"Lubimy tam przychodzić. Atmosfera sprzyja zarówno do rozmów biznesowych jak i do rodzinnego obiadu. Na dole część bardziej w starym stylu, na górze nowocześnie. Jedzenie b.dobre. W zasadzie zbliżone smakowo do Halki, choć dania mniejsze (to nie przeszkadza) no i nieco inne menu więc miło....Więcej",45.0,38.0,8.0
29,positive,positive,[adekwatny],"[tym, do, i, my, bardzo, w, adekwatny, mila]",5.0,0.125,bylo nam bardzo milo goscic w tym miejscu.Bylismy glodni i wyszlismy najedzeni.Ceny adekwatne do posilkow.,15.0,8.0,1.0
30,positive,positive,"[wystrój, prezentacja, wizualny, renoma]","[wyprzedzenie, wystrój, trzeba, fortepian, koniecznie, żywo, niesamowity, deser, rezerwować, na, prezentacja, wizualny, taka, muzyka, z, renoma]",5.0,0.0625,"Niesamowity wystrój, muzyka na żywo - fortepian. Prezentacja wizualna deserów :)
Koniecznie trzeba rezerwować z wyprzedzeniem, taka renoma.",18.0,16.0,4.0
31,positive,positive,"[wystrój, imieniny, mama, różany, ten, miejsce, fajny, pycha, fajny, okolicznościowy, urodziny, klimatyczny, miła]","[warto, wszystko, dodawać, łosoś, muzyka, wystrój, trzeba, kawior, zorganizować, salka, imieniny, spotkanie, i tym podobne, mama, wcześnie, różany, na, bardzo, ten, miejsce, danie, fajny, raczej, placuszek, do, pycha, fajny, nad, okolicznościowy, zarezerwować, miejscówka, żywo, weekend, a, urodziny, i, klimatyczny, w, miła, dobre, z]",4.0,0.0975609756097561,"Okolicznościowe spotkania ( imieniny, urodziny itp.) warto zorganizować w Różanej. Klimatyczne salki,
fajny wystrój a nade wszystko bardzo dobre dania (placuszki z kawiorem i łososiem - pycha).. Dodając do tego miłą obsługę,dyskretną muzykę na żywo mamy fajną miejscówkę.
W weekend raczej trzeba wcześniej zarezerwować miejsce.",45.0,41.0,13.0
32,positive,positive,"[duży, pyszny, różany, miła, który, mięsny, pyszny]","[sprawiać, można, wybór, że, też, obiad, duży, zawsze, pyszny, być, to, różany, na, tu, bywać, myśleć, kierować, jak, kroki, miła, do, który, często, nie, ryba, super, deser, wspomnąć, o, swoje, liczyć, mięsny, dość, obsługa, pyszny, weekendowy, danie]",5.0,0.03153153153153153,"Bywamy tu dość często, zawsze super miła obsługa . Duży wybór deserów sprawia, że zawsze jak myślę o weekendowym obiedzie to swoje kroki kieruję do Różanej!
Można też liczyć na pyszną rybę nie wspomnę o daniach mięsnych, które są pyszne !",41.0,37.0,7.0
33,negative,positive,"[bratowa, amerykański, bliski, krewny, wszystek, sentyment, miejsce, przemiły, stosunek, rodzinny, klimatyczny, jubileusz, wielki, kuzynka]","[przyjazd, przed, bratowa, moja, październik, amerykański, cena, niezwykle, być, to, bliski, krewny, wszystko, w, jedzenie, wszystek, pięciokrotnie, sentyment, uwielbiać, miejsce, przemiły, stosunek, rodzinny, a, z, świętować, i, od, klimatyczny, jubileusz, obsługa, dobre, wielki, kuzynka, wspominać]",5.0,-0.06000000000000001,"Wszystkie rodzinne jubileusze i przyjazdy najbliższych krewnych z USA świętujemy w ""Różanej"" - od października byliśmy pięciokrotnie. Uwielbiam to niezwykle klimatyczne miejsce, a moja bratowa i kuzynki wspominają amerykańskie ""Różaną"" z wielkim sentymentem. Dobre jedzenie, niewygorowane ceny, a przede wszystkim przemiła obsługa; stosunek ceny do...Więcej",45.0,35.0,14.0
34,positive,positive,[profesjonalny],"[kilka, sala, i, na, polecać, lunch, bardzo, jak, profesjonalny, dobre, smacznie, super]",5.0,0.16666666666666666,"super smacznie, bardzo polecam, kilka sal, profesjonalna obsluga, dobre na lunch jak i na sniadanie j",16.0,12.0,1.0
35,positive,positive,"[okazja, biznes, brunch, klimatyczny]","[rodzina, lunch, na, okazja, lub, biznes, bardzo, danie, dobre, brunch, z, super, klimatyczny]",4.0,0.07692307692307693,"Lunch, brunch, z rodziną lub biznesie, na kazdą okazje super. Bardzo dobre dania. Klimatyczny wystroj.",15.0,13.0,4.0
36,positive,positive,"[pyszny, elegancki, pełny, restauracja, rodzic, biznesowy, randka, czas, restauracja, ten, kolacja]","[ci, albo, pyszny, elegancki, pełny, restauracja, na, rodzic, biznesowy, to, lub, randka, czas, móc, do, obiad, chcieć, coś, lunch, restauracja, przekonanie, spędzić, teściowie, ten, polecić, zjeść, iść, i, jeżeli, kolacja, miło, zabrać, z, stylowy]",5.0,0.09243697478991596,"Jeżeli chcesz iść do stylowej restauracji na randkę, albo lunch lub kolację biznesową, albo zabrać na elegancki obiad rodziców lub teściów, albo zjeść coś pysznego i spędzić miło czas z żoną/mężem, to tą restaurację mogę Ci z pełnym przekonaniem polecić!",40.0,34.0,11.0
37,positive,positive,"[świetny, różany, dobry, profesjonalny, uprzejmy, pyszny, cielęcina, odpowiedni, rodzinny]","[chyba, kopytka, doradzić, obiad, być, świetny, różany, na, może, rosół, narzucać, potrafić, obsługa, się, doskonale, nie, dobry, potraw, profesjonalny, znać, super, uprzejmy, kelner, pyszny, i, oraz, kołdun, cielęcina, wino, w, menu, była, z, troszkę, odpowiedni, rodzinny]",5.0,0.18796296296296305,"Byłam w Różanej na rodzinnym obiedzie, świetna obsługa, chyba najlepsza w miescie - super profesjonalna, uprzejma i nie narzucająca się. Kelnerzy doskonale znają menu i potrawy i potrafią doradzić odpowiednie wino. Jadlam pyszny rosół z kołdunami oraz cielecinę z kopytkami. Cielęcina była może troszkę za...Więcej",45.0,36.0,9.0
38,neutral,negative,[],"[sałata, prawie, nie, kartofla, mniej, mnóstwo, listek, pod, już, a, widać, talerz, na, ryba, to, mięso, soczewica, coraz]",2.0,0.0,"Mnóstwo kartofli, mnóstwo soczewicy a mięsa coraz mniej. Ryb to już prawie nie widać na talerzu pod listkiem sałaty",19.0,18.0,0.0
39,negative,positive,"[ten, świeży, słoneczny, wystrój, pani, przesadny, jedyny, mały, nadęcie, restauracja, piękny, minus]","[ten, świeży, słoneczny, dobrze, wystrój, klimat, zapomniały, pani, pomylić, profesjonalnie, przesadny, zamówienie, jedyny, mały, to, danie, nadęcie, dopytywać, wina, się, składnik, restauracja, niby, obsługa, mimo, skomponować, a, jednak, i, zwłaszcza, dzień, o, piękny, w, z, minus, ogródek]",4.0,-0.025740025740025745,Piękny wystrój i klimat tej restauracji. Zwłaszcza ogródek w piękny słoneczny dzień. Świeże składniki i dobrze skomponowane dania. Jedyny mały minus to obsługa. Niby profesjonalnie a jednak z nadęciem i przesadnym dopytywaniem. Mimo to Pani pomyliła się z 1 zamówieniem i zapomniała o winie. Trzeba...Więcej,45.0,37.0,12.0
40,positive,positive,"[świetny, miejsce, atmosfera, pyszny]","[przyjemny, świetny, jedzenie, wrócić, i, na, tu, wieczor, miejsce, bardzo, atmosfera, spędzić, pyszny]",5.0,0.20512820512820512,Bardzo przyjemne miejsce na spędzenie wieczoru. Świetna atmosfera i pyszne jedzenie. Na pewo tu wrócimy,15.0,13.0,4.0
41,positive,positive,"[rewelacyjny, sympatyczny]","[przyjemny, rewelacyjny, na, sympatyczny, wieczor, bardzo, spędzić, wspólnie]",5.0,0.4583333333333334,"Rewelacyjna obsługa,świetna kuchnia.Miejsce bardzo przyjemne na spędzenie wspólnie sympatycznego wieczoru.",10.0,8.0,2.0
42,neutral,negative,"[ten, czas, restauracja]","[ten, wydawać, z, czas, nie, restauracja, si, wrócić]",3.0,0.0,Wydaje sie ze czasy swietnosci tej restauracji minęly bezpowrotnie...jedzenie srednir.bez zaskoczen..obsługa srednia..tylko crny wciąz wysokie..raczej nie wrócę,17.0,8.0,3.0
43,positive,positive,"[smaczny, gust, typowy, wybredny, polski, wystrój, klient, piękny, restauracja]","[smaczny, gust, typowy, wybredny, polski, z, wystrój, jedzenie, klient, piękny, zaspokoić, restauracja]",5.0,0.055555555555555546,Typowa polska restauracja ze smacznym jedzeniem. Piękny wystrój zaspokoi gusta najwybredniejszych klientów.,12.0,12.0,9.0
44,positive,positive,"[czerwcowy, miejsce, restauracja, różany, różany, efekt, świeży, każdy, biznesowy, gościnność, wnętrze]","[można, czy, zawsze, nigdy, czerwcowy, jedno, przyjemny, miejsce, restauracja, różany, różany, na, wow, to, spotkać, kwiat, uprzyjemniać, efekt, późny, ilości, nie, kontekst, świeży, taki, lato, korzystać, zarówno, każdy, i, biznesowy, dekorować, jesienić, liczyć, gościnność, wnętrze, w, z, okoliczności]",5.0,0.11842105263157895,"Na Restaurację Różaną można liczyć w każdych okolicznościach. Zawsze efekt - wow! Takiej ilości świeżych kwiatów w jednym miejscu nigdy nie spotkałam. Uprzyjemniają i dekorują wnętrza czy to w lecie czy późną jesienią. Korzystałam z gościnności Różanej zarówno w kontekście biznesowym, w przyjemny czerwcowy wieczór,...Więcej",45.0,38.0,11.0
45,positive,negative,"[możliwość, zadowolony, znak, pomocny, plus, ja, ładny, mama, przypadkowy]","[możliwość, zadowolony, przed, znak, dużo, reszta, skorzystać, być, pomocny, tak, żywo, na, towarzystwo, tytuł, plus, ja, to, bardzo, czego, ładny, gościa, kwiat, gabinecik, wszystko, do, w, nie, zapytanie, skąd, zaproszenie, mama, pianista, wydzielić, skoro, tytuł, uwaga, przypadkowy, po, pomieszczenie, obsługa, była, z]",3.0,0.1011904761904762,"Znak zapytania w tytule nie jest przypadkowy - reszta towarzystwa była bardzo zadowolona. Ja mam uwagi. Przede wszystkim plusy. Dużo kwiatów, ładne pomieszczenia, pianista na żywo, bardzo pomocna obsługa. Możliwość zaproszenia gości do wydzielonego gabineciku, z czego skorzystałem. Skoro tak to skąd tytuł? Po prostu...Więcej",45.0,42.0,9.0
46,positive,positive,"[fachowy, kuchnia, wystrój, ktoś, muza, polski, kuchnia, wyśmienity, nastrojowy]","[sporo, chcieć, fachowy, choć, do, kuchnia, tylko, wystrój, ktoś, spróbować, syta, ściszyć, muza, i, polski, kuchnia, wyśmienity, tu, nastrojowy, szybka, to, trza, obsługa, jeśli, trochę, dobra]",5.0,0.22435897435897434,Kuchnia wyśmienita szybka fachowa obsługa wystrój nastrojowy muza dobra choć trochę trza ściszyć momentami.polecam jeśli ktoś chce spróbować polska kuchnie to tylko tu sporo i do syta,27.0,26.0,9.0
