detectedEmotion,emotion,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
negative,positive,"[Słodkogorzki, dramat, okraszony, dość, specyficznym, humorem, w, którym, nawet, słupki, statystyk, i, dziwnie, brzmiące, hasła, bankierskie, podawane, są, w, przystępnej, i, przyjemnej, formie]",8.3,-0.08695652173913043,"Słodko-gorzki dramat okraszony dość specyficznym humorem, w którym nawet słupki statystyk i dziwnie brzmiące hasła bankierskie podawane są w przystępnej i przyjemnej formie.",23.0,23.0,2.0
neutral,positive,"[McKay, znalazł, błyskotliwą, formę, dla, swojej, opowieści, przez, którą, prowadzą, nas, również, bohaterowie, zwracając, się, bezpośrednio, do, widzów, Znakomicie, zrównoważył, świetne, poczucie, humoru, z, wątkami, poruszającymi, nadzwyczaj, zajmująco, budując, dramaturgię, Przede, wszystkim, jednak, oparł, historię, na, frapujących, i, co, ważne, autentycznych, postaciach]",8.3,0.0,"McKay znalazł błyskotliwą formę dla swojej opowieści, przez którą prowadzą nas również bohaterowie, zwracając się bezpośrednio do widzów. Znakomicie zrównoważył świetne poczucie humoru z wątkami poruszającymi, nadzwyczaj zajmująco budując dramaturgię. Przede wszystkim jednak oparł historię na frapujących i co ważne - autentycznych postaciach.",43.0,42.0,0.0
positive,positive,"[Posługuje, się, w, sposób, niezwykle, finezyjny, estetyką, dokumentalizującą]",8.3,0.125,Posługuje się w sposób niezwykle finezyjny estetyką dokumentalizującą.,8.0,8.0,1.0
positive,positive,"[Lekki, w, formie, błyskotliwy, ""Big, short"", jest, filmem, bardzo, ważnym, i, potrzebnym]",8.3,0.125,"Lekki w formie, błyskotliwy ""Big short"" jest filmem bardzo ważnym i potrzebnym.",12.0,12.0,1.0
neutral,positive,"[Świetnie, opowiedziana, historia, która, pozwala, zrozumieć, genezę, i, konsekwencje, kryzysu, finansowego, Już, sama, obsada, aktorska, zachęca, do, sięgnięcia, właśnie, po, tę, pozycję]",8.0,0.0,"Świetnie opowiedziana historia, która pozwala zrozumieć genezę i konsekwencje kryzysu finansowego. Już sama obsada aktorska zachęca do sięgnięcia właśnie po tę pozycję.",22.0,22.0,0.0
negative,positive,"[Choć, film, ciężki, i, nudny, warto, go, zobaczyć, Zrozumieć, procesy, które, wpłynęły, na, nasze, życia]",8.0,-0.21025641025641026,"Choć film ciężki i nudny, warto go zobaczyć. Zrozumieć procesy, które wpłynęły na nasze życia.",15.0,15.0,3.0
neutral,positive,"[Mało, z, tego, zrozumiałem, ale, nie, przeszkodziło, mi, to, dobrze, się, bawić, poznając, tę, historię, Sprawdźcie, czy, będziecie, mieć, podobnie, moim, zdaniem, warto]",8.0,0.0,"Mało z tego zrozumiałem, ale nie przeszkodziło mi to dobrze się bawić, poznając tę historię. Sprawdźcie, czy będziecie mieć podobnie - moim zdaniem warto.",24.0,23.0,0.0
neutral,positive,"[Dawno, jednak, nie, trafiłam, na, film, z, którego, tak, dużo, nie, zrozumiałam, a, który, jednak, tak, bardzo, mi, się, podobał]",8.0,0.0,"Dawno jednak nie trafiłam na film, z którego tak dużo nie zrozumiałam, a który jednak tak bardzo mi się podobał.",20.0,20.0,1.0
positive,positive,"[Doskonale, zrealizowany, film, będzie, w, ścisłej, czołówce, w, wyścigu, po, Oscary, bo, i, temat, na, czasie, i, aktorstwo, naprawdę, przednie, a, że, jest, mądry, i, ważny, tylko, pomagają, go, lubić]",8.0,0.011111111111111112,"Doskonale zrealizowany film będzie w ścisłej czołówce w wyścigu po Oscary, bo i temat na czasie, i aktorstwo naprawdę przednie, a że jest mądry i ważny tylko pomagają go lubić.",30.0,30.0,3.0
negative,positive,"[Zaskakująco, szalony, jak, na, film, o, facetach, w, garniturach]",8.0,-0.07407407407407407,Zaskakująco szalony jak na film o facetach w garniturach.,9.0,9.0,1.0
neutral,positive,"[Przystępnie, wartko, i, z, humorem]",8.0,0.0,"Przystępnie, wartko i z humorem.",5.0,5.0,0.0
positive,positive,"[Twórcy, swój, światopogląd, prezentują, jasno, i, inteligentnie, Dawno, nikt, z, taką, gracją, nie, wcielał, w, życie, poczciwej, oświeceniowej, zasady, ""bawiąc, uczyć""]",8.0,0.047619047619047616,"Twórcy swój światopogląd prezentują jasno i inteligentnie. Dawno nikt z taką gracją nie wcielał w życie poczciwej oświeceniowej zasady ""bawiąc, uczyć"".",21.0,21.0,4.0
negative,positive,"[Kompensacyjna, komedia, o, przyczynach, kryzysu, ekonomicznego, z, 2008, roku, I, jednocześnie, o, ludzkiej, głupocie, Diabelsko, sprytna]",7.5,-0.0625,Kompensacyjna komedia o przyczynach kryzysu ekonomicznego z 2008 roku. I jednocześnie o ludzkiej głupocie. Diabelsko sprytna.,16.0,16.0,1.0
neutral,positive,"[Potrafi, zafascynować, ale, i, znużyć, zaciekawić, ale, też, ugiąć, się, pod, ciężarem, braku, znajomości, terminów, i, zawiłości, procesów, bankowych, itd]",7.0,0.0,"Potrafi zafascynować, ale i znużyć, zaciekawić, ale też ugiąć się pod ciężarem braku znajomości terminów i zawiłości procesów bankowych itd.",20.0,20.0,0.0
neutral,positive,"[Cieszę, się, że, reżyser, zdecydował, się, na, walkę, z, wiatrakami, Nawet, jeżeli, tylko, je, pokazał, warto, było, nakręcić, ten, film]",7.0,0.0,"Cieszę się, że reżyser zdecydował się na walkę z wiatrakami. Nawet jeżeli tylko je pokazał, warto było nakręcić ten film.",20.0,20.0,1.0
neutral,positive,"[Dobrze, że, twórcy, nie, uciekają, się, do, taniego, moralizowania, nie, wskazują, konkretnie, sprawców, kryzysu, w, postaci, konkretnych, osób, czy, nawet, instytucji, ale, wyraźnie, sygnalizują, że, wpłynęło, na, to, wiele, czynników]",7.0,0.0,"Dobrze, że twórcy nie uciekają się do taniego moralizowania, nie wskazują konkretnie sprawców kryzysu w postaci konkretnych osób czy nawet instytucji, ale wyraźnie sygnalizują, że wpłynęło na to wiele czynników.",30.0,30.0,0.0
negative,positive,"[Ogląda, się, to, przede, wszystkim, przyjemnie, McKay, tworzy, dzieło, atrakcyjne, świetne, wizualnie, z, porządną, energetyczną, ścieżką, dźwiękową, która, nie, pozwoli, popaść, w, czasie, oglądania, w, marazm]",7.0,-0.07692307692307693,"Ogląda się to przede wszystkim przyjemnie. McKay tworzy dzieło atrakcyjne, świetne wizualnie, z porządną, energetyczną ścieżką dźwiękową, która nie pozwoli popaść w czasie oglądania w marazm.",26.0,26.0,1.0
neutral,positive,"[Film, ten, choć, ubrany, w, szaty, komedii, nie, należy, do, seansów, łatwych, Tym, których, nie, wciągnie, dość, zawiła, opowieść, na, pocieszenie, zostają, kreacje, aktorskie, a, zdolnych, aktorów, w, tej, produkcji, jest, akurat, pod, dostatkiem]",6.0,0.0,"Film ten choć ubrany w szaty komedii, nie należy do seansów łatwych. Tym, których nie wciągnie dość zawiła opowieść, na pocieszenie zostają kreacje aktorskie, a zdolnych aktorów w tej produkcji jest akurat pod dostatkiem.",34.0,34.0,2.0
neutral,positive,"[Mam, jednak, wrażenie, że, film, został, stworzony, nie, dla, zwykłych, ludzi, tylko, tych, specjalizujących, się, w, temacie]",6.0,0.0,"Mam jednak wrażenie, że film został stworzony nie dla zwykłych ludzi tylko tych specjalizujących się w temacie.",17.0,17.0,1.0
neutral,positive,"[McKayowi, paradoksalnie, udaje, się, pośród, chaosu, i, świecidełek, zawrzeć, klarowną, z, biegiem, czasu, coraz, bardziej, zajmującą, historię, Tak, więc, mimo, przefajnowania, warto]",6.0,0.0,"McKayowi paradoksalnie udaje się pośród chaosu i świecidełek zawrzeć klarowną, z biegiem czasu coraz bardziej zajmującą historię. Tak więc, mimo przefajnowania - warto.",23.0,22.0,0.0
positive,positive,"[Jest, śmiałą, próbą, przedstawienia, początków, kryzysu, finansowego, w, możliwie, przystępny, sposób, na, dodatek, balansując, pomiędzy, dramatem, a, komedią]",6.0,0.05555555555555555,"Jest śmiałą próbą przedstawienia początków kryzysu finansowego w możliwie przystępny sposób, na dodatek balansując pomiędzy dramatem a komedią.",18.0,18.0,1.0
neutral,negative,"[Film, z, ciekawym, pomysłem, i, ze, skopaną, realizacją, gdzie, powaga, miesza, się, z, groteską, a, ciągłe, puszczanie, ""oczka"", do, widza, nuży, już, po, drugim, zdaniu, Ryana, Goslinga]",5.0,0.0,"Film z ciekawym pomysłem i ze skopaną realizacją, gdzie powaga miesza się z groteską, a ciągłe puszczanie ""oczka"" do widza nuży już po drugim zdaniu Ryana Goslinga.",27.0,27.0,1.0
negative,positive,"[Ma, w, sobie, słodycz, ""Amelii"", jest, poetycki, ale, nie, koturnowy, śmieszny, ale, nie, ośmieszający, zuchwały, ale, nie, obraźliwy, I, wcale, nie, tak, bluźnierczy, jakby, zapowiadał, początek, nie, ma, tu, śladu, cynicznej, zgrywy, szuka, się, w, nim, fakt, że, przewrotnie, alternatywnych, ładów, moralnych, szuka, nadziei]",8.3,-0.06818181818181818,"Ma w sobie słodycz ""Amelii"", jest poetycki, ale nie koturnowy, śmieszny, ale nie ośmieszający, zuchwały, ale nie obraźliwy. I wcale nie tak bluźnierczy, jakby zapowiadał początek: nie ma tu śladu cynicznej zgrywy, szuka się w nim - fakt, że przewrotnie - alternatywnych ładów moralnych, szuka nadziei.",46.0,44.0,8.0
positive,positive,"[Przepełniony, jest, gagami, które, stanowią, spójny, rozwój, fabuły, oraz, utrzymują, zainteresowanie, widza]",8.0,0.2916666666666667,"Przepełniony jest gagami, które stanowią spójny rozwój fabuły oraz utrzymują zainteresowanie widza.",12.0,12.0,3.0
neutral,positive,"[Obrazoburczy, w, założeniu, ale, w, wykonaniu, już, nieco, mniej, Van, Dormael, nie, liczy, bowiem, na, ekskomunikę, ale, po, prostu, na, dobrą, zabawą, I, ją, zapewnia]",8.0,0.0,"Obrazoburczy w założeniu, ale w wykonaniu już nieco mniej. Van Dormael nie liczy bowiem na ekskomunikę, ale po prostu na dobrą zabawą. I ją zapewnia.",25.0,25.0,0.0
negative,positive,"[Bardzo, dobrze, zrealizowana, komedia, która, powinna, bawić, w, szczególności, wybredniejszych, widzów]",8.0,-0.09090909090909091,"Bardzo dobrze zrealizowana komedia, która powinna bawić w szczególności wybredniejszych widzów.",11.0,11.0,1.0
positive,positive,"[Im, dalej, w, las, tym, słabiej, i, nie, cały, film, trzyma, wysoki, fason, Ale, i, tak, warto]",7.0,0.06162464985994398,"Im dalej w las, tym słabiej i nie cały film trzyma wysoki fason. Ale i tak warto.",17.0,17.0,2.0
negative,positive,"[Jego, sztywna, forma, miejscami, trochę, nuży, lecz, treść, tworzy, jeden, z, najbardziej, przejmujących, ekranowych, obrazów, człowieczeństwa]",6.7,-0.0625,"Jego sztywna forma miejscami trochę nuży, lecz treść tworzy jeden z najbardziej przejmujących, ekranowych obrazów człowieczeństwa.",16.0,16.0,3.0
neutral,positive,"[Byłem, bliżej, rozczarowania, niż, oczarowania, ale, w, regularnym, repertuarze, ""Zupełnie, Nowym, Testamentem"", można, się, zupełnie, swobodnie, zachwycać]",6.7,0.0,"Byłem bliżej rozczarowania, niż oczarowania, ale w regularnym repertuarze ""Zupełnie Nowym Testamentem"" można się zupełnie swobodnie zachwycać.",17.0,17.0,0.0
positive,positive,"[Stanowi, z, pewnością, przede, wszystkim, ciekawy, pomysł, na, film, który, niestety, z, kolejnymi, minutami, nieco, się, rozmywa, Mimo, to, ze, względu, na, humor, i, wykreowanie, postaci, i, świata, ogląda, się, go, z, przyjemnością]",6.0,0.10606060606060606,"Stanowi z pewnością przede wszystkim ciekawy pomysł na film, który niestety z kolejnymi minutami nieco się rozmywa. Mimo to, ze względu na humor i wykreowanie postaci i świata, ogląda się go z przyjemnością.",33.0,33.0,4.0
positive,positive,"[Ma, swoje, niezłe, momenty, choć, jest, nieco, zbyt, przeciągnięty, i, trochę, udający, bycie, czymś, poważniejszym, niż, tylko, zwykłą, komedią, fantasy, Ale, na, szczęście, w, wielu, momentach, potrafi, przyzwoicie, widza, rozbawić, i, w, sumie, chyba, właśnie, o, to, chodzi]",6.0,0.05263157894736842,"Ma swoje niezłe momenty, choć jest nieco zbyt przeciągnięty i trochę udający bycie czymś poważniejszym niż tylko zwykłą komedią fantasy. Ale na szczęście w wielu momentach potrafi przyzwoicie widza rozbawić i w sumie chyba właśnie o to chodzi.",38.0,38.0,2.0
neutral,positive,"[Wypełniony, jest, oklepanymi, do, bólu, prawdami, objawionymi, i, ogranymi, chwytami]",6.0,0.0,Wypełniony jest oklepanymi do bólu prawdami objawionymi i ogranymi chwytami.,10.0,10.0,0.0
neutral,positive,"[Van, Dormael, nie, zaskoczył, i, nie, stworzył, filmu, stricte, gatunkowego, Belgijski, reżyser, dalej, łączy, zabawne, z, poważnym, chociaż, w, innych, proporcjach, i, nie, jest, już, w, takiej, formie, jak, przy, poprzednich, filmach]",6.0,0.0,"Van Dormael nie zaskoczył i nie stworzył filmu stricte gatunkowego. Belgijski reżyser dalej łączy zabawne z poważnym, chociaż w innych proporcjach i nie jest już w takiej formie jak przy poprzednich filmach.",32.0,32.0,0.0
neutral,positive,"[Ciekawa, propozycja, dla, widzów, z, dystansem, do, siebie, religii, i, swojej, wiary]",6.0,0.0,"Ciekawa propozycja dla widzów z dystansem do siebie, religii i swojej wiary.",12.0,12.0,0.0
neutral,positive,"[Jest, efektownym, poradnikiem, samoakceptacji, ""Biblią, dla, opornych"", niezłą, komedią, i, przyzwoitą, tragedią, Wszystkim, tylko, nie, filmem, który, sugeruje, tytuł]",6.0,0.0,"Jest efektownym poradnikiem samoakceptacji, ""Biblią dla opornych"", niezłą komedią i przyzwoitą tragedią. Wszystkim tylko nie filmem, który sugeruje tytuł.",19.0,19.0,1.0
neutral,negative,"[Co, chwilę, gubi, tempo, Pośród, natłoku, często, dowcipnych, pomysłów, ginie, feeling, tak, potrzebny, w, przywiązaniu, widza, do, komediowego, repertuaru]",5.0,0.0,"Co chwilę gubi tempo. Pośród natłoku często dowcipnych pomysłów ginie feeling, tak potrzebny w przywiązaniu widza do komediowego repertuaru.",19.0,19.0,1.0
neutral,negative,"[Jest, więc, filmem, przyzwoitym, ale, na, wielkie, laury, nie, zasługuje]",5.0,0.0,"Jest więc filmem przyzwoitym, ale na wielkie laury nie zasługuje.",10.0,10.0,0.0
neutral,negative,"[Pozostaje, ciekawym, konceptem, którego, rozwinięcie, mogłoby, być, o, wiele, lepsze]",5.0,0.0,"Pozostaje ciekawym konceptem, którego rozwinięcie mogłoby być o wiele lepsze.",10.0,10.0,0.0
neutral,negative,"[Laicka, zabawa, katolicką, ikonografią, i, schematami, z, hollywoodzkiego, kina, biblijnego, Ani, obrazoburcza, ani, specjalnie, mądra, w, swojej, przewrotności]",5.0,0.0,"Laicka zabawa katolicką ikonografią i schematami z hollywoodzkiego kina biblijnego. Ani obrazoburcza, ani specjalnie mądra w swojej przewrotności.",18.0,18.0,1.0
neutral,negative,"[Historycznomaterialistyczny, model, kina, upchnięty, w, nibyrozrywkowy, film, i, zakamuflowany, pod, słowem, ""komedia"", odbieram, jako, próbę, oszustwa]",4.0,0.0,"Historyczno-materialistyczny model kina upchnięty w niby-rozrywkowy film i zakamuflowany pod słowem ""komedia"" odbieram jako próbę oszustwa.",16.0,16.0,0.0
negative,negative,"[Ogół, puent, gagów, i, humorystycznych, zabiegów, to, w, większości, katalog, już, dawno, zużyty, i, zwyczajnie, mało, zabawny, Film, zaledwie, snuje, się, po, powierzchni, i, niestety, nieudolnie, usiłuje, stworzyć, niebanalną, narrację]",4.0,-0.016666666666666666,"Ogół puent, gagów i humorystycznych zabiegów to w większości katalog już dawno zużyty i zwyczajnie mało zabawny. Film zaledwie snuje się po powierzchni i niestety nieudolnie usiłuje stworzyć niebanalną narrację.",30.0,30.0,2.0
neutral,negative,"[Ślizga, się, po, nieco, kontrowersyjnym, temacie, ale, poprzez, nijaką, i, nudną, warstwę, fabularną, nuży, szybciej, niż, powietrze, wypuszczane, z, napompowanego, balonika]",4.0,0.0,"Ślizga się po nieco kontrowersyjnym temacie, ale poprzez nijaką i nudną warstwę fabularną, nuży szybciej niż powietrze wypuszczane z napompowanego balonika.",21.0,21.0,0.0
positive,positive,"[Pisanie, o, mistrzostwie, Sekretu, w, ich, oczach, jako, takim, byłoby, przesadą, ale, jeśli, nie, oglądało, się, pierwszej, wersji, thrillera, ani, nie, czytało, książki, na, podstawie, której, powstały, obydwie, produkcje, film, Billyego, Raya, można, po, prostu, uznać, za, dobry]",7.2,0.02456140350877193,"Pisanie o mistrzostwie Sekretu w ich oczach jako takim byłoby przesadą, ale jeśli nie oglądało się pierwszej wersji thrillera, ani nie czytało książki, na podstawie której powstały obydwie produkcje, film Billy'ego Raya można po prostu uznać za dobry.",38.0,38.0,1.0
negative,positive,"[Nie, jest, to, bynajmniej, zły, lub, całkiem, nieudany, film, po, prostu, w, zestawieniu, z, oryginałem, wypada, blado]",6.0,-0.10294117647058823,Nie jest to bynajmniej zły lub całkiem nieudany film - po prostu w zestawieniu z oryginałem wypada blado...,18.0,17.0,2.0
neutral,negative,"[Dłużył, mi, się, strasznie, Ostatecznie, okazało, się, że, warto, było, poczekać, ale, rozwlekanie, tego, ""dzieła"", służy, chyba, tylko, temu, żeby, było, bardziej, ""artystyczne""]",5.0,0.0,"Dłużył mi się strasznie. Ostatecznie okazało się, że warto było poczekać, ale rozwlekanie tego ""dzieła"" służy chyba tylko temu, żeby było bardziej ""artystyczne"".",23.0,23.0,0.0
positive,negative,"[Na, tle, poprzednich, filmów, reżysera, rozczarowuje, Brak, jest, ciekawie, opowiedzianej, historii, niemalże, liźnięcie, kwestii, dotyczącej, walki, z, terroryzmem, i, brakiem, chemii, między, odtwórcami, głównych, ról, rażą, swoją, sztucznością]",5.0,0.03571428571428571,"Na tle poprzednich filmów reżysera rozczarowuje. Brak jest ciekawie opowiedzianej historii, niemalże liźnięcie kwestii dotyczącej walki z terroryzmem i brakiem chemii między odtwórcami głównych ról rażą swoją sztucznością.",28.0,28.0,1.0
neutral,negative,"[Marna, choć, w, obsadzie, błyszcząca, od, gwiazd, wersja, argentyńskiego, thrillera]",5.0,0.0,Marna - choć w obsadzie błyszcząca od gwiazd - wersja argentyńskiego thrillera.,12.0,10.0,1.0
neutral,negative,"[Jednoujęciowy, majstersztyk, z, argentyńskiego, oryginału, zmienił, się, tutaj, w, banał, I, to, samo, można, powiedzieć, o, całym, filmie]",5.0,0.0,Jednoujęciowy majstersztyk z argentyńskiego oryginału zmienił się tutaj w banał. I to samo można powiedzieć o całym filmie.,18.0,18.0,0.0
negative,negative,"[Zręczny, technicznie, i, aktorsko, remake, argentyńskiego, arcydzieła, pozbawiony, jego, siły, i, polotu]",4.0,-0.08333333333333333,"Zręczny technicznie i aktorsko remake argentyńskiego arcydzieła, pozbawiony jego siły i polotu.",12.0,12.0,2.0
neutral,negative,"[Rzecz, profesjonalnie, zrobiona, ale, pusta, Dramaty, przegrane, uczucia, bolesne, tragedie, wszystko, to, wypada, w, filmie, bezdusznie]",4.0,0.0,"Rzecz profesjonalnie zrobiona, ale pusta. Dramaty, przegrane uczucia, bolesne tragedie - wszystko to wypada w filmie bezdusznie.",17.0,16.0,0.0
neutral,negative,"[Wszystkie, tragedie, rozterki, i, dramatyczne, twisty, oryginału, tutaj, wieją, pustką, Gęsta, przejmująca, i, szokująca, historia, zmienia, się, w, przeciętny, thriller, który, zapominamy, krótko, po, odstawieniu, na, podłogę, popcornu]",3.3,0.0,"Wszystkie tragedie, rozterki i dramatyczne twisty oryginału tutaj wieją pustką. Gęsta, przejmująca i szokująca historia zmienia się w przeciętny thriller, który zapominamy krótko po odstawieniu na podłogę popcornu.",28.0,28.0,1.0
neutral,positive,"[Mimo, wielu, wad, film, Krzysztofa, Langa, ogląda, się, naprawdę, dobrze]",7.0,0.0,"Mimo wielu wad, film Krzysztofa Langa ogląda się naprawdę dobrze.",10.0,10.0,0.0
negative,positive,"[Polska, komedia, romantyczna, która, miło, zaskakuje]",6.7,-0.16666666666666666,"Polska komedia romantyczna, która miło zaskakuje.",6.0,6.0,1.0
neutral,positive,"[Niezły, ale, z, charakterem]",6.0,0.0,"Niezły, ale z charakterem.",4.0,4.0,0.0
neutral,positive,"[Krzysztofowi, Langowi, daleko, do, brawury, Lejdis, Tomasza, Koneckiego, czy, banalności, Och, Karol, 2, Piotra, Wereśniaka, dzięki, czemu, plasuje, się, w, bezpiecznym, środku, poprawnego, opowiadania, które, gwarantuje, niegłupią, rozrywkę, o, kobiecej, sile, i, niezależności]",6.0,0.0,"Krzysztofowi Langowi daleko do brawury Lejdis Tomasza Koneckiego czy banalności Och Karol 2 Piotra Wereśniaka, dzięki czemu plasuje się w bezpiecznym środku poprawnego opowiadania, które gwarantuje niegłupią rozrywkę o kobiecej sile i niezależności.",33.0,33.0,0.0
neutral,positive,"[Coś, co, zapowiadało, się, na, szmirowatą, komedię, romantyczną, jest, całkiem, udanym, dziełem, które, przy, okazji, sprzedaje, kilka, prawd, o, teraźniejszości, Nie, wszystko, zostało, dograne, w, stu, procentach, ale, nie, można, powiedzieć, że, się, to, ogląda, źle]",6.0,0.0,"Coś, co zapowiadało się na szmirowatą komedię romantyczną, jest całkiem udanym dziełem, które przy okazji sprzedaje kilka prawd o teraźniejszości. Nie wszystko zostało dograne w stu procentach, ale nie można powiedzieć, że się to ogląda źle.",36.0,36.0,0.0
positive,negative,"[Komercyjny, film, zupełnie, oderwany, od, rzeczywistości, Wiem, jednak, że, czasem, przychodzi, humor, na, coś, lekkiego, niewymagającego, użycia, mózgu, Ten, film, spełnia, te, wymagania, pierwszorzędnie]",5.0,0.041666666666666664,"Komercyjny film, zupełnie oderwany od rzeczywistości. Wiem jednak, że czasem przychodzi humor na coś lekkiego, niewymagającego użycia mózgu. Ten film spełnia te wymagania pierwszorzędnie.",24.0,24.0,3.0
negative,negative,"[Produkcja, Krzysztofa, Langa, to, kolejna, z, wielu, które, opowiadają, o, tym, samym, i, w, taki, sam, sposób, A, szkoda, bo, można, było, wycisnąć, z, tego, tematu, o, wiele, więcej]",5.0,-0.06896551724137931,"Produkcja Krzysztofa Langa to kolejna z wielu, które opowiadają o tym samym i w taki sam sposób. A szkoda, bo można było wycisnąć z tego tematu o wiele więcej.",29.0,29.0,2.0
positive,negative,"[Powstał, bezpieczny, niewymagający, film, na, który, możecie, zabrać, ciocię, z, babcią]",4.0,0.06818181818181818,"Powstał bezpieczny, niewymagający film, na który możecie zabrać ciocię z babcią.",11.0,11.0,2.0
positive,negative,"[Najgorsze, że, Słaba, płeć, nie, jest, zbyt, śmieszna, Tfu, nie, jest, w, ogóle, śmieszna, To, kino, lekkie, oraz, bezpretensjonalne, które, nie, bawi, i, nie, wciąga]",3.5,0.04,"Najgorsze, że Słaba płeć? nie jest zbyt śmieszna. Tfu - nie jest w ogóle śmieszna! To kino lekkie oraz bezpretensjonalne, które nie bawi i nie wciąga.",26.0,25.0,2.0
