comment,emotion,rate
"Bardzo dobre żelazko, świetnie prasuje, szybko się nagrzewa, polecam.",positive,5
"Żelazko godne polecenia, bardzo dobra cena, a długi 3-metrowy kabel jest dodatkowym atutem. Odpowiedni ciężar ułatwia prasowanie. Mocny wyrzut pary. Bardzo ładny design. 
Po sprawdzeniu jednego kupiłam drugie na prezent. Naprawdę gorąco polecam!",positive,5
"Super zelazko. Mocne, szybko sie nagrzewa. Goraco polecam!!",positive,5
Doskonały produkt za stosunkowo niedużą kwotę.,positive,4.0
"Pod wpływem opinii jakie to żelazko jest wspaniałe kupiłam je nie całe 3 lata temu i dzisiaj poszło już w niepamięć. Po raz kolejny zawiodłam się na sprzęcie Philipsa (najpierw odkurzacz, koniec gwarancji, nie cały rok blender, odtwarzacz, a teraz żelazko chyba najdłużej wytrzymało).

Mogłoby się nim wygodniej prasować koszulę, odstępy pomiędzy guzikami, mankiety.",negative,3.0
"Żelazko świetne. Gdy kupiłam, myślałam, że będzie jednak za ciężkie, ale już przy pierwszym prasowaniu okazało się,że nic podobnego. Prasuje na listeczek, paruje pięknie, kabel mega długi, dzióbek wjeżdża nawet w najmniejsze zakamarki ubrań. Polecam z pełnym przekonaniem!!",positive,5
"Super żelazko.Prasowanie nim to naprawde przyjemność.Ma długi kabel i możliwość regulacji pary,szybko się nagrzewa.W pierwszym momencie gdy wzięłam je do ręki wydało mi się ciut za cieżkie,ale wątpliwości mineły podczas prasowania.",positive,4.0
"Użytkuję żelazko ok.5 lat. Niestety, ale z perspektywy czasu nie poleciłabym go. Pod koniec gwarancji żelazko było w serwisie, ponieważ nie wytwarzało pary oraz przycisk wyrzutu pary nie odbijał do pozycji wyjściowej. Niestety problem notorycznie się powtarza, ponieważ przycisk znowu nie odbija. Jest to chyba część, której termin przydatności to ok.2 lat... Para z żelazka, pomimo czyszczenia, idzie słabo i ubrań nie da się idealnie wyprasować.",negative,2.0
Super urządzenie,positive,5
działa jak powinno,positive,4.0
"Żelazko dla mnie bardzo dobre, choć żona twierdzi, że mogłoby mieć grubszą stopę.",positive,4.0
Bardzo dobre  żelazko. Szybko się nagrzewa i dobrze prasuje. Polecam!,positive,5
Spełnił moje oczekiwania. Za tą cene nic lepszego.,positive,5
"Zaznaczam, że zelazka używałam dotąd 2 razy ale narazie sądze, że jest bardzo fajne. Stopa czasem ciężko sunie po materiale ale nie jest to jakąś dużą wadą. Mega szybko się nagrzewa, dla mnie zaletą jest długi sznur, para działa bez zarzutu i dobrze prasuje nawet bardzo grubą bawełnę.",positive,4.0
"OK, ale trochę ciężkie",positive,4.0
Wybralam to zelazko 3 lata temu i sprawuje sie bardzo dobrze. Teraz kupilam ten sam model mojej mamie.,positive,4.0
"Bardzo fajne żelazko, brak pojemniczka do wlewania wody wcale nie jest minusem, można spokojnie sobie poradzić wlewając z butelki dzięki dużemu otworowi w żelazku. Szybko się nagrzewa, ma funkcje eco przy prasowaniu za pomocą pary.
Polecam w 100%.",positive,5
Polecam żelazko choć regulator temp wg mnie za lekko zmienia swoje ustawienie,positive,4.0
"Super szybkie nagrzewanie, długi kabel super dodatkowa para,super końcówka stożka parowego, gładko przesuwa się po tkaninie. Nieco hałaśliwe.",positive,5
"POLECAM!!! Super żelazko! Dużo funkcji, dobrze prasuje, wygodne prasowanie z parą, solidna konstrukcja, spód żelazka i kabel widać że są dobrze wykonane i raczej żelazko długo będzie służyć :)",positive,5
"Żelazko bardzo dobrze prasuje. Szybko się nagrzewa, ma duże uderzenie pary. Prasuje największe zagniecenia.Przód żelazka jest bardzo dobrze wyprofilowany co pozwala na wyprasowanie naewt najmniejszych zakamarków. Prasowanie teraz to przyjemność.",positive,5
Cena do jakości naprawdę bardzo dobra.,positive,4.0
"Zelasko ladne, jak zelasko, wszystko chyba ok.
 W instrukcji pisze nawet ze nie potrzeba uzywac wody destylowanej , to tez jest jakis plus ale ma jednak jedna olbrzymia wade, niestety nie prasuje samo a ja nie nawidze prasowania.
Pozdrawiam wszystkich ktorzy  dzieki philipsowi odkryli swa pasje do prasowania  :-)))",negative,3.0
"Super żelazko, sam posiadam w domu takie, to zostało kupione na prezent.",positive,5
Rewelacyjne żelazko za bardzo dobrą cenę.,positive,5
"super żelazko w dobrej cenie z długim 3 metrowym kablem zasilającym, poręczne, z dobrym wyrzutem pary. Powrót do marki Philips po kilkuletniej przerwie jak się okazało bardzo męczącej z inną marką",positive,4.0
"doskonale prasuje, długi kabel, POLECAM",positive,5
"Używam dopiero od 3 miesięcy i jestem bardzo zadowolona, moja znajoma też ostatnio mówiła, że jest świetny",positive,5
"Po 2 tygodniach użytkowania muszę powiedzieć, że na te chwile jestem bardzo zadowolona. Żelazko ma bardzo długi kabel-3m co jest bardzo wygodne. Na kablu rzep co ułatwia przechowywanie żelazka. Duży pojemnik na wodę, co jest bardzo fajne bo nie trzeba cięgle dolewać wody przy większym prasowaniu. Fajny 'dzióbek' żelazka (ostry), co ułatwia dostanie się do trudno dostępnych miejsc i dokładniejsze prasowanie. Dobrze grzeje. Wygląd też jest ok. w sumie dla mnie żelazko nie musi być ładne;) Cena tez była przystępna. Gorąco polecam. Na razie nie zauważyłam wad.",positive,5
godne polecenia.,positive,5
"trudno mi jest zaopiniowac,poniewaz produkt był przeznaczony na prezent",positive,4.0
"Za tę cenę super żelazko, ładnie prasuje ubrania, nie pryska parą, długi przewód, ładne wykonania. Jedyne co mnie troszke denerwuje to fakt, że pokrętło chodzi trochę zbyt lekko, jest też trochę naćkane w opisie przy mocy 1-3, ale to nie jest duży problem. W miarę cieżkie, dzięki czemu stabilne.",positive,5
Kiedyś kupiłam to żelazko mamie. Jest bardzo zadowolona. Użytkuje już kilka lat. Na ogromny plus stopa żelazka i długi kabel,positive,5
Dobrze prasuje bez większego wysiłku. Właściwości zgodne ze specyfikacją producenta.,positive,4.0
Relacja ceny = do jakości,positive,4.0
Dobrze prasuje.,positive,4.0
Wszystko Ok. Polecam,positive,5
"super. Jestem zachwycona. Świetnie prasuje, para ok. Lekkie i disajnerski wygląd.",positive,4.0
"Żelazko jak najbardziej w porządku - solidne, w miarę tanie jak na swoją jakość, funkcjonalne.",positive,4.0
"Świetne żelazko, bardzo szybko się nagrzewa. Najlepsze, jakie miałam do tej pory.",positive,5
"Dobrze wykonane, łatwo się nim prasuje.",positive,5
Mialam zelazka roznych marek Ale to jest PRAWDZIWE zelazko,positive,5
"Żelazko w 100% spełniło moje oczekiwania. Precyzyjnie i szybko rozprasowuje zagniecenia, oraz przestrzenie między guzikami. Szybko osiąga odpowiednią temperaturę prasowania. Stopa żelazka lekko ""płynie"" po różnego rodzaju materiałach. Łatwe w obsłudze i o estetycznym wyglądzie. W stosunku do ceny jakość na najwyższym poziomie. Polecam w 100%.",positive,5
"Produkt solidny,  wada to niewidoczny poziom wody w zbiorniku",positive,4.0
Super żelazko. Świetnie się nim prasuje. Można ustawić parę na odpowiednią intensywność i żelazko cały czas prasuje na parze. Polecam,positive,5
Super żelazko. Fajnie sunie po materiałach. Prasuje się szybko i wygodnie. Nie wymienię już producenta philips na inną markę. Zrobiłam to raz i bardzo żałuję. Nawet mąż z chęcią prasuje. POLECAM!!!,positive,5
"prasuje idealnie szybko silne uderzenie pary rozprasowuje zagniecenia. super żelazko ,",positive,5
"Zakupiłam model GC 4410/22 firmy Philips. Stopa żelazka nie jest dobra ponieważ nie jest gładka, a co za tym idzie żelazko lekko trze. Szanowni producenci omawianego żelazka !!!,
kilkanaście lat temu kupiłam żelazko Waszej firmy HI 540, którym  przez te kilkanaście lat prasowałam z przyjemnością !, a to dlatego że stopa była GŁADKA.  Zawiodłam się na tym żelazku.",negative,2.0
najlepsze żelazko z jakim miałam do czynienia,positive,5
sprzęt godny polecenia!,positive,5
"Rewelacja. Lekko się prasuje, silny strumień pary.",positive,5
"Dobry sprzęt, zadowalające efekty użytkowania.",positive,5
Żelazko w pełni mnie zadowala. Cena też w porządku.,positive,4.0
"Bardzo dobre, polecam",positive,4.0
"Jestem bardzo zadowolona z produktu, nie mam żadnych uwag.",positive,4.0
"Świetne żelazko - niedrogie a prasuje perfekcyjnie. Kupiłem juz drugie dla rodziny, a moje piewsze działa już dobrych pare lat.",positive,5
"szybkie i łatwe prasowanie, bez trudu radzi sobie nawet z najbardziej pomiętymi rzeczami; wygodne w użyciu",positive,4.0
zaleta tego żelazka jest rzeczywiście dość długi przewód,positive,4.0
Azur GC 4330 TO DOSYĆ STARY MODEL ALE NADAL ŚWIETNIE SIĘ SPISUJE: MA DUŻĄ MOC I DUŻY WYRZUT PARY ...I STRAŻAKA KTÓRY KILKA RAZY JUŻ SIĘ PRZYDAŁ :),positive,4.0
"mogę ocenić na razie jedynie wizualnie , za krótko posiadam produkt ,zeby wydawać opinie",positive,4.0
Fajne niedrogie żelazko.,positive,4.0
"produkt super, bardzo łatwo się prasuje.",positive,4.0
bardzo dobre zelazko,positive,4.0
"fajne żelazko za małe pieniądze, polecam",positive,4.0
Jednym słowem super żelazko.,positive,5
"Bardzo fajny produkt, długi przewód, wspaniały w użytkowaniu.",positive,5
Wygodnie się prasuje (dobra waga żelazka),positive,4.0
Żelazko godne polecenia. Duża stopa. Uderzenie pary pozwala poprasować nawet najbardziej zmięte ubrania.,positive,5
"Znakomita jakość, polecam.",positive,5
Kupilem je w Media wraz ze specjalna woda do zelazka Od samego poczatku cuchnelo spalonym plastikiem Zareklamowalismy odpowiedz nie nalezy wlewac zadnych plynow nawet tych do zelazka Zawsze wlewalismy np w Tefalu czy Bosch tym bardziejze bez tej wody tez cuchnelo spalonym plastykiem Chinskie dziadostwo Omijac szerokim lukiem,negative,1.0
"Dobre wykonanie, nieźle się prasuje choć dotąd miałem cięższe.",positive,4.0
W tej cenie godne zakupu.,positive,4.0
"Żelazko w porządku, według opisu, polecam :)",positive,4.0
"Daje radę. Moje oczekiwania w stosunku do żelazka nie są wielkie, a to żelazko je przewyższa. Niestety jest ciężkie.",positive,4.0
Bardzo dobre. Polecam,positive,5
"za krótko używane, żeby się długo rozpisywać, na razie jestem bardzo zadowolona",positive,5
"dobre żelazko za dobra cene, solidne wykonanie",positive,5
Bardzo dobra cena w tej kategorii,positive,5
"Jesteśmy bardzo zadowoleni, ładne i mocne żelazko :-)",positive,5
Wygodne  i ładne  jak na razie tyle mogę napisać o tym żelazku!!,positive,4.0
Super. Polecam,positive,4.0
"swietne! sprawnie, szybko!",positive,5
zaraz po wyjęciu z pudełka ładnie wygląda,positive,4.0
"Żelazko jest rewelacyjnie dobre jak za tą cenę... szybko się nagrzewa, dobrze prowadzi. Waga żelazka jest dobrze dobrana, nie trzeba się męczyć podczas prasowania... Polecam",positive,5
Nie polecam,negative,2.0
Moje żelazko jest stare jak świat. Ale nigdy mnie nie zawiodło. Jest jak najlepszy przyjaciel- zawsze przy mnie i zawsze gotowe do pracy.,positive,5
Plusy Sluzy ok 3 lat Swietnie sie prasuje Minusy Wykonanie troche trzeszczy jak sie przycisnie raczke nie to co dawne polskie zelazka Ponadto regulacja natezenia pary ciezko chodzi ale tak bywa w wiekszosci zelazek na rynku,positive,5
"Żelazko sprawia dobre wrażenie, ale na razie za wcześnie na rzetelną ocenę.
Minusem jest bardzo słaba widoczność poziomu napełnienia wody oraz brak automatycznego wyłącznika.",positive,4.0
Dobry produkt za dobrą cenę,positive,4.0
"W mojej ocenie zelazko zdało egzamin w 100%. Jest funkcjonalne, długi kabel, duża moc i można używać wody z kranu. Jest wytrzymałe i fajnie wygląda. Same +!",positive,5
"Przeanalizowałem parametry żelazka przed zakupem i wszystko się zgadza. Są bardzo wysokie, jak na cenę którą zapłaciłem. Prasuje super, beż zbędnych bajerów ale swoją pracę wykonuje na 5+. No i co najmniej istotne.. Wygląda też bardzo sympatycznie ;-)",positive,4.0
"Nie spodziewałam się, że będzie tak dobrym żelazkiem :)",positive,5
"Mam to żelazko kilka lat. Nic się przez ten czas nie zepsuło. Żelazko jest super w porównaniu z wszystkimi dotychczasowymi. Dużą zaletą jest porządny, długi kabel. Niemniej uważam że czas rozglądnąć się za czymś mocniejszym bo technika idzie do przodu a to żelazko nie rozprasuje np mocno pomiętych twardych tkanin. Do zwykłego prasowania wystarcza ale przy zasłonach trzeba się namęczyć.",positive,5
"Na razie tylko raz prasowałam, ale jestem bardzo zadowolona, super prasuje. Cena rewelacyjna w stosunku do jakości produktu.",positive,5
"Prasuje! Wydala parę! Kolejny raz zakupiony ten właśnie model, gdyż pierwszy popełnił samobójstwo skacząc z deski do prasowania! Mam nadzieję, że to żelazko będzie bardziej odporne psychicznie, bo fizycznie, to stachanowiec :)",positive,4.0
"Długo wybierałem, jest OK",positive,5
"Dosłownie kilka dni temu zakupiłam żelazko Philips Azur GC4410/02, które potrzebowałam na szybko będąc na wakacjach. Akurat było w super promocji co bardziej skłoniło mnie do zakupu. Produkt spełnia moje oczekiwania, para sprawuje się fantastycznie, dobrze się nim steruje a ubrania są doprasowane. Polecam - nie trzeba wydawać majątku na dobre żelazko!",positive,5
"Żelazko świetnie się sprawdza i dzięki niemu polubiłam prasowanie. Jest wygodne w użyciu, lekkie i funkcjonalne a długi przewód pozwala wygodnie prasować bez obawy, że zabraknie nam kabelka :) Polecam.",positive,5
"Super żelazko ma szybkie nagrzewanie, długi kabel i dodatkową parę ,super końcówka stożka parowego, gładko przesuwa się po tkaninie.",positive,4.0
"Idealne żelazko do co dziennego użytku. Świetnie prasuje się nim nawet delikatne jedwabie oraz koronki. Łatwe w ustawieniu temperatury, dzięki temu wiem, że uniknę przykrych niespodzianek w postaci wypalonych dziurek.",positive,5
"Żelazko jak żelazko, z tym tylko, że to jest ciut ciężkie, ale za to jakościowo i funkcjonalnie bije na głowę swoją kategorię cenową ;p Polecam przy okazji rozejrzeć się w poszukiwaniu alternatywnyh sklepów z niższymi cenami ;) polecam -
www.kreocen.pl/produkt/Philips-Zelazko-GC-441002-18_1102_1058358.html
- pomogła mi ta stronka 3-krotnie zmniejszyć wydatki.
Pozdrawiam!",positive,4.0
Żelazko rewelacyjne - samo prasuje :),positive,5
"Żelazko ogólnie niezłe, niestety słaba jakość wykonania - kiepski rodzaj plastiku (rączka pękła po roku używania), awaryjny włącznik/regulator temperatury - żelazko przestaje się nagrzewać, nie da się prasować z parą. Zaletą jest długi kabel, który ułatwia manewry, gładka stopa, szybkość nagrzewania.",positive,4.0
Jeszcze nie prasowałam.,positive,4.0
"Bardzo długo szukałem żelazka, sprawdzałem wszystkie parametry itp., gdyż nie lubię prasowania i chciałem, aby było ono dla mnie jak najprostsze i najszybsze. W wyniku tych długich poszukiwań zakupiłem w roku 2010 (czyli 4 lata temu) to żelazko i od tamtego czasu jestem z niego bardzo zadowolony. Sprawuje się znakomicie. Stosuję do niego wodę zdemineralizowaną (można w każdym hipermarkecie kupić), aby kamień się nie osadzał. Nigdy nie stosowałem do niego wody z kranu, więc nie wiem jak by było, ale wolę nie ryzykować, gdyż już po wodze gotowanej w czajniku widać, ile osadu na czajniku zostaje, a nie chciałbym pobrudzić ubrań przy okazji prasowania. 
Niemal nigdy nie stosuję w tym żelazku największej mocy generowania pary, gdyż już środkowe ustawienie w zupełności wystarcza. Po dłuższym czasie prasowania (kilka koszul naraz) nawet sama deska jest już mokra od spodu od pary na jej metalowym siateczkowym stelażu pod materiałem. Łatwo można odprasować nawet ""źle zaprasowane"" zagniecenia.",positive,5
"Produkt spełnia oczekiwania. Żelazko szybko się nagrzewa, mocny wyrzut pary, długi kabel i spory pojemnik na wodę ułatwiają prasowanie. Nie korzystałam jeszcze z funkcji oczyszczania.",positive,4.0
Dobra cena za jakość,positive,4.0
"Poręczne, szybko się nagrzewa. Polecam głównie ze względu na długi kabel.",positive,5
Dobra jakoś przy stosunkowo niskiej cenie.,positive,4.0
"Żelazko błyskawicznie się nagrzewa, nie trzeba czekać nie wiadomo ile - zapewnia to wysoka moc dochodząca do 2400W. Ma bardzo duży zakres temperatur, od bardzo niskich, nadających się do prasowania nawet bardzo delikatnych materiałów, do bardzo wysokich, na których wyprasujemy bardzo oporne tkaniny. 
Żelazko ma dosyć duży wyrzut pary, bardzo długi kabel, dobrze leży w dłoni - nigdzie nie uciska ani nie obciera, jedynie osoby o naprawdę dużych dłoniach mogą narzekać na wychodzący kabel, który nie całkiem chowa się w rączce. 
Na samej górze stopy są dodatkowe otwory ułatwiające prasowanie wszelkich zakamarków.

Do wad zaliczyłbym zbiornik, który jest ciemny i mało przezroczysty, więc trzeba się nagimnastykować żeby zobaczyć ile jest wody. Jeżeli zbiornik jest pusty, nie ma problemu, bo producent dołączył do żelazka kubek który ma pojemność dopasowana do wielkości zbiornika, ale jeżeli dolewa się wodę do częściowo wypełnionego zbiornika to na prawdę nic nie widać. No i wodę trzeba nalewać w pozycji poziomej, więc trzeba uważać gdzie się kładzie zelazko, bo przy najwyższych temperaturach można przypadkiem coś przypalić.

Druga wadą, która dla innych może być zaletą, jest waga żelazka. Dla mnie jest ono zbyt ciężkie, co daje się we znaki przy odstawianiu żelazka, dla mojej żony wręcz przeciwnie, jest zadowolona, bo nie musi dociskać prasowanych rzeczy.

Minusem jest też rzep do spinania kabla. Lepszym rozwiązaniem są klipsy stosowane przez innych producentów.
Pod znakiem zapytania jest też suwak od pary. Nie wygląda zbyt solidnie, ale ile wytrzyma okaże się w praniu.
Cena nie jest ani wygórowana, ani specjalnie niska, ja zapłaciłem ok 170zł i wg mnie jest akurat. Żelazko mam od ok. 2 miesięcy.",positive,4.0
Philips GC 4410;Żelazko naprawdę godne polecenia. Rozgrzewa się do maksymalnej temperatury w niespełna minutę. Długi kabel ułatwia poruszanie żelazkiem. Wyrzut pary na 6 poziomach. Bardzo masywne,positive,5
"Produkt godny polecenia, spełnia nasze wymagania. Znajoma też używa tego modelu od roku i gorąco polecała",positive,5
Wszystko jak narazie gra,positive,4.0
bardzo solidny,positive,5
"trudno ocenic produkt po tak krotkim czasie
pierwsze wrazenie pozytywne - żelazko ciężkie co ułatwia prasowanie i nacisk na tkaninę, nic sie nie skrapla , nie wycieka itp. ale mam wątpliwości co do super ekstra wyprasowanej odzieży Szału nie ma tyle powiem są zagięcia i nalezy spryskiwac materiał przyciskiem na żelazku aby dokładnie zniwelowac zagięcia, nie wiem czy to kwestia opornego materiału czy żelazka. Ogólnie ok bo żelazko dzieki kształtowi ułatwia prasowanie przestrzeni miedzy guzikami i tam tez wydobywa się para.",positive,4.0
"Bardzo dobry, spełnia moje oczekiwania",positive,4.0
"jak sie go ma kilka dni i dodatkowo nie jest się uzytkownikiem (żona sie odnajduje w prasowaniu) to trudno ocenić. Oparłem sie na wielu pozytywnych opiniach o tym sprżęcie w necie.Wygląda ładnie żona twierdzi że jest lepsze od poprzeniego Azura 52 ze stopą stalową. Ma sporą moc i te same funkcje a nawet trochę więcej niż jedgo porzednik. Nie wymagam od urzadzeń które mają słuzyć prostej czynności jakichś cudownych czytaj zbędnych - funkcji które podniosą cenę, tylko prostoty i tego żeby posłużyło jak jego poprzednik (14 lat) parę ładnych wiosen a nie tylko do końca gwarancji I przy tym nie kosztowało przysłowiowej walizki pieniędzy. Zakładam ze choć nie wiem czy słusznie że skoro poprzednik był Made in Singapore a nowy nabytek Made in Indonesia jest szansa to osiagnąć Pozdrawiam",positive,4.0
"+36 miesięcy gwarancji to daje nam 5 lat 
+dodatkowy rabat
dokladny typ to GC 4410/02 rewelacyjny wybór godny polecenia .",positive,5
"Nigdy nie myślałem,że ja ,facet,będę prasował na ochotnika :)",positive,5
"Produkt zgodny z opisem. Żelazko szybko się nagrzewa, łatwo dotrzeć do trudnych miejsc, mocne uderzenie pary; dodatkowym atutem jest długi przewód.",positive,5
"Nigdy nie myślałem,że ja,facet,będę prasować na ochotnika :)Polecam.",positive,5
"Żelazko w 100% spełnia swoje zadanie, prasuje się wygodnie i bardzo szybko. Nie kapie, szybko się nagrzewa, ma bardzo długi przewód. Polecam.",positive,5
Żelazko świetne. Używam go miesiąc i nie mam zastrzeżeń. Polecam Produkt :),positive,4.0
"Świetne żelazko, w podobnej cenie nie znajdzie się lepszego. Polecam wszystkim",positive,5
"Bardzo dobre żelazko. Idealnie prasuje, duży wyrzut pary:)",positive,5
Żelazko spełniło moje oczekiwania. Godne polecenia.,positive,4.0
"Miałam totalny dylemat jakie żelazko kupić, miotałam się między jedna firmą a drugą, następnie między dziesiątkami różnych modeli. Trwało to tygodniami, ponieważ taka ze mnie niezdecydowana kobieta. Zaczęłam filtrować po konkretnych parametrach i moim oczom ukazał się ten oto wynalazek! Zaryzykowałam, zamówiłam i był to strzał w dziesiątkę! Gdy do mnie dotarło rozpoczęłam szaleńczą misję prasowania! W domu nie ostał się żaden gnieciuch! Żelazko sprawuje się świetnie, bardzo wygodne, dobra moc,cena zdecydowanie okazyjna, wygląd też na dychę! Miesiąc temu kupiłam identyczne drugie - na prezent dla mamy, też jest zachwycona :)",positive,5
"To jest to o co mi chodziło.
Solidnie wykonane,błyskawicznie gotowe do prasowania bez dodatkowych kabli (3 metry przewodu zasilającego robi wrażenie)no i bucha parą jak smok ogniem.
Polecam",positive,5
Doskonałe żelazko za rozsądną cenę .,positive,5
"Kupiłam ten produkt przeczytawszy wcześniejsze pozytywne recenzje  na różnych forach. Jestem po kilku użyciach i uważam swoj zakup za udany. Żelazko  ma wszystkie funkcje, których spodziewałabym się po produkcie nowoczesnym ale i ekonomicznym. Mam nadzieję, że mi dlugo posłuży.  Polecam",positive,5
Jeszcze nie używałam ale wydaje mi się że jest super.,positive,4.0
"wizualnie super, ale jeszcze nie używane :)",positive,4.0
"bardzo dobre żelazko, dobrze pracuje, jedyny drobny mankament to słabo widać ile wody pozostało w zbiorniku bo jest ciemny",positive,4.0
W pełni satysfakcjonujące.,positive,5
"na razie jestem zadowolona z wyboru(użyłam go do tej pory tylko raz), zobaczymy jak się będzie sprawować",positive,4.0
Żelazko godne uwagi i polecenia. Jedyny minus to przy wypuszczaniu pary dość głośne.,positive,4.0
Polecam żelazko.,positive,5
"Żelazko zgrabne, szybko się nagrzewa, 
żona szczęśliwa - często się uśmiecha!
Długi kabel, funkcja niekapania,
funkcja stopniowanego parowania!
Doskonałe jest i służy nam,
mówi to żona bo się na tym zna!",positive,5
Bardzo dobre żelazko za tę cenę.,positive,4.0
"Trudno powiedzieć, w pierwszym dniu użytkowania nie ma zastrzeżeń.",positive,4.0
"Bardzo funkcjonalne, poręczne żelazko. Polecam!",positive,4.0
"Żelazko rewelacyjne! Doskonale prasuje nawet w niskiej temperaturze, jest ciężkie, ale to raczej zaleta, bo przynajmniej nie trzeba się wysilać przyciskając ;) precyzja prasowania stożka parowego, precyzja wykonania żelazka, ogólnie wszystko ok ! Jestem bardzo zadowolona i bardzo polecam ten model! :)",positive,5
Super żelazko. duży wyrzut pary. rewelacja jak za tę cenę,positive,4.0
"Bardzo dobre zelazko.  Produkt godny polecenia. Zastanawiam się nad zakupem kolejnego, tym razem dla siostry.",positive,4.0
"Super żelazko. Długi przewód, dostatecznie ciężkie po napełnieniu wodą co ułatwia prasowanie. Funkcja anti-calc przydatna przy twardej wodzie.",positive,5
produkt dobrej jakości. godny polecenia!,positive,4.0
"bardzo dobre żelazko, polecam",positive,5
bardzo dobre żelazko ale na razie krótko używam także jeszcze nie wiem,positive,4.0
Po pierwszych prasowaniach jak dla nas produkt bardzo dobry.,positive,4.0
Jest w porządku - dobrze się prasuje - polecam !!,positive,5
"bardzo lekko się nim prasuje. pozytywem jest też długi kabel i moc pary. za taką cenę spodziewalam się gorszej jakości, ale zawiodłam się pozytywnie.",positive,4.0
