detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
negative,positive,"[okazja, miejsce, stary]","[zacna, okazja, więc, trzeba, było, wybrać, coś, dobrego, od, jakiegoś, czasu, przymierzalam, się, do, tej, restauracji, i, sugerując, się, opiniami, jak, zawsze, mówię, idziemy, piękne, miejsce, stary, dom, z, pięknymi, namalowanymi, różami, na, scianach, panią, grającą, na, pianinie, na, dole, dość, sporo, ludzi, ale, nawięcej]",4.0,-0.022222222222222223,"Zacna okazja więc trzeba było wybrać coś dobrego. Od jakiegoś czasu przymierzalam się do tej restauracji i sugerując się opiniami jak zawsze mówię Idziemy. Piękne miejsce stary dom, z pięknymi namalowanymi różami na scianach, panią grającą na pianinie. Na dole dość sporo ludzi, ale na...Więcej",45.0,45.0,3.0
neutral,positive,"[restauracja, urodziny]","[topowa, restauracja, polska, z, cudownym, klimatem, w, starej, willi, pięknie, urządzona, romantyczna, kilka, salek, zapewniających, intymność, na, eleganckie, okazje, idealna, urodziny, rocznice, walentynki, bywam, dość, rzadko, na, tyle, że, zmienia, się, karta, ale, co, nie, spróbuję, to, jest, pyszne, idealne, dla, gości, z, zagranicy, którzywięcej]",5.0,0.0,"Topowa restauracja polska z cudownym klimatem w starej willi. Pięknie urządzona, romantyczna, kilka salek zapewniających intymność. Na eleganckie okazje idealna (urodziny, rocznice, Walentynki). Bywam dość rzadko (na tyle, że zmienia się karta) ale co nie spróbuję, to jest pyszne. Idealne dla gości z zagranicy, którzy...Więcej",45.0,45.0,2.0
positive,positive,"[ślub, fantastyczny, człowiek, sympatyczny]","[było, to, jedno, z, miejsc, gdzie, planowaliśmy, ślub, ugościł, nas, menager, fantastyczny, człowiek, sympatyczny, i, zdecydowanie, wie, co, robi, jedzenie, bajeczne, wszystko, było, pyszne, tylko, ze, względu, na, mało, miejsca, na, zewnątrz, musieliśmy, zrobić, gdzie, indziej, polecam, bardzo]",5.0,0.1118421052631579,"Było to jedno z miejsc gdzie planowaliśmy ślub.
Ugościł nas menager. Fantastyczny człowiek. Sympatyczny i zdecydowanie wie co robi.
Jedzenie bajeczne!!! Wszystko było pyszne.
Tylko ze względu na mało miejsca na zewnątrz musieliśmy zrobić gdzie indziej.
Polecam bardzo!",38.0,38.0,4.0
positive,positive,"[fajny, wystrój]","[bardzo, fajny, wystrój, i, przyjemna, obsługa, wraz, z, przyjaciółmi, wybraliśmy, się, na, kolację, aby, uczcić, 30lecie, małżeństwa, nie, zawiedliśmy, się, na, opiniach]",4.0,0.06818181818181818,Bardzo fajny wystrój i przyjemna obsługa. Wraz z przyjaciółmi wybraliśmy się na kolację aby uczcić 30lecie małżeństwa. Nie zawiedliśmy się na opiniach.,22.0,22.0,2.0
negative,positive,"[śliczny, czas, miły, pan]","[bardzo, dobre, jedzenie, śliczny, taras, ogródek, gdzie, spędziliśmy, bardzo, miło, czas, przy, dobrym, jedzeniu, oraz, winku, ładne, wnętrza, i, bardzo, miły, pan, kelner, polecam, zarówno, na, biznesowe, spotkania, jak, i, wypady, we, dwoje, czy, z, rodzinką]",5.0,-0.00925925925925926,Bardzo dobre jedzenie ! Śliczny taras / ogródek gdzie spędziliśmy bardzo miło czas przy dobrym jedzeniu oraz winku :) ładne wnętrza i bardzo miły Pan kelner :) polecam zarówno na biznesowe spotkania jak i wypady we dwoje czy z rodzinką :),41.0,36.0,4.0
negative,positive,"[drugi, raz, pycha, ludzie]","[drugi, raz, już, jestem, tam, na, obiedzie, świątecznym, z, rodziną, jest, miło, elegancko, i, smacznie, obsługa, sprawna, polecam, wszystko, do, jedzenia, ale, najbardziej, beze, pycha, wcale, się, nie, dziwie, ze, odwiedzili, ta, restauracje, wszyscy, sławni, aktorzy, ludzie, biznesu, i, polityki, odwiedzający, nasz, kraj, wszystko, możnawięcej]",5.0,-0.08333333333333333,"Drugi raz już jestem tam na obiedzie świątecznym z rodziną. Jest miło elegancko i smacznie. obsługa sprawna.
Polecam wszystko do jedzenia ale najbardziej beze pycha.
wcale się nie dziwie ze odwiedzili ta restauracje wszyscy sławni aktorzy ludzie biznesu i polityki odwiedzający nasz kraj. wszystko można...Więcej",45.0,45.0,4.0
positive,positive,"[atmosfera, ten, domowy, wystrój, czas]","[kocham, tą, restauracje, absolutnie, za, wszystko, od, wielu, lat, najlepsze, moim, zdaniem, w, warszawie, ❤️cudowna, atmosfera, i, obsługa, dania, wszystkie, wyśmienite, i, ten, domowy, wystrój, i, obłędne, desery, menadzer, na, 6, gratuluje, i, dziekuje, za, cudowne, wizyty, i, wspanialy, czas, od, urodzin, po, niedzielne, rodzinnewięcej]",4.0,0.0044444444444444444,Kocham tą restauracje absolutnie za wszystko od wielu lat. Najlepsze moim zdaniem w Warszawie! ❤️Cudowna atmosfera i obsługa. Dania wszystkie wyśmienite i ten domowy wystrój i obłędne desery. Menadzer na 6+. Gratuluje i dziekuje za cudowne wizyty i wspanialy czas od urodzin po niedzielne rodzinne...Więcej,45.0,45.0,5.0
neutral,positive,[],"[udałem, się, do, tej, restauracji, na, rocznicę, wraz, z, moją, żoną, i, był, to, bardzo, trafiony, wybór, obsługa, restauracji, jest, na, najwyższym, poziomie, umie, doradzić, zarówno, w, kwestii, jedzenia, jak, i, doboru, wina, widać, że, znają, się, na, rzeczy, jedzenie, jest, doskonale, przyrządzone, iwięcej]",5.0,0.0,"Udałem się do tej restauracji na rocznicę wraz z moją żoną i był to bardzo trafiony wybór. Obsługa restauracji jest na najwyższym poziomie, umie doradzić zarówno w kwestii jedzenia, jak i doboru wina - widać, że znają się na rzeczy. Jedzenie jest doskonale przyrządzone i...Więcej",45.0,44.0,0.0
neutral,positive,[],"[jedzenia, rzeczywiście, na, wysokim, poziomie, obsługa, również, dlatego, ceny, również, na, dość, wysokim, poziomie]",5.0,0.0,"Jedzenia rzeczywiście na wysokim poziomie, obsługa również dlatego ceny również na dość wysokim poziomie.",14.0,14.0,0.0
neutral,positive,"[miejsce, klimatycznie, czas]","[na, romantyczną, kolację, dla, dwojga, super, miejsce, klimatycznie, muzyka, na, żywo, dobre, jedzenie, i, uczynna, obsługa, warto, tyle, zapłacić, żeby, miło, spędzić, czas, moja, luba, też, była, pod, dużym, wrażeniem, lokalu]",5.0,0.0,"Na romantyczną kolację dla dwojga, super miejsce. Klimatycznie, muzyka na żywo, dobre jedzenie i uczynna obsługa. Warto tyle zapłacić, żeby miło spędzić czas. Moja luba też była pod dużym wrażeniem lokalu",31.0,31.0,3.0
neutral,positive,[atmosfera],"[lubimy, tam, przychodzić, atmosfera, sprzyja, zarówno, do, rozmów, biznesowych, jak, i, do, rodzinnego, obiadu, na, dole, część, bardziej, w, starym, stylu, na, górze, nowocześnie, jedzenie, bdobre, w, zasadzie, zbliżone, smakowo, do, halki, choć, dania, mniejsze, to, nie, przeszkadza, no, i, nieco, inne, menu, więc, miłowięcej]",5.0,0.0,"Lubimy tam przychodzić. Atmosfera sprzyja zarówno do rozmów biznesowych jak i do rodzinnego obiadu. Na dole część bardziej w starym stylu, na górze nowocześnie. Jedzenie b.dobre. W zasadzie zbliżone smakowo do Halki, choć dania mniejsze (to nie przeszkadza) no i nieco inne menu więc miło....Więcej",45.0,45.0,1.0
neutral,positive,[],"[bylo, nam, bardzo, milo, goscic, w, tym, miejscubylismy, glodni, i, wyszlismy, najedzeniceny, adekwatne, do, posilkow]",5.0,0.0,bylo nam bardzo milo goscic w tym miejscu.Bylismy glodni i wyszlismy najedzeni.Ceny adekwatne do posilkow.,15.0,15.0,0.0
positive,positive,"[wystrój, prezentacja, renoma]","[niesamowity, wystrój, muzyka, na, żywo, fortepian, prezentacja, wizualna, deserów, koniecznie, trzeba, rezerwować, z, wyprzedzeniem, taka, renoma]",5.0,0.0625,"Niesamowity wystrój, muzyka na żywo - fortepian. Prezentacja wizualna deserów :)
Koniecznie trzeba rezerwować z wyprzedzeniem, taka renoma.",18.0,16.0,3.0
negative,positive,"[imieniny, urodziny, fajny, wystrój, pycha, miejsce]","[okolicznościowe, spotkania, imieniny, urodziny, itp, warto, zorganizować, w, różanej, klimatyczne, salki, fajny, wystrój, a, nade, wszystko, bardzo, dobre, dania, placuszki, z, kawiorem, i, łososiem, pycha, dodając, do, tego, miłą, obsługędyskretną, muzykę, na, żywo, mamy, fajną, miejscówkę, w, weekend, raczej, trzeba, wcześniej, zarezerwować, miejsce]",4.0,-0.011627906976744186,"Okolicznościowe spotkania ( imieniny, urodziny itp.) warto zorganizować w Różanej. Klimatyczne salki,
fajny wystrój a nade wszystko bardzo dobre dania (placuszki z kawiorem i łososiem - pycha).. Dodając do tego miłą obsługę,dyskretną muzykę na żywo mamy fajną miejscówkę.
W weekend raczej trzeba wcześniej zarezerwować miejsce.",45.0,43.0,6.0
positive,positive,"[miła, duży]","[bywamy, tu, dość, często, zawsze, super, miła, obsługa, duży, wybór, deserów, sprawia, że, zawsze, jak, myślę, o, weekendowym, obiedzie, to, swoje, kroki, kieruję, do, różanej, można, też, liczyć, na, pyszną, rybę, nie, wspomnę, o, daniach, mięsnych, które, są, pyszne]",5.0,0.04700854700854701,"Bywamy tu dość często, zawsze super miła obsługa . Duży wybór deserów sprawia, że zawsze jak myślę o weekendowym obiedzie to swoje kroki kieruję do Różanej!
Można też liczyć na pyszną rybę nie wspomnę o daniach mięsnych, które są pyszne !",41.0,39.0,2.0
neutral,positive,"[miejsce, bratowa, stosunek]","[wszystkie, rodzinne, jubileusze, i, przyjazdy, najbliższych, krewnych, z, usa, świętujemy, w, ""różanej"", od, października, byliśmy, pięciokrotnie, uwielbiam, to, niezwykle, klimatyczne, miejsce, a, moja, bratowa, i, kuzynki, wspominają, amerykańskie, ""różaną"", z, wielkim, sentymentem, dobre, jedzenie, niewygorowane, ceny, a, przede, wszystkim, przemiła, obsługa, stosunek, ceny, dowięcej]",5.0,0.0,"Wszystkie rodzinne jubileusze i przyjazdy najbliższych krewnych z USA świętujemy w ""Różanej"" - od października byliśmy pięciokrotnie. Uwielbiam to niezwykle klimatyczne miejsce, a moja bratowa i kuzynki wspominają amerykańskie ""Różaną"" z wielkim sentymentem. Dobre jedzenie, niewygorowane ceny, a przede wszystkim przemiła obsługa; stosunek ceny do...Więcej",45.0,44.0,3.0
neutral,positive,[],"[super, smacznie, bardzo, polecam, kilka, sal, profesjonalna, obsluga, dobre, na, lunch, jak, i, na, sniadanie, j]",5.0,0.0,"super smacznie, bardzo polecam, kilka sal, profesjonalna obsluga, dobre na lunch jak i na sniadanie j",16.0,16.0,0.0
positive,positive,"[brunch, klimatyczny]","[lunch, brunch, z, rodziną, lub, biznesie, na, kazdą, okazje, super, bardzo, dobre, dania, klimatyczny, wystroj]",4.0,0.06666666666666667,"Lunch, brunch, z rodziną lub biznesie, na kazdą okazje super. Bardzo dobre dania. Klimatyczny wystroj.",15.0,15.0,2.0
positive,positive,"[elegancki, czas]","[jeżeli, chcesz, iść, do, stylowej, restauracji, na, randkę, albo, lunch, lub, kolację, biznesową, albo, zabrać, na, elegancki, obiad, rodziców, lub, teściów, albo, zjeść, coś, pysznego, i, spędzić, miło, czas, z, żonąmężem, to, tą, restaurację, mogę, ci, z, pełnym, przekonaniem, polecić]",5.0,0.02857142857142857,"Jeżeli chcesz iść do stylowej restauracji na randkę, albo lunch lub kolację biznesową, albo zabrać na elegancki obiad rodziców lub teściów, albo zjeść coś pysznego i spędzić miło czas z żoną/mężem, to tą restaurację mogę Ci z pełnym przekonaniem polecić!",40.0,40.0,2.0
negative,positive,"[pyszny, cielęcina]","[byłam, w, różanej, na, rodzinnym, obiedzie, świetna, obsługa, chyba, najlepsza, w, miescie, super, profesjonalna, uprzejma, i, nie, narzucająca, się, kelnerzy, doskonale, znają, menu, i, potrawy, i, potrafią, doradzić, odpowiednie, wino, jadlam, pyszny, rosół, z, kołdunami, oraz, cielecinę, z, kopytkami, cielęcina, była, może, troszkę, zawięcej]",5.0,-0.030303030303030307,"Byłam w Różanej na rodzinnym obiedzie, świetna obsługa, chyba najlepsza w miescie - super profesjonalna, uprzejma i nie narzucająca się. Kelnerzy doskonale znają menu i potrawy i potrafią doradzić odpowiednie wino. Jadlam pyszny rosół z kołdunami oraz cielecinę z kopytkami. Cielęcina była może troszkę za...Więcej",45.0,44.0,2.0
neutral,positive,[],"[mnóstwo, kartofli, mnóstwo, soczewicy, a, mięsa, coraz, mniej, ryb, to, już, prawie, nie, widać, na, talerzu, pod, listkiem, sałaty]",2.0,0.0,"Mnóstwo kartofli, mnóstwo soczewicy a mięsa coraz mniej. Ryb to już prawie nie widać na talerzu pod listkiem sałaty",19.0,19.0,0.0
positive,positive,"[piękny, wystrój, piękny, słoneczny, jedyny, mały, minus, pani]","[piękny, wystrój, i, klimat, tej, restauracji, zwłaszcza, ogródek, w, piękny, słoneczny, dzień, świeże, składniki, i, dobrze, skomponowane, dania, jedyny, mały, minus, to, obsługa, niby, profesjonalnie, a, jednak, z, nadęciem, i, przesadnym, dopytywaniem, mimo, to, pani, pomyliła, się, z, 1, zamówieniem, i, zapomniała, o, winie, trzebawięcej]",4.0,0.06402116402116403,Piękny wystrój i klimat tej restauracji. Zwłaszcza ogródek w piękny słoneczny dzień. Świeże składniki i dobrze skomponowane dania. Jedyny mały minus to obsługa. Niby profesjonalnie a jednak z nadęciem i przesadnym dopytywaniem. Mimo to Pani pomyliła się z 1 zamówieniem i zapomniała o winie. Trzeba...Więcej,45.0,45.0,8.0
neutral,positive,"[miejsce, atmosfera]","[bardzo, przyjemne, miejsce, na, spędzenie, wieczoru, świetna, atmosfera, i, pyszne, jedzenie, na, pewo, tu, wrócimy]",5.0,0.0,Bardzo przyjemne miejsce na spędzenie wieczoru. Świetna atmosfera i pyszne jedzenie. Na pewo tu wrócimy,15.0,15.0,2.0
neutral,positive,[],"[rewelacyjna, obsługaświetna, kuchniamiejsce, bardzo, przyjemne, na, spędzenie, wspólnie, sympatycznego, wieczoru]",5.0,0.0,"Rewelacyjna obsługa,świetna kuchnia.Miejsce bardzo przyjemne na spędzenie wspólnie sympatycznego wieczoru.",10.0,10.0,0.0
neutral,positive,[],"[wydaje, sie, ze, czasy, swietnosci, tej, restauracji, minęly, bezpowrotniejedzenie, srednirbez, zaskoczenobsługa, sredniatylko, crny, wciąz, wysokieraczej, nie, wrócę]",3.0,0.0,Wydaje sie ze czasy swietnosci tej restauracji minęly bezpowrotnie...jedzenie srednir.bez zaskoczen..obsługa srednia..tylko crny wciąz wysokie..raczej nie wrócę,17.0,17.0,0.0
positive,positive,"[restauracja, piękny, wystrój]","[typowa, polska, restauracja, ze, smacznym, jedzeniem, piękny, wystrój, zaspokoi, gusta, najwybredniejszych, klientów]",5.0,0.1111111111111111,Typowa polska restauracja ze smacznym jedzeniem. Piękny wystrój zaspokoi gusta najwybredniejszych klientów.,12.0,12.0,3.0
positive,positive,"[efekt, czerwcowy]","[na, restaurację, różaną, można, liczyć, w, każdych, okolicznościach, zawsze, efekt, wow, takiej, ilości, świeżych, kwiatów, w, jednym, miejscu, nigdy, nie, spotkałam, uprzyjemniają, i, dekorują, wnętrza, czy, to, w, lecie, czy, późną, jesienią, korzystałam, z, gościnności, różanej, zarówno, w, kontekście, biznesowym, w, przyjemny, czerwcowy, wieczórwięcej]",5.0,0.022727272727272728,"Na Restaurację Różaną można liczyć w każdych okolicznościach. Zawsze efekt - wow! Takiej ilości świeżych kwiatów w jednym miejscu nigdy nie spotkałam. Uprzyjemniają i dekorują wnętrza czy to w lecie czy późną jesienią. Korzystałam z gościnności Różanej zarówno w kontekście biznesowym, w przyjemny czerwcowy wieczór,...Więcej",45.0,44.0,2.0
neutral,positive,"[znak, przypadkowy, ja, możliwość]","[znak, zapytania, w, tytule, nie, jest, przypadkowy, reszta, towarzystwa, była, bardzo, zadowolona, ja, mam, uwagi, przede, wszystkim, plusy, dużo, kwiatów, ładne, pomieszczenia, pianista, na, żywo, bardzo, pomocna, obsługa, możliwość, zaproszenia, gości, do, wydzielonego, gabineciku, z, czego, skorzystałem, skoro, tak, to, skąd, tytuł, po, prostuwięcej]",3.0,0.0,"Znak zapytania w tytule nie jest przypadkowy - reszta towarzystwa była bardzo zadowolona. Ja mam uwagi. Przede wszystkim plusy. Dużo kwiatów, ładne pomieszczenia, pianista na żywo, bardzo pomocna obsługa. Możliwość zaproszenia gości do wydzielonego gabineciku, z czego skorzystałem. Skoro tak to skąd tytuł? Po prostu...Więcej",45.0,44.0,4.0
positive,positive,"[kuchnia, wystrój, nastrojowy, muza, ktoś]","[kuchnia, wyśmienita, szybka, fachowa, obsługa, wystrój, nastrojowy, muza, dobra, choć, trochę, trza, ściszyć, momentamipolecam, jeśli, ktoś, chce, spróbować, polska, kuchnie, to, tylko, tu, sporo, i, do, syta]",5.0,0.10493827160493827,Kuchnia wyśmienita szybka fachowa obsługa wystrój nastrojowy muza dobra choć trochę trza ściszyć momentami.polecam jeśli ktoś chce spróbować polska kuchnie to tylko tu sporo i do syta,27.0,27.0,5.0
positive,positive,"[wspaniały, minus, długi, czas, świetny, dyskretny]","[wspaniały, wystój, w, pięknej, willi, układ, stolików, poukrywanych, w, różnych, zakątkach, pozwala, na, delektowanie, się, posiłkiem, przepyszne, jedzenie, począwszy, od, zakąsek, a, skończywszy, na, deserze, minus, za, długi, czas, oczekiwania, świetny, dyskretny, serwis]",5.0,0.06060606060606061,"Wspaniały wystój ,w pięknej willi. Układ stolików poukrywanych w różnych zakątkach pozwala na delektowanie się posiłkiem. Przepyszne jedzenie począwszy od zakąsek ,a skończywszy na deserze, Minus za długi czas oczekiwania. Świetny ,dyskretny serwis.",33.0,33.0,6.0
