detectedEmotion,emotion,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
positive,positive,"[do, dla, widz, i, wiara, propozycja, swój, się, z, religia, dystans]",6.0,0.09090909090909091,"Ciekawa propozycja dla widzów z dystansem do siebie, religii i swojej wiary.",12.0,11.0,2.0
positive,positive,"[sugerować, niezły, efektowny, przyzwoity, i, samoakceptacja, film, tytuł, tylko, nie, tragedia, poradnik, komedia, który]",6.0,0.07142857142857142,"Jest efektownym poradnikiem samoakceptacji, ""Biblią dla opornych"", niezłą komedią i przyzwoitą tragedią. Wszystkim tylko nie filmem, który sugeruje tytuł.",19.0,14.0,6.0
negative,negative,"[do, chwila, komediowy, widz, gubić, tempo, często, dowcipny, tak, natłok, przywiązanie, pomysł, potrzebny, repertuar, gin, w, feeling]",5.0,-0.058823529411764705,"Co chwilę gubi tempo. Pośród natłoku często dowcipnych pomysłów ginie feeling, tak potrzebny w przywiązaniu widza do komediowego repertuaru.",19.0,17.0,4.0
negative,negative,"[zasługiwać, laur, na, film, ale, nie, więc, wielki, przyzwoity]",5.0,-0.05555555555555555,"Jest więc filmem przyzwoitym, ale na wielkie laury nie zasługuje.",10.0,9.0,2.0
positive,negative,"[móc, koncept, wiele, o, rozwinięcie, który, być, lepsze, ciekawy]",5.0,0.2777777777777778,"Pozostaje ciekawym konceptem, którego rozwinięcie mogłoby być o wiele lepsze.",10.0,9.0,3.0
negative,negative,"[ikonografia, specjalnie, obrazoburczy, ani, przewrotność, swój, katolicki, mądry, zabawa, kina, i, Ania, schemat, w, z, hollywoodzki, biblijny]",5.0,-0.08823529411764706,"Laicka zabawa katolicką ikonografią i schematami z hollywoodzkiego kina biblijnego. Ani obrazoburcza, ani specjalnie mądra w swojej przewrotności.",18.0,17.0,6.0
neutral,negative,"[zakamuflować, kina, i, jako, próba, słowo, upchnąć, odbierać, w, model, oszustwo, pod, film]",4.0,0.0,"Historyczno-materialistyczny model kina upchnięty w niby-rozrywkowy film i zakamuflowany pod słowem ""komedia"" odbieram jako próbę oszustwa.",16.0,13.0,2.0
positive,negative,"[zwyczajnie, powierzchni, zabieg, nieudolnie, zaledwie, stworzyć, humorystyczny, gag, snuj, już, puenta, mało, niebanalny, i, usiłować, dawno, to, niestety, większość, w, się, narracja, katalog, zabawny, po, zużyty]",4.0,0.057692307692307696,"Ogół puent, gagów i humorystycznych zabiegów to w większości katalog już dawno zużyty i zwyczajnie mało zabawny. Film zaledwie snuje się po powierzchni i niestety nieudolnie usiłuje stworzyć niebanalną narrację.",30.0,26.0,4.0
negative,negative,"[wypuszczać, poprzez, się, ale, niż, szybko, fabularny, kontrowersyjny, z, i, nudny, warstwa, nużyć, temat, nijaki, balonik, powietrze, po, napompować, nieco]",4.0,-0.15,"Ślizga się po nieco kontrowersyjnym temacie, ale poprzez nijaką i nudną warstwę fabularną, nuży szybciej niż powietrze wypuszczane z napompowanego balonika.",21.0,20.0,2.0
positive,positive,"[mistrzostwo, można, ale, ani, powstały, Ray, film, podstawa, wersja, on, oglądać, na, książka, czytać, przesada, jeśli, taki, po, oko, jako, się, nie, za, prosty, pierwsza, produkcja, być, uznać, dobry, thriller, o, w, który, obydwa]",7.2,0.027450980392156862,"Pisanie o mistrzostwie Sekretu w ich oczach jako takim byłoby przesadą, ale jeśli nie oglądało się pierwszej wersji thrillera, ani nie czytało książki, na podstawie której powstały obydwie produkcje, film Billy'ego Raya można po prostu uznać za dobry.",38.0,34.0,8.0
negative,positive,"[oryginał, całkiem, być, prosty, film, blado, bynajmniej, wypadać, to, lub, w, nieudany, z, po, zły, zestawienie]",6.0,-0.171875,Nie jest to bynajmniej zły lub całkiem nieudany film - po prostu w zestawieniu z oryginałem wypada blado...,18.0,16.0,4.0
neutral,negative,"[warto, chyba, strasznie, tylko, się, ale, służyć, żeby, ten, że, temu, okazać, poczekać, mi, być, rozwlekać, bardzo]",5.0,0.0,"Dłużył mi się strasznie. Ostatecznie okazało się, że warto było poczekać, ale rozwlekanie tego ""dzieła"" służy chyba tylko temu, żeby było bardziej ""artystyczne"".",23.0,17.0,1.0
negative,negative,"[rola, niemalże, film, razić, poprzedni, walka, swoić, być, historia, reżyser, kwestia, sztuczność, rozczarowywać, dotyczyć, z, ciekawie, i, chemia, terroryzm, opowiedzieć, tło, główny, między, odtwórca, brak, liznąć]",5.0,-0.19230769230769232,"Na tle poprzednich filmów reżysera rozczarowuje. Brak jest ciekawie opowiedzianej historii, niemalże liźnięcie kwestii dotyczącej walki z terroryzmem i brakiem chemii między odtwórcami głównych ról rażą swoją sztucznością.",28.0,26.0,7.0
positive,negative,"[choć, błyszczący, thriller, od, Marna, wersja, w, argentyński, gwiazda, obsada]",5.0,0.2,Marna - choć w obsadzie błyszcząca od gwiazd - wersja argentyńskiego thrillera.,12.0,10.0,4.0
positive,negative,"[majstersztyk, można, się, tutaj, cały, film, zmienić, powiedzieć, samo, o, to, w, banał, argentyński, z, oryginał]",5.0,0.020833333333333332,Jednoujęciowy majstersztyk z argentyńskiego oryginału zmienił się tutaj w banał. I to samo można powiedzieć o całym filmie.,18.0,16.0,2.0
positive,negative,"[pozbawić, aktorsko, i, on, siły, technicznie, argentyński, polot, remake, arcydzieło]",4.0,0.1,"Zręczny technicznie i aktorsko remake argentyńskiego arcydzieła, pozbawiony jego siły i polotu.",12.0,10.0,5.0
negative,negative,"[przegrana, wszystko, pusta, to, bolesny, ale, wypadać, zrobić, bezdusznie, tragedia, film, w, profesjonalnie, uczucia]",4.0,-0.41428571428571426,"Rzecz profesjonalnie zrobiona, ale pusta. Dramaty, przegrane uczucia, bolesne tragedie - wszystko to wypada w filmie bezdusznie.",17.0,14.0,3.0
negative,negative,"[twist, popcorn, przejmujący, w, rozterk, oryginał, się, tutaj, historia, dramatyczny, thriller, pustka, zapominać, i, na, przeciętny, podłoga, tragedia, który, krótko, odstawić, zmieniać, wieja, szokujący, po]",3.3,-0.10666666666666666,"Wszystkie tragedie, rozterki i dramatyczne twisty oryginału tutaj wieją pustką. Gęsta, przejmująca i szokująca historia zmienia się w przeciętny thriller, który zapominamy krótko po odstawieniu na podłogę popcornu.",28.0,25.0,4.0
neutral,positive,"[Lang, się, wad, wiele, oglądać, Krzysztofa, naprawdę, dobrze, film]",7.0,0.0,"Mimo wielu wad, film Krzysztofa Langa ogląda się naprawdę dobrze.",10.0,9.0,0.0
negative,positive,"[romantyczny, miło, który, Polska, zaskakiwać, komedia]",6.7,-0.125,"Polska komedia romantyczna, która miło zaskakuje.",6.0,6.0,3.0
neutral,positive,"[charakter, ale, z]",6.0,0.0,"Niezły, ale z charakterem.",4.0,3.0,1.0
positive,positive,"[do, który, czy, dzięki, Piotr, się, Karol, poprawny, sil, gwarantować, brawura, czemu, daleko, niegłupi, banalność, opowiadanie, Tomasz, rozrywka, i, Wereśniak, bezpieczny, o, Krzysztof, kobiecy, środek, Lang, w, niezależność, plasować, Konecki]",6.0,0.2138888888888889,"Krzysztofowi Langowi daleko do brawury Lejdis Tomasza Koneckiego czy banalności Och Karol 2 Piotra Wereśniaka, dzięki czemu plasuje się w bezpiecznym środku poprawnego opowiadania, które gwarantuje niegłupią rozrywkę o kobiecej sile i niezależności.",33.0,30.0,7.0
negative,positive,"[teraźniejszość, wszystko, co, sprzedaj, okazja, zostać, ale, można, szmirowaty, że, być, udany, komedia, dzieło, na, prawda, to, który, kilka, się, całkiem, oglądać, romantyczny, procent, nie, źle, powiedzieć, o, sto, w, przy, zapowiadać, dograna]",6.0,-0.022727272727272728,"Coś, co zapowiadało się na szmirowatą komedię romantyczną, jest całkiem udanym dziełem, które przy okazji sprzedaje kilka prawd o teraźniejszości. Nie wszystko zostało dograne w stu procentach, ale nie można powiedzieć, że się to ogląda źle.",36.0,33.0,6.0
positive,negative,"[wymaganie, coś, czas, mózg, że, użycie, lekki, film, jednak, humor, na, rzeczywistość, od, oderwany, pierwszorzędnie, zupełnie, spełniać, przychodzić, te, niewymagający]",5.0,0.125,"Komercyjny film, zupełnie oderwany od rzeczywistości. Wiem jednak, że czasem przychodzi humor na coś lekkiego, niewymagającego użycia mózgu. Ten film spełnia te wymagania pierwszorzędnie.",24.0,20.0,6.0
negative,negative,"[tym, można, wycisnąć, być, sam, opowiadać, sam, bo, który, kolejny, Krzysztofa, ten, i, więcej, Lang, wiele, o, to, temat, w, taki, szkoda, z, wiele, sposób]",5.0,-0.08,"Produkcja Krzysztofa Langa to kolejna z wielu, które opowiadają o tym samym i w taki sam sposób. A szkoda, bo można było wycisnąć z tego tematu o wiele więcej.",29.0,25.0,6.0
positive,negative,"[niewymagający, móc, bezpieczny, na, babcia, który, ciocia, z, film, zabrać]",4.0,0.075,"Powstał bezpieczny, niewymagający film, na który możecie zabrać ciocię z babcią.",11.0,10.0,4.0
positive,negative,"[ogół, który, być, bawić, bezpretensjonalny, nie, Słaba, że, wciągać, śmieszny, zbyt, i, kino, oraz, lekki, w, płeć]",3.5,0.08823529411764706,"Najgorsze, że Słaba płeć? nie jest zbyt śmieszna. Tfu - nie jest w ogóle śmieszna! To kino lekkie oraz bezpretensjonalne, które nie bawi i nie wciąga.",26.0,17.0,6.0
positive,negative,"[wszystko, zamysł, schematyczny, się, gubić, nowomiejski, droga, obrazek, twórca, sukces, demaskować, wat, przerysować, sen, nie, zdarzenie, pewne, podołać, i, konwencja, o, postanowić, ładny, jednak, po, rozsypywać, wyostrzyć]",3.0,0.08333333333333333,"Cykl ładnych, schematycznych obrazków, demaskujących nowomiejski sen o sukcesie. W zamyśle, twórcy postanowili przerysować i wyostrzyć pewne zdarzenia, jednak nie podołali konwencji. Gdzieś po drodze wszystko się rozsypuje i gubi.",30.0,27.0,4.0
negative,negative,"[śmiesznie, po, prosty]",2.0,-0.3333333333333333,Jest po prostu... śmiesznie.,4.0,3.0,1.0
negative,negative,"[się, rak, nie, nasz, pozbyć, szybko, polskie, zły, który, drążyć, umysł, i, kino, należeć, sort, jak, aby, męczyć, który]",1.5,-0.07456140350877193,Kino najgorszego sortu. Komediowy rak który drąży polskie kino i którego należy się jak najszybciej pozbyć aby nie męczyło naszych umysłów.,21.0,19.0,5.0
negative,positive,"[mądry, dla, mały, i, duży, animacja]",9.0,-0.027777777777777776,Nareszcie mądra animacja dla małych i dużych.,7.0,6.0,4.0
positive,positive,"[ciepły, do, nutka, być, odbiorca, być, młody, się, grono, nostalgia, przypomnieć, film, Brown, nic, pozornie, sympatyczny, tym, serdeczny, Schroeder, Charlie, bo, Linus, nie, wobec, początki, móc, skierować, złe, i, znajomości, ferajna, w, z, poczuć]",7.0,0.0160427807486631,"Produkcja pozornie skierowana do najmłodszego grona odbiorców jest ciepłym, serdecznym, sympatycznym filmem. Starsi mogą poczuć nutkę nostalgii wobec ferajny: Linusa, Lucy, Patty, Schroedera i nie będzie w tym nic złego, bo przypomną sobie początki znajomości z Charlie Brownem.",38.0,34.0,6.0
positive,positive,"[pozytywny, i, ciepło, animacja, energia, pełny]",7.0,0.8055555555555555,"Przeurocza animacja. Radosna i ciepła, pełna pozytywnej energii.",8.0,6.0,5.0
negative,positive,"[i, dla, duży, mały]",7.0,-0.2916666666666667,Polecam dla małych i dużych.,5.0,4.0,2.0
positive,positive,"[okazały, wygładzić, sensowny, przekąska, się, całkiem]",7.0,0.5,"Mimo wygładzenia, ""Fistaszki"" okazały się całkiem sensowną przekąską.",8.0,6.0,2.0
