detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
positive,positive,"[frapujący, ważny, świetny, błyskotliwy, który, humor, swój, dramaturgia, forma, bohater, autentyczny, postać]","[co, przed, frapujący, oprzeć, opowieść, poczucie, prowadzić, ważny, zrównoważyć, świetny, dla, poruszający, błyskotliwy, historia, przez, wątek, my, bezpośrednio, zajmująco, wszystko, do, znakomicie, budować, się, który, nadzwyczaj, humor, swój, dramaturgia, forma, zwracać, bohater, znaleźć, z, widz, autentyczny, również, i, postać, na, jednak]",8.3,0.25365853658536586,"McKay znalazł błyskotliwą formę dla swojej opowieści, przez którą prowadzą nas również bohaterowie, zwracając się bezpośrednio do widzów. Znakomicie zrównoważył świetne poczucie humoru z wątkami poruszającymi, nadzwyczaj zajmująco budując dramaturgię. Przede wszystkim jednak oparł historię na frapujących i co ważne - autentycznych postaciach.",43.0,41.0,12.0
positive,positive,"[finezyjny, estetyka]","[finezyjny, dokumentalizować, się, niezwykle, posługiwać, estetyka, w, sposób]",8.3,0.125,Posługuje się w sposób niezwykle finezyjny estetyką dokumentalizującą.,8.0,8.0,2.0
positive,positive,"[ważny, błyskotliwy, lekki]","[ważny, być, i, film, potrzebny, bardzo, błyskotliwy, formia, w, lekki]",8.3,0.08333333333333334,"Lekki w formie, błyskotliwy ""Big short"" jest filmem bardzo ważnym i potrzebnym.",12.0,10.0,3.0
negative,positive,"[pozycja, który, ten, finansowy, geneza, sam, kryzys]","[do, pozycja, który, ten, finansowy, geneza, pozwalać, opowiedzieć, zrozumieć, historia, aktorski, zachęcać, już, konsekwencja, i, sam, świetnie, po, kryzys, obsada, właśnie, sięgnąć]",8.0,-0.13636363636363635,"Świetnie opowiedziana historia, która pozwala zrozumieć genezę i konsekwencje kryzysu finansowego. Już sama obsada aktorska zachęca do sięgnięcia właśnie po tę pozycję.",22.0,22.0,7.0
negative,positive,"[proces, ciężki, życie, który, nudny, go]","[warto, proces, nasze, ciężki, wpłynąć, choć, i, na, życie, który, zrozumieć, nudny, go, zobaczyć, film]",8.0,-0.07692307692307691,"Choć film ciężki i nudny, warto go zobaczyć. Zrozumieć procesy, które wpłynęły na nasze życia.",15.0,15.0,6.0
neutral,positive,"[ten, ten]","[warto, podobnie, czy, ten, poznawać, ale, mieć, ten, zdanie, moi, nie, sprawdzić, być, z, historia, przeszkodzić, mi, bawić, to, się, mało, dobrze, zrozumieć]",8.0,0.0,"Mało z tego zrozumiałem, ale nie przeszkodziło mi to dobrze się bawić, poznając tę historię. Sprawdźcie, czy będziecie mieć podobnie - moim zdaniem warto.",24.0,23.0,2.0
neutral,positive,"[który, który]","[zrozumieć, się, trafić, dużo, nie, który, tak, a, jednak, podobać, na, mi, dawno, bardzo, film, z, który]",8.0,0.0,"Dawno jednak nie trafiłam na film, z którego tak dużo nie zrozumiałam, a który jednak tak bardzo mi się podobał.",20.0,17.0,2.0
positive,positive,"[mądry, czołówka, ważny, go, czas, wyścig, ścisły]","[mądry, bo, czołówka, ważny, doskonale, tylko, być, że, być, go, oscar, aktorstwo, film, a, i, na, czas, lubić, zrealizować, temat, naprawdę, przednie, w, wyścig, ścisły, pomagać, po]",8.0,0.02160493827160494,"Doskonale zrealizowany film będzie w ścisłej czołówce w wyścigu po Oscary, bo i temat na czasie, i aktorstwo naprawdę przednie, a że jest mądry i ważny tylko pomagają go lubić.",30.0,27.0,7.0
negative,positive,[szalony],"[zaskakująco, na, facet, o, jak, w, szalony, film, garnitur]",8.0,-0.07407407407407407,Zaskakująco szalony jak na film o facetach w garniturach.,9.0,9.0,1.0
positive,positive,[humor],"[i, humor, przystępnie, z, wartko]",8.0,0.4,"Przystępnie, wartko i z humorem.",5.0,5.0,1.0
positive,positive,"[poczciwy, swój, nikt, życie, inteligentnie]","[zasada, poczciwy, swój, gracja, nikt, oświeceniowy, życie, twórca, taka, nie, inteligentnie, jasno, i, światopogląd, dawno, w, wcielać, z, prezentować]",8.0,0.13157894736842105,"Twórcy swój światopogląd prezentują jasno i inteligentnie. Dawno nikt z taką gracją nie wcielał w życie poczciwej oświeceniowej zasady ""bawiąc, uczyć"".",21.0,19.0,5.0
negative,positive,"[kompensacyjny, sprytny, kryzys, ekonomiczny, komedia, ludzki, głupota]","[diabelsko, kompensacyjny, przyczyna, i, jednocześnie, sprytny, kryzys, rok, o, ekonomiczny, komedia, ludzki, z, głupota]",7.5,-0.16666666666666669,Kompensacyjna komedia o przyczynach kryzysu ekonomicznego z 2008 roku. I jednocześnie o ludzkiej głupocie. Diabelsko sprytna.,16.0,14.0,7.0
negative,positive,"[proces, zawiłość, bankowy]","[brak, zafascynować, i tak dalej, ale, ugiąć, proces, też, termin, potrafić, pod, zaciekawić, zawiłość, bankowy, i, znajomości, znużyć, ciężar, się]",7.0,-0.05555555555555555,"Potrafi zafascynować, ale i znużyć, zaciekawić, ale też ugiąć się pod ciężarem braku znajomości terminów i zawiłości procesów bankowych itd.",20.0,18.0,3.0
negative,positive,"[ten, walka]","[warto, ten, tylko, się, wiatrak, pokazać, że, cieszyć, reżyser, jeść, film, nawet, zdecydować, na, nakręcić, jeżeli, być, z, walka]",7.0,-0.02631578947368421,"Cieszę się, że reżyser zdecydował się na walkę z wiatrakami. Nawet jeżeli tylko je pokazał, warto było nakręcić ten film.",20.0,19.0,2.0
negative,positive,"[postać, konkretny, sprawca, kryzys, osoba]","[moralizować, do, instytucja, czy, dobrze, ale, konkretnie, nie, wpłynąć, twórca, że, postać, konkretny, sygnalizować, sprawca, tani, czynnik, nawet, na, wiele, kryzys, to, uciekać, w, się, wyraźnie, osoba, wskazywać]",7.0,-0.017857142857142856,"Dobrze, że twórcy nie uciekają się do taniego moralizowania, nie wskazują konkretnie sprawców kryzysu w postaci konkretnych osób czy nawet instytucji, ale wyraźnie sygnalizują, że wpłynęło na to wiele czynników.",30.0,28.0,5.0
positive,positive,"[marazm, porządny, energetyczny, atrakcyjny, świetny, który, czas, dźwiękowy]","[wszystko, marazm, porządny, energetyczny, przed, tworzyć, się, pozwolić, nie, oglądać, atrakcyjny, przyjemnie, popaść, świetny, dzieło, który, ścieżka, czas, wizualnie, oglądać, dźwiękowy, to, w, z]",7.0,0.1527777777777778,"Ogląda się to przede wszystkim przyjemnie. McKay tworzy dzieło atrakcyjne, świetne wizualnie, z porządną, energetyczną ścieżką dźwiękową, która nie pozwoli popaść w czasie oglądania w marazm.",26.0,24.0,8.0
negative,positive,"[ten, ten, łatwy, aktor, ubrany, zawiły, zdolny, komedia, seans, produkcja, który]","[ten, ten, choć, akurat, łatwy, aktor, ubrany, być, pod, film, zostawać, wciągnąć, na, aktorski, należeć, szaty, dostatek, tym, zawiły, do, zdolny, nie, komedia, kreacja, a, seans, produkcja, pocieszenie, dość, w, który, opowieść]",6.0,-0.005208333333333332,"Film ten choć ubrany w szaty komedii, nie należy do seansów łatwych. Tym, których nie wciągnie dość zawiła opowieść, na pocieszenie zostają kreacje aktorskie, a zdolnych aktorów w tej produkcji jest akurat pod dostatkiem.",34.0,32.0,11.0
neutral,positive,"[ten, mama, ludzie, wrażenie]","[stworzyć, ten, specjalizować, tylko, nie, zwykły, mama, film, dla, zostać, ludzie, że, w, temat, jednak, wrażenie, się]",6.0,0.0,"Mam jednak wrażenie, że film został stworzony nie dla zwykłych ludzi tylko tych specjalizujących się w temacie.",17.0,17.0,4.0
positive,positive,"[czas, chaos, klarowny, zajmujący, bieg]","[warto, czas, się, chaos, klarowny, więc, zajmujący, paradoksalnie, mimo, tak, bieg, pośród, i, historia, zawrzeć, udawać, świecidełko, z, coraz, przefajnować, bardzo]",6.0,0.09523809523809523,"McKayowi paradoksalnie udaje się pośród chaosu i świecidełek zawrzeć klarowną, z biegiem czasu coraz bardziej zajmującą historię. Tak więc, mimo przefajnowania - warto.",23.0,21.0,5.0
negative,positive,"[przystępny, dramat, próba, kryzys, śmiały, finansowy, przedstawienie, komedia]","[przystępny, dramat, na, balansować, pomiędzy, być, próba, a, kryzys, śmiały, początki, możliwie, dodatek, w, finansowy, przedstawienie, komedia, sposób]",6.0,-0.1111111111111111,"Jest śmiałą próbą przedstawienia początków kryzysu finansowego w możliwie przystępny sposób, na dodatek balansując pomiędzy dramatem a komedią.",18.0,18.0,8.0
positive,negative,"[ciągły, powaga, drugi, ciekawy]","[do, zdanie, pomysł, z, widz, realizacja, ciągły, film, a, mieszać, już, powaga, drugi, i, ciekawy, gdzie, się, skopać, groteska, z, puszczanin, po, nużyć]",5.0,0.07608695652173914,"Film z ciekawym pomysłem i ze skopaną realizacją, gdzie powaga miesza się z groteską, a ciągłe puszczanie ""oczka"" do widza nuży już po drugim zdaniu Ryana Goslinga.",27.0,23.0,4.0
negative,positive,"[śmieszny, fakt, cyniczny, zgryw, ład, bluźnierczy, zuchwały, nim, poetycki, moralny, koturnowy, słodycz, alternatywny]","[zapowiadać, śmieszny, fakt, ale, ślad, że, być, szukać, cyniczny, się, tak, przewrotnie, nadzieja, tu, zgryw, ład, bluźnierczy, jakby, początek, zuchwały, obraźliwy, nim, się, nie, poetycki, moralny, koturnowy, słodycz, mieć, i, alternatywny, ośmieszać, w, wcale]",8.3,-0.11764705882352941,"Ma w sobie słodycz ""Amelii"", jest poetycki, ale nie koturnowy, śmieszny, ale nie ośmieszający, zuchwały, ale nie obraźliwy. I wcale nie tak bluźnierczy, jakby zapowiadał początek: nie ma tu śladu cynicznej zgrywy, szuka się w nim - fakt, że przewrotnie - alternatywnych ładów moralnych, szuka nadziei.",46.0,34.0,13.0
positive,positive,"[który, rozwój, spójny, zainteresowanie]","[który, przepełnić, utrzymywać, oraz, rozwój, fabuła, być, spójny, gag, zainteresowanie, stanowić, widz]",8.0,0.2916666666666667,"Przepełniony jest gagami, które stanowią spójny rozwój fabuły oraz utrzymują zainteresowanie widza.",12.0,12.0,4.0
negative,positive,"[prosty, dobry, zabawa]","[zapewniać, ale, bowiem, nie, założenie, mniej, prosty, dobry, już, obrazoburczy, van, ekskomunika, i, na, wykonanie, w, on, zabawa, po, liczyć, nieco]",8.0,-0.0031746031746031737,"Obrazoburczy w założeniu, ale w wykonaniu już nieco mniej. Van Dormael nie liczy bowiem na ekskomunikę, ale po prostu na dobrą zabawą. I ją zapewnia.",25.0,21.0,3.0
negative,positive,"[który, szczególność, komedia, wybredny]","[zrealizować, który, widz, dobrze, powinny, bardzo, bawić, szczególność, w, komedia, wybredny]",8.0,-0.18181818181818182,"Bardzo dobrze zrealizowana komedia, która powinna bawić w szczególności wybredniejszych widzów.",11.0,11.0,4.0
positive,positive,"[wysoki, cały]","[wysoki, tym, ale, nie, im, warto, trzymać, dalej, słabieć, i, cały, film, w, las, fason, tak]",7.0,0.06547619047619048,"Im dalej w las, tym słabiej i nie cały film trzyma wysoki fason. Ale i tak warto.",17.0,16.0,2.0
positive,positive,"[treść, jeden, miejsce, ekranowy, forma, człowieczeństwo]","[treść, przejmujący, jeden, on, sztywny, miejsce, najbardziej, obraz, ekranowy, forma, trochę, człowieczeństwo, nużyć, tworzyć, z, lecz]",6.7,0.0625,"Jego sztywna forma miejscami trochę nuży, lecz treść tworzy jeden z najbardziej przejmujących, ekranowych obrazów człowieczeństwa.",16.0,16.0,6.0
negative,positive,"[regularny, rozczarowanie]","[być, można, niż, blisko, repertuar, regularny, ale, zachwycać, rozczarowanie, zupełnie, w, swobodnie, oczarowanie, się]",6.7,-0.125,"Byłem bliżej rozczarowania, niż oczarowania, ale w regularnym repertuarze ""Zupełnie Nowym Testamentem"" można się zupełnie swobodnie zachwycać.",17.0,14.0,2.0
positive,positive,"[postać, przyjemność, go, wzgląd, humor, pewność, ciekawy, który, kolejny, minuta]","[wszystko, przed, z, się, świat, pomysł, oglądać, postać, wykreować, przyjemność, go, wzgląd, film, mimo, humor, i, pewność, na, ciekawy, rozmywać, to, niestety, który, kolejny, z, stanowić, minuta, nieco]",6.0,0.25,"Stanowi z pewnością przede wszystkim ciekawy pomysł na film, który niestety z kolejnymi minutami nieco się rozmywa. Mimo to, ze względu na humor i wykreowanie postaci i świata, ogląda się go z przyjemnością.",33.0,28.0,10.0
positive,positive,"[poważny, zbyt, niezły, szczęście, komedia]","[chyba, moment, sum, choć, widz, ale, fantasy, być, coś, swoje, przeciągnięty, przyzwoicie, poważny, zbyt, na, niż, niezły, rozbawić, udawać, wiele, nieco, szczęście, to, tylko, potrafić, bycie, zwykły, właśnie, chodzić, mieć, i, o, komedia, moment, w, trochę]",6.0,0.020833333333333332,"Ma swoje niezłe momenty, choć jest nieco zbyt przeciągnięty i trochę udający bycie czymś poważniejszym niż tylko zwykłą komedią fantasy. Ale na szczęście w wielu momentach potrafi przyzwoicie widza rozbawić i w sumie chyba właśnie o to chodzi.",38.0,36.0,5.0
negative,positive,"[ograny, ból, oklepany]","[do, i, być, ograny, prawda, objawić, ból, chwyt, wypełnić, oklepany]",6.0,-0.4,Wypełniony jest oklepanymi do bólu prawdami objawionymi i ogranymi chwytami.,10.0,10.0,3.0
positive,positive,"[gatunkowy, belgijski, poprzedni, poważny, zabawny, inny]","[gatunkowy, stricte, belgijski, proporcja, poprzedni, nie, film, być, reżyser, van, taki, już, poważny, dalej, chociaż, film, zabawny, i, przy, inny, zaskoczyć, formia, łączyć, jak, w, z, stworzyć]",6.0,0.009259259259259259,"Van Dormael nie zaskoczył i nie stworzył filmu stricte gatunkowego. Belgijski reżyser dalej łączy zabawne z poważnym, chociaż w innych proporcjach i nie jest już w takiej formie jak przy poprzednich filmach.",32.0,27.0,6.0
positive,positive,"[swój, ciekawy, dystans]","[do, dla, widz, i, wiara, propozycja, swój, ciekawy, się, z, religia, dystans]",6.0,0.20833333333333334,"Ciekawa propozycja dla widzów z dystansem do siebie, religii i swojej wiary.",12.0,12.0,3.0
positive,positive,"[przyzwoity, niezły, tragedia, który, efektowny, komedia]","[wszystko, sugerować, przyzwoity, samoakceptacja, niezły, tylko, nie, tragedia, być, który, efektowny, i, film, tytuł, poradnik, komedia]",6.0,0.0625,"Jest efektownym poradnikiem samoakceptacji, ""Biblią dla opornych"", niezłą komedią i przyzwoitą tragedią. Wszystkim tylko nie filmem, który sugeruje tytuł.",19.0,16.0,6.0
negative,negative,"[komediowy, tempo, dowcipny, natłok]","[do, co, chwila, komediowy, widz, gubić, tempo, często, dowcipny, tak, przywiązanie, pomysł, potrzebny, pośród, repertuar, gin, w, feeling, natłok]",5.0,-0.05263157894736842,"Co chwilę gubi tempo. Pośród natłoku często dowcipnych pomysłów ginie feeling, tak potrzebny w przywiązaniu widza do komediowego repertuaru.",19.0,19.0,4.0
negative,negative,"[wielki, przyzwoity]","[zasługiwać, laur, na, film, ale, nie, więc, wielki, przyzwoity, być]",5.0,-0.05,"Jest więc filmem przyzwoitym, ale na wielkie laury nie zasługuje.",10.0,10.0,2.0
positive,negative,"[koncept, który, ciekawy]","[móc, koncept, wiele, o, rozwinięcie, który, być, pozostawać, lepsze, ciekawy]",5.0,0.25,"Pozostaje ciekawym konceptem, którego rozwinięcie mogłoby być o wiele lepsze.",10.0,10.0,3.0
negative,negative,"[laicki, przewrotność, swój, katolicki, mądry, zabawa, hollywoodzki]","[ikonografia, specjalnie, obrazoburczy, ani, laicki, przewrotność, swój, katolicki, mądry, zabawa, kina, i, schemat, w, z, hollywoodzki, biblijny]",5.0,-0.11764705882352941,"Laicka zabawa katolicką ikonografią i schematami z hollywoodzkiego kina biblijnego. Ani obrazoburcza, ani specjalnie mądra w swojej przewrotności.",18.0,17.0,7.0
neutral,negative,"[próba, słowo]","[zakamuflować, kina, i, jako, próba, słowo, upchnąć, odbierać, w, model, oszustwo, pod, film]",4.0,0.0,"Historyczno-materialistyczny model kina upchnięty w niby-rozrywkowy film i zakamuflowany pod słowem ""komedia"" odbieram jako próbę oszustwa.",16.0,13.0,2.0
positive,negative,"[humorystyczny, niebanalny, zabawny, zużyty]","[zwyczajnie, ogół, powierzchni, zabieg, nieudolnie, zaledwie, stworzyć, humorystyczny, gag, snuj, większość, film, puenta, mało, niebanalny, i, usiłować, dawno, to, niestety, już, w, się, narracja, katalog, zabawny, po, zużyty]",4.0,0.05357142857142857,"Ogół puent, gagów i humorystycznych zabiegów to w większości katalog już dawno zużyty i zwyczajnie mało zabawny. Film zaledwie snuje się po powierzchni i niestety nieudolnie usiłuje stworzyć niebanalną narrację.",30.0,28.0,4.0
negative,negative,"[nudny, nijaki]","[wypuszczać, poprzez, się, ale, niż, szybko, fabularny, kontrowersyjny, z, i, nudny, warstwa, ślizgać, nużyć, temat, nijaki, balonik, powietrze, po, napompować, nieco]",4.0,-0.14285714285714285,"Ślizga się po nieco kontrowersyjnym temacie, ale poprzez nijaką i nudną warstwę fabularną, nuży szybciej niż powietrze wypuszczane z napompowanego balonika.",21.0,21.0,2.0
positive,positive,"[mistrzostwo, wersja, przesada, oko, prosty, produkcja, dobry, który]","[mistrzostwo, można, ale, ani, powstały, sekret, film, taki, wersja, on, oglądać, na, książka, czytać, przesada, jeśli, podstawa, po, oko, pisanie, jako, się, nie, za, prosty, pierwsza, produkcja, być, uznać, dobry, thriller, o, w, który, obydwa]",7.2,0.02666666666666667,"Pisanie o mistrzostwie Sekretu w ich oczach jako takim byłoby przesadą, ale jeśli nie oglądało się pierwszej wersji thrillera, ani nie czytało książki, na podstawie której powstały obydwie produkcje, film Billy'ego Raya można po prostu uznać za dobry.",38.0,35.0,8.0
negative,positive,"[prosty, blado, zły, zestawienie]","[oryginał, całkiem, być, prosty, nie, film, blado, bynajmniej, wypadać, to, lub, w, nieudany, z, po, zły, zestawienie]",6.0,-0.16176470588235295,Nie jest to bynajmniej zły lub całkiem nieudany film - po prostu w zestawieniu z oryginałem wypada blado...,18.0,17.0,4.0
neutral,negative,[ten],"[warto, chyba, okazać, ostatecznie, tylko, się, ale, służyć, żeby, ten, że, temu, strasznie, poczekać, dłużyć, mi, być, rozwlekać, bardzo]",5.0,0.0,"Dłużył mi się strasznie. Ostatecznie okazało się, że warto było poczekać, ale rozwlekanie tego ""dzieła"" służy chyba tylko temu, żeby było bardziej ""artystyczne"".",23.0,19.0,1.0
negative,negative,"[rola, poprzedni, walka, sztuczność, tło, główny, odtwórca]","[rola, niemalże, film, razić, poprzedni, walka, swoić, brak, być, historia, reżyser, kwestia, sztuczność, rozczarowywać, dotyczyć, z, ciekawie, i, na, chemia, terroryzm, opowiedzieć, tło, główny, między, odtwórca, brak, liznąć]",5.0,-0.17857142857142858,"Na tle poprzednich filmów reżysera rozczarowuje. Brak jest ciekawie opowiedzianej historii, niemalże liźnięcie kwestii dotyczącej walki z terroryzmem i brakiem chemii między odtwórcami głównych ról rażą swoją sztucznością.",28.0,28.0,7.0
neutral,negative,"[błyszczący, marny, wersja, argentyński, gwiazda]","[choć, błyszczący, thriller, od, marny, wersja, w, argentyński, gwiazda, obsada]",5.0,0.0,Marna - choć w obsadzie błyszcząca od gwiazd - wersja argentyńskiego thrillera.,12.0,10.0,5.0
positive,negative,"[cały, argentyński]","[majstersztyk, można, się, tutaj, cały, film, zmienić, powiedzieć, samo, i, o, to, w, banał, argentyński, z, oryginał]",5.0,0.0196078431372549,Jednoujęciowy majstersztyk z argentyńskiego oryginału zmienił się tutaj w banał. I to samo można powiedzieć o całym filmie.,18.0,17.0,2.0
positive,negative,"[technicznie, argentyński, polot, remake, arcydzieło, zręczny]","[pozbawić, aktorsko, i, on, siły, technicznie, argentyński, polot, remake, arcydzieło, zręczny]",4.0,0.13636363636363635,"Zręczny technicznie i aktorsko remake argentyńskiego arcydzieła, pozbawiony jego siły i polotu.",12.0,11.0,6.0
negative,negative,"[bolesny, przegrana, tragedia, dramat]","[wszystko, pusta, bolesny, ale, bezdusznie, film, profesjonalnie, uczucia, przegrana, wypadać, zrobić, to, tragedia, w, dramat, rzecz]",4.0,-0.4875,"Rzecz profesjonalnie zrobiona, ale pusta. Dramaty, przegrane uczucia, bolesne tragedie - wszystko to wypada w filmie bezdusznie.",17.0,16.0,4.0
negative,negative,"[twist, wszystek, dramatyczny, gęsty, tragedia, który]","[twist, popcorn, przejmujący, w, rozterk, wszystek, się, tutaj, oryginał, historia, dramatyczny, gęsty, thriller, pustka, zapominać, i, na, przeciętny, podłoga, tragedia, który, krótko, odstawić, zmieniać, wieja, szokujący, po]",3.3,-0.09876543209876543,"Wszystkie tragedie, rozterki i dramatyczne twisty oryginału tutaj wieją pustką. Gęsta, przejmująca i szokująca historia zmienia się w przeciętny thriller, który zapominamy krótko po odstawieniu na podłogę popcornu.",28.0,27.0,6.0
neutral,positive,[],"[się, wad, wiele, oglądać, naprawdę, film, dobrze, mimo]",7.0,0.0,"Mimo wielu wad, film Krzysztofa Langa ogląda się naprawdę dobrze.",10.0,8.0,0.0
negative,positive,"[romantyczny, który, polski, komedia]","[romantyczny, miło, który, polski, zaskakiwać, komedia]",6.7,-0.125,"Polska komedia romantyczna, która miło zaskakuje.",6.0,6.0,4.0
positive,positive,"[charakter, niezły]","[charakter, ale, z, niezły]",6.0,0.25,"Niezły, ale z charakterem.",4.0,4.0,2.0
positive,positive,"[który, poprawny, niegłupi, rozrywka, bezpieczny, kobiecy, niezależność]","[do, który, czy, dzięki, się, poprawny, sil, gwarantować, brawura, czemu, daleko, konecki, niegłupi, och, banalność, opowiadanie, rozrywka, i, plasować, bezpieczny, o, kobiecy, środek, w, niezależność]",6.0,0.25666666666666665,"Krzysztofowi Langowi daleko do brawury Lejdis Tomasza Koneckiego czy banalności Och Karol 2 Piotra Wereśniaka, dzięki czemu plasuje się w bezpiecznym środku poprawnego opowiadania, które gwarantuje niegłupią rozrywkę o kobiecej sile i niezależności.",33.0,25.0,7.0
negative,positive,"[okazja, udany, komedia, który, romantyczny, procent]","[teraźniejszość, wszystko, co, sprzedaj, okazja, prawda, ale, można, szmirowaty, że, być, udany, komedia, dzieło, na, zostać, to, się, który, kilka, coś, nie, oglądać, romantyczny, procent, całkiem, źle, powiedzieć, o, sto, w, przy, zapowiadać, dograna]",6.0,-0.022058823529411766,"Coś, co zapowiadało się na szmirowatą komedię romantyczną, jest całkiem udanym dziełem, które przy okazji sprzedaje kilka prawd o teraźniejszości. Nie wszystko zostało dograne w stu procentach, ale nie można powiedzieć, że się to ogląda źle.",36.0,34.0,6.0
