detectedEmotion,emotion,lemmatisation,rate,text,words,wordsAfterLemmatisation,wordsFound
positive,negative,"[komedia, romantyczny, soft, dosłownie, wiać, wieja, beznadzieja, on, nie, doszukać, się, żaden, pozytywny, grać, sztywno, schematycznie, jakby, ród, rod, wyjąć, licealny, koło, koł, koła, kół, nadawać, się, raczej, raczy, bardzo, do, tani, porno, niżyć, niża, nizać, niż, produkcja, kinowy, cały, historia, być, dla, zagubić, zagubiony, średnio, inteligentny, kobieta, który, marzyć, ojciec, ocean, bycie, być]",1.0,"Połączenie komedii romantycznej z soft porno.                        Film dosłownie wieje beznadzieją, nie doszukałem się żadnych pozytywnych aspektów. Postacie grane sztywno, schematycznie, jakby rodem wyjęte z licealnego koła teatralnego. Dialogi nadają się raczej bardziej do taniego porno, niż produkcji kinowej, a cała historia jest odrealniona.Film dla zagubionych, średnio inteligentnych kobiet, które marzą o byciu zniewolonym.              ",53.0,54.0,14.0
negative,negative,"[film, dla, krytyk, bo, krytykować, można, możny, wiek, on, nim, ulegać, opinia, wyrabiać, się, zdanie, zdać, dopiero, po, obejrzeć, nigdy, on, nie, żałować, taka, tak, spędzić, dwa, aktorski, Ciężka, mówić, ojciec, ocean, coś, czego, co, on, nie, aktor, wyłonić, chyba, przez, emocja, emocje, przekaz, spodziewać, się, górnolotny, seans, ale, naprawdę, film, można, możny, być, zrobić, ojciec, ocean, wiele]",2.0,"Idealny film dla krytyków, bo krytykować można w nim wszystko.                        Nie ulegam opiniom i wyrabiam sobie zdanie dopiero po obejrzeniu filmu. Chyba nigdy nie żałowałam tak spędzonych dwóch godzin. Gra aktorska? Ciężko mówić o czymś, czego nie było. Główni aktorzy wyłonieni chyba przez niewidomego. Zero emocji, przekazu treści. Nie spodziewałam się górnolotnego seansu, ale naprawdę film można było zrobić o wiele, WIELE ...              ",62.0,58.0,10.0
negative,negative,"[film, totalny, wrazić, wrażenie, że, ojciec, ocean, nic, niczym, zwłaszcza, wiek, moment, wiek, który, się, dokładny, wyjaśnienie, wyjaśnienia, ojciec, ocean, co, właściwie, aktorski, tekst, taka, tak, drętwy, że, trud, się, za, tym, ten, to, aktor, który, grać, gra, to, ten, wyglądać, jak, jaka]",1.0,"Chciałabym odzobaczyć                        film totalna klapa. Mam wrażenie, że o niczym, zwłaszcza w momencie, w którym się zakończył. Brak dokładnych wyjaśnień o co właściwie chodzi. Gra aktorska i teksty tak drętwe, że z trudem się ogląda. Po za tym aktor, który gra to ""mega-hiper-super ciacho"".. wygląda jak chłopiec.               ",47.0,43.0,15.0
negative,negative,"[stanowczo, film, bez, beza, głęboki, głębszy, ratować, go, on, nawet, przyzwoity, dialog, brak, klimat, nuda]",3.0,"Płytki                        Odradzam stanowczo, film bez głębszego przesłania. Nie ratuje go nawet przyzwoita muzyka. Kiepskie dialogi, brak klimatu, nuda ...              ",19.0,15.0,5.0
negative,positive,"[ładnie, zrobić, rozumieć, tyle, negatywny, opinia, na, temat, to, ten, film, że, soft, porno, że, dla, gimbus, bądź, być, niewyżyty, wyżyć, kur, kura, być, na, podstawa, książka, taka, taki, już, być, ten, ta, historia, taka, taki, on, autorka, autorek, napisać, więc, wiek, film, być, trochę, trocha, seks, sex, ciężko, żeby, go, on, on, nie, być, wiek, film, ojciec, ocean, właśnie, taki, iść, do, kino, kin, kina, chyba, każdy, wiedzieć, ojciec, ocean, czym, co, być, ten, film, więc, jak, jaka, ktoś, on, nie, pasować, to, ten, niech, na]",8.0,"Film ładnie zrobiony                         Nie rozumiem tylu negatywnych opinii na temat tego filmu, że soft porno, że dla gimbusów bądź niewyżytych kur domowych. Film jest na podstawie książki, taka już jest ta historia, taką ją autorka napisała więc w filmie jest trochę seksu, ciężko żeby go nie było w filmie o właśnie takiej tematyce. Ponadto idąc do kina chyba każdy wie o czym jest ten film, więc jak komuś nie pasuje to niech na niego ...              ",74.0,87.0,15.0
negative,negative,"[czas, taka, taki, oceniać, to, ten, coś, co, on, nie, zasługiwać, na, miana, mieć, miano, film, no, chyba, że, znajść, znaleźć, jakiś, nowa, nowy, kategoria, bo, ani, to, ten, ani, to, ten, straszny, czas, że, lud, człowiek, ludzie, uznać, uznawać, za, ciekawy, bicie, bit, bić, traktowanie, traktować, on, jak, jaka, przedmiot, no, jeszcze, dorabiać, do, to, ten]",2.0,"Jakie czasy ... taka podnieta...                        Cóż... Trudno oceniać to coś co nie zasługuje na miano filmu, no chyba, że znajdziemy jakąś nową kategorię - bo ani to porno.... ani romans.Jakie to straszne czasy, że ludzie uznają za ciekawe bicie kobiet... i traktowanie ich jak przedmiot - no i jeszcze dorabiają do tego historię...               ",53.0,57.0,12.0
positive,positive,"[wiek, kolano, dla, wszystek, wszyscy, się, przeczytać, mi, ja, naprawdę, się, on, nie, wytrzymać, wyidealizować, opis, postać, przystojny, milioner, demon, seks, sex, właściciel, ogromny, korporacja, do, to, ten, mnóstwo, wolne, wolny, czas, który, wiek, całość, poświęcać, jeszcze, wiek, międzyczas, ratować, Jaques, Jacques, być, efekt, kobieta, wyjść]",6.0,"Strzał w kolano dla wszystkich facetówStarałem się przeczytać książkę. Uwierzcie mi, naprawdę się starałem. Jednak nie wytrzymałem wyidealizowanego opisu postaci Greya. Młody, przystojny, milioner, demon seksu, właściciel ogromnej korporacji i do tego z mnóstwem wolnego czasu, który w całości poświęca kobiecie. Powinien jeszcze w międzyczasie ratować świat. Jaki będzie efekt? Wszystkie kobiety wyjdą rozmarzone ...",54.0,46.0,19.0
negative,negative,"[gówno, wiek, srebrny, ja, się, to, ten, filmidło, oczywiście, wielki, on, nie, zawieść, się, bo, oczekiwanie, oczekiwać, mieć, miał, taki, korzystać, kibel, kibla, postawić, na, środek, opuszczony, opuścić, aktorstwo, początkujący, początkować, lub, lubić, pozbawić, talent, który, móc, być, bycie, idola, idol, wysoce, najwyżej, wysoko, nastolatek, polskie, polski, klimat, pikanteria, tajemnica]",2.0,"Śmierdzące gówno w srebrnym celofaniku...Włączam ja sobie to filmidło, oczywiście z wielkimi obawami. No i nie zawiodłem się bo oczekiwania miałem takie, jakbym korzystał z kibla postawionego na środku opuszczonej wsi. Mierne aktorstwo, początkujący lub pozbawieni talentu tzw. ""aktorzy"", którzy mogą być idolami najwyżej nastolatków z polskiego gimnazjum. Zero klimatu, pikanterii, tajemnicy, niedomówień. Treść bez ...",55.0,50.0,14.0
negative,positive,"[raz, zaznaczyć, że, on, nie, czytać, film, podchodzić, delikatnie, mówić, sceptycznie, taka, tak, naprawdę, chcieć, go, on, obejrzeć, tylko, po, to, ten, by, móc, go, on, się, że, być, to, ten, film, dla, nastolatka, nastolatek, epatować, wulgarny, seks, sex, żaden, dorosły, człowiek, zdrowy, dojrzały, podejście, podejść, do, seksualność, się, on, nie, tutaj, następować, chwila]",6.0,"Całkowite zaskoczenieOd razu zaznaczę, że nie czytałam książki. Do filmu podchodziłam delikatnie mówiąc sceptycznie, a tak naprawdę chciałam go obejrzeć tylko po to, by móc go skrytykować. Nastawiałam się, że jest to film dla nastolatek, epatujący wulgarnym seksem i żadnemu dorosłemu człowiekowi ze zdrowym i dojrzałym podejściem do seksualności się nie spodoba. I tutaj następuje chwila konsternacji... Gdyż z bólem ...",60.0,54.0,13.0
negative,negative,"[chyba, dobrze, opisywać, to, ten, wiek, tym, ten, to, film, być, złe, zły, postać, aktor, zły, na, świat, dramat, gorszyć, zły, nawet, oda, od, za, realizm, typ, prawdziwy, cycka, cycek, włos, włosy, łonowy, bujny, owłosienie, na, ud, udo, kobieta, pryszcz, na, klata, przez, film, wyglądać, jakby, się, mieć, zaraz, zaraza, rozpłakać, koleś, totalny]",1.0,"""Boże, zaraz się zrzygam""..Słowa Koroniewskiej chyba najlepiej opisują to dzieło. Wszystko w tym filmie było złe; ""fabuła"", postaci, aktorzy, najgorsze na świecie dialogi. Totalny dramat, gorszy nawet od ""Zmierzchu"". Plus za realizm typu prawdziwe cycki, włosy łonowe, bujne owłosienie na udach kobiety i pryszcze na klacie kolesia. Typka przez 99% filmu wyglądała jakby się miała zaraz rozpłakać, koleś totalna pustka ...",60.0,53.0,17.0
negative,positive,"[on, nie, wiedzieć, czy, to, ten, zauważyć, ale, ja, miąć, zalatywać, taki, jak, jaka, sam, grać, gra, widzieć, mina, minuta, minimum, film, juz, ja, miąć, roznosić, ten, ta, zmierzchowy]",8.0,"Jak ""Zmierzch""nie wiem czy ktos to zauważył ale mnie zalatuje Zmierzchem. Dialogi takie jak ""powinnaś sie trzymać ode mnie z daleka"", sama gra aktorów. Dopiero widziałam 15 min filmu a juz mnie roznosi ta zmierzchowa oschłość...",36.0,29.0,8.0
negative,neutral,"[taka, tak, złe, zły, jak, jaka]",5.0,"Nie tak złe, jak sądziłam.",5.0,6.0,1.0
positive,negative,"[gdyby, ktoś, próbować, uratować, ten, film, przed, dialog, chłopięcy, były, być, taka, tak, złe, zły, jak, jaka, tylko, ten, film, wiek, łóżko, narzeczeni, narzeczony, narzeczona, przez, większość, film, skręcać, się, śmiech, przy, każdy, dialog, dobry, być, fragment, być, naprawdę, Dakota, jeszcze, coś, tam, tama, próbować, choć, dla, ja, miąć, być, raczej, raczy, brzydki, aseksualny, ale, to, ten, na]",2.0,"Może gdyby ktoś próbował uratować ten film przed dialogami i chłopięcym Greyem...Dialogi były tak złe jak tylko mogły. Oglądaliśmy ten film w łóżku z narzeczonym i przez większość filmu skręcaliśmy się ze śmiechu przy każdym dialogu (najlepszy był fragment: ""I don't make love. I f..k. Hard.""). To było naprawdę złe. Dakota jeszcze coś tam próbowała (choć dla mnie jest raczej brzydka i aseksualna), ale to na niewiele ...",67.0,58.0,14.0
positive,negative,"[dla, leming, ujemny, film, on, nie, być, on, nie, mieć, miał, ukierunkować, być, wiek, strona, małpa, on, nie, na, pobudka, wartość, żyto, żyć, życie, staje, staja, stajać, stawać, staj, się, powtórka, remake]",1.0,"Film dla ""ajfonowych"" lemingów z ujemnym IQ.Ten film nie jest filmem.Darwin nie miał racji...ewolucja ukierunkowana jest w stronę małpy a nie na odwrót.Niskie pobudki,wyzelowane z wartości życie i zapampersione marzenia.Duplikat staje się powtórką remake'ów.",34.0,32.0,6.0
negative,negative,"[dla, ubogi, mieszczka, młody, młodsza, młodszy, nastolatka, nastolatek, znudzić, znudzony, gospodyni, domowy, na, podobny, poziom, rozwój, intelektualny, romansidło, jechać, na, kilka, chamski, każdy, potwór, potwora, marzyć, ojciec, ocean, rycerz, wiek, lśniący, lśnić, zbroja, zbroić, ktokolwiek, bogaty, który, on, nie, pusty, puścić, się, za, dobry, samochód, laptop, kilka, inny, dodatek, dodatki, za, mniejszy, mały]",4.0,"""Porno"" dla ubogich (mieszczek)Dla młodszych nastolatek i znudzonych gospodyń domowych na podobnym poziomie rozwoju intelektualnego i emocjonalnego. Filmidło, romansidło jadące na kilku chamskich zasadach. Że każda potwora marzy o rycerzu w lśniącej zbroi, czyli... kimkolwiek bogatym (a która nie puści się za dobry samochód, laptopa i kilka innych dodatków?). Że ""jak bije, to kocha"" (a za mniejsze gifty wiele ...",59.0,53.0,23.0
negative,negative,"[aktorski, na, poziom, polski, reprezentacja, piłka, to, ten, naiwny, film, ojciec, ocean, krzywdzący, krzywdzić, miłość, nic, nica]",3.0,"SłaboGra aktorska na poziomie polskiej reprezentacji piłki nożnej. Drewno. Ogólnie to naiwny film o krzywdzącej miłości, nic specjalnego.",18.0,17.0,7.0
negative,negative,"[najbardziej, antyfeministyczny, rzec, rzecz, wiek, dzieje, świat, to, ten, nawet, on, nie, dlatego, że, on, on, dala, po, dupa, czy, po, czym, co, wiek, tym, ten, to, że, być, wiek, tym, ten, to, film, wyidealizować, studnia, bez, beza, dno, dna, Adonis, sześciopak, ruchać, rucho, jak, jaka, Zeus, forsa, mój, mieć, jak, jaka, wujek, mówić, po, grać, gra, na, fortepian, pilotować, helikopter, zbudować, syn, zasadzić, dom, spłodzić, drzewo, on, nie, prezentować, się]",1.0,"To najbardziej antyfeministyczna rzecz w dziejach świata i to nawet nie dlatego że on ją napier*dala po dupie czy po czym tam.Rzecz w tym że Christianek jest w tym filmie wyidealizowaną studnią bez dna (Adonis z sześciopakiem, rucha jak Zeus, forsy ma jak wujek Sknerus, mówi po Francusku, gra na fortepianie, pilotuje helikopter, zbudował syna, zasadził dom, spłodził drzewo), a Anastasia nie prezentuje sobą nic. To ...",66.0,71.0,12.0
negative,negative,"[napisać, on, nie, on, nie, być, to, ten, warunek, aby, si, wy, niejeden, film, on, nie, po, aktorski, Dakota, Johnson, wiek, tym, ten, to, film, to, ten, amatorszczyzna, az, do, film, mój, mieć, oczyć, oko, jelonek, przygryźć, usta, wciąż, reakcja, przerysować, az, być, jej, on, przezywać]",1.0,"Prawdziwy dramatNa wstępię napiszę,iz nie przeczytalam ksiazki i uwazam ze nie jest to warunek aby ocenic film.Zaloze sie ze wiekszosc z was obejrzala niejeden film,nie siegajac wczesniej po ksiazke.Gra aktorska Dakoty Johnson w tym filmie to amatorszczyzna az do bolu.W90% filmu ma oczy jelonka,przygryzione usta i wciąż wzdycha.Jej reakcje byly przerysowane az nienaturalne.Komedią było jej przezywanie orgazmu ...",57.0,46.0,10.0
negative,positive,"[mile, mil, mila, się, tyle, niepochlebny, opinia, na, temat, to, ten, film, że, całkowicie, stracić, ochota, na, obejrzeć, jednak, wiek, koniec, się, na, to, ten, zdecydować, aby, zobaczyć, czy, być, to, ten, rzeczywiście, pozytywnie, być, treściwy, scena, on, nie, były, być, wydłużać, ja, on, nie, zerkać, co, chwila, na, zegarek, aby, sprawdzić, kiedy, to, ten, wiek, koniec, się, Oda]",7.0,"Jestem mile zaskoczona.Nasłuchałam się tylu niepochlebnych opinii na temat tego filmu, że całkowicie straciłam ochotę na obejrzenie go. Wczoraj jednak w końcu się na to zdecydowałam, aby zobaczyć czy jest to rzeczywiście ""ścierwo nie do obejrzenia"". Jestem pozytywnie zaskoczona. Film był treściwy, sceny nie były wydłużane, a ja nie zerkałam co chwilę na zegarek aby sprawdzić kiedy to w końcu się skończy. Od razu ...",64.0,59.0,14.0
negative,positive,"[Jaques, Jacques, utwór, grać, gra, na, fortepian, go, on, bardzo, dobrze, ale, on, nie, pamiętać, jak, jaka, się]",6.0,Jaki utwór Grey gra na fortepianie?Znam go bardzo dobrze ale nie pamiętam jak się nazywa.,15.0,18.0,2.0
negative,negative,"[mało, Złota]",1.0,Film Za mało Złotych Malin.,5.0,2.0,0.0
positive,negative,"[budżet, ktoś, móc, może, co, wiek, tym, ten, to, badziewie, móc, kosztować, aż, milion, dolar, amerykański]",1.0,"Hmm... budżet: 40 000 000 $Wie ktoś może, co w tym badziewiu mogło kosztować aż 40 milionów dolarów amerykańskich?!",19.0,16.0,5.0
negative,negative,"[dno, dna, zły, film, jaki, widzieć, ostatnie, ostatni, wszystek, wszystko, wszyscy, nudny, potwornie, dłużyzna, nic, on, nie, służąca, służący, służyć, scena, co, mieć, podniecać, co, mieć, wzruszać, wywoływać, jedynie, wzruszenie, wzruszyć, kompletnie, oderwać, oderwany, oda, od, rzeczywistość, naiwny, wyglądać, na, wizja, ośmiolatka, ośmiolatek, który, podglądać, raz, przez, sekunda, co, rodzic, rodzice, robić, wiek, on, nie, marketing, to, ten, pies]",2.0,"dno i nudaJeden z najgorszych filmów jakie widziałem ostatnimi laty. Przede wszystkim nudny potwornie, dłużyzny, niczemu nie służące sceny i ujęcia. To co miało podniecać śmieszy. To co miało wzruszać wywołuje jedynie wzruszenie ramion.Historia kompletnie oderwana od rzeczywistości, naiwna i wyglądająca na wizję ośmiolatka który podglądał raz przez 30 sekund co rodzice robią w sypialni. Gdyby nie marketing to pies z ...",61.0,59.0,20.0
