detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
neutral,positive,[],"[żelazko, świetnie, się, nagrzewać, polecać, bardzo, dobre, szybko, prasować]",5.0,0.0,"Bardzo dobre żelazko, świetnie prasuje, szybko się nagrzewa, polecam.",9.0,9.0,0.0
positive,positive,"[mocny, odpowiedni, długi, metrowy, ładny, wyrzut, kabel, par, gorąco, prezent]","[mocny, ułatwiać, odpowiedni, design, być, kupić, długi, metrowy, prasować, drugie, na, ładny, polecać, atut, bardzo, wyrzut, ciężar, cena, po, dodatkowy, kabel, godne, sprawdzić, par, a, jedno, żelazko, dobra, naprawdę, gorąco, polecenie, prezent]",5.0,0.018229166666666664,"Żelazko godne polecenia, bardzo dobra cena, a długi 3-metrowy kabel jest dodatkowym atutem. Odpowiedni ciężar ułatwia prasowanie. Mocny wyrzut pary. Bardzo ładny design. 
Po sprawdzeniu jednego kupiłam drugie na prezent. Naprawdę gorąco polecam!",33.0,32.0,10.0
negative,positive,[mocny],"[si, super, nagrzewać, polecać, mocny, szybko]",5.0,-0.05555555555555555,"Super zelazko. Mocne, szybko sie nagrzewa. Goraco polecam!!",8.0,6.0,1.0
positive,positive,"[doskonały, nieduży]","[kwota, stosunkowo, doskonały, produkt, nieduży, za]",4.0,0.19999999999999998,Doskonały produkt za stosunkowo niedużą kwotę.,6.0,6.0,2.0
negative,negative,"[wspaniały, kolejny, koniec, raz, jaki, nim, guzik, cały, cały]","[chyba, rok, sprzęt, wspaniały, prasować, pomiędzy, być, kolejny, pod, zawieść, philips, blender, kupić, koniec, raz, niepamięć, opinia, to, latać, wygodnie, dzisiaj, odkurzacz, wpływ, po, gwarancja, teraz, jaki, najpierw, nim, się, odstęp, mankiet, odtwarzacz, nie, guzik, jeść, już, a, móc, temu, koszula, i, żelazko, cały, wytrzymać, długo, cały, w, na, pójść]",3.0,-0.08666666666666668,"Pod wpływem opinii jakie to żelazko jest wspaniałe kupiłam je nie całe 3 lata temu i dzisiaj poszło już w niepamięć. Po raz kolejny zawiodłam się na sprzęcie Philipsa (najpierw odkurzacz, koniec gwarancji, nie cały rok blender, odtwarzacz, a teraz żelazko chyba najdłużej wytrzymało).

Mogłoby się nim wygodniej prasować koszulę, odstępy pomiędzy guzikami, mankiety.",54.0,50.0,9.0
negative,positive,"[pełny, świetny, długi, ciężki, podobny, kabel, nic, mały, pierwszy]","[okazać, gdy, ale, zakamarek, być, że, myśleć, pełny, prasować, świetny, długi, listeczek, na, ciężki, polecać, podobny, prasować, kabel, kupić, ubranie, pięknie, dzióbek, nic, wjeżdżać, za, przekonanie, mały, parować, już, jednak, nawet, mega, żelazko, w, przy, z, pierwszy]",5.0,-0.02217602217602217,"Żelazko świetne. Gdy kupiłam, myślałam, że będzie jednak za ciężkie, ale już przy pierwszym prasowaniu okazało się,że nic podobnego. Prasuje na listeczek, paruje pięknie, kabel mega długi, dzióbek wjeżdża nawet w najmniejsze zakamarki ubrań. Polecam z pełnym przekonaniem!!",38.0,37.0,9.0
positive,positive,"[możliwość, długi, nim, kabel, pierwszy, ręka]","[możliwość, podczas, do, gdy, się, za, regulacja, moment, jeść, wydać, super, wątpliwość, prasować, długi, i, nim, mi, ciut, to, kabel, wziąć, pierwszy, ręka]",4.0,0.043478260869565216,"Super żelazko.Prasowanie nim to naprawde przyjemność.Ma długi kabel i możliwość regulacji pary,szybko się nagrzewa.W pierwszym momencie gdy wzięłam je do ręki wydało mi się ciut za cieżkie,ale wątpliwości mineły podczas prasowania.",31.0,23.0,6.0
negative,negative,"[czas, go, koniec, wyrzut, para, par, wyjściowy, pozycja, który, problem]","[chyba, czas, odbijać, czyszczenie, odbijać, ale, powtarzać, być, go, pod, koniec, znowu, ponieważ, pomimo, wytwarzać, wyrzut, to, perspektywa, niestety, przydatność, przycisk, id, słabo, gwarancja, do, wyprasować, ubranie, być, para, się, polecić, część, nie, notorycznie, termin, lato, da, par, żelazko, i, oraz, żelazko, wyjściowy, użytkować, serwis, idealnie, w, pozycja, który, problem, z]",2.0,-0.10457516339869283,"Użytkuję żelazko ok.5 lat. Niestety, ale z perspektywy czasu nie poleciłabym go. Pod koniec gwarancji żelazko było w serwisie, ponieważ nie wytwarzało pary oraz przycisk wyrzutu pary nie odbijał do pozycji wyjściowej. Niestety problem notorycznie się powtarza, ponieważ przycisk znowu nie odbija. Jest to chyba część, której termin przydatności to ok.2 lat... Para z żelazka, pomimo czyszczenia, idzie słabo i ubrań nie da się idealnie wyprasować.",66.0,51.0,10.0
neutral,positive,[],"[super, urządzenie]",5.0,0.0,Super urządzenie,2.0,2.0,0.0
neutral,positive,[],"[działać, jak, powinien]",4.0,0.0,działa jak powinno,3.0,3.0,0.0
negative,positive,"[gruby, żona]","[dla, stopa, choć, żelazko, móc, mieć, gruby, twierdzić, bardzo, że, miąć, żona, dobre]",4.0,-0.09615384615384616,"Żelazko dla mnie bardzo dobre, choć żona twierdzi, że mogłoby mieć grubszą stopę.",13.0,13.0,2.0
neutral,positive,[],"[żelazko, i, się, nagrzewać, polecać, bardzo, dobre, dobrze, szybko, prasować]",5.0,0.0,Bardzo dobre  żelazko. Szybko się nagrzewa i dobrze prasuje. Polecam!,10.0,10.0,0.0
negative,positive,"[nic, ten]","[lepsze, spełnić, moje, oczekiwanie, nic, ten, za]",5.0,-0.2857142857142857,Spełnił moje oczekiwania. Za tą cene nic lepszego.,8.0,7.0,2.0
negative,positive,"[fajny, para, długi, czas, duży, raz, jakiś, bez, wada]","[ciężko, gruba, dobrze, ale, zaznaczać, zaleta, że, używać, być, sznur, prasować, dla, fajny, nagrzewać, zarzut, to, bardzo, bawełna, stopa, po, działać, para, się, długi, nie, czas, duży, materiał, raz, nawet, sunia, mega, i, jakiś, bez, szybko, dotąd, wada, miąć]",4.0,-0.042735042735042736,"Zaznaczam, że zelazka używałam dotąd 2 razy ale narazie sądze, że jest bardzo fajne. Stopa czasem ciężko sunie po materiale ale nie jest to jakąś dużą wadą. Mega szybko się nagrzewa, dla mnie zaletą jest długi sznur, para działa bez zarzutu i dobrze prasuje nawet bardzo grubą bawełnę.",48.0,39.0,9.0
negative,positive,"[ciężki, oko]","[ale, ciężki, oko, trochę]",4.0,-0.28846153846153844,"OK, ale trochę ciężkie",4.0,4.0,2.0
neutral,positive,"[ten, sam, mama]","[teraz, temu, ten, sam, si, i, dobrze, to, bardzo, latać, moja, model, mama, sprawować]",4.0,0.0,Wybralam to zelazko 3 lata temu i sprawuje sie bardzo dobrze. Teraz kupilam ten sam model mojej mamie.,18.0,14.0,3.0
positive,positive,"[minus, butelka, fajny, pomoc, woda, par, duży]","[można, minus, butelka, być, poradzić, się, fajny, pojemniczek, spokojnie, przy, nagrzewać, polecać, bardzo, prasować, pomoc, wcale, do, dzięki, się, nie, za, woda, par, mieć, funkcja, żelazko, wlewać, otworowy, żelazko, duży, wlewać, w, brak, z, szybko]",5.0,0.009523809523809525,"Bardzo fajne żelazko, brak pojemniczka do wlewania wody wcale nie jest minusem, można spokojnie sobie poradzić wlewając z butelki dzięki dużemu otworowi w żelazku. Szybko się nagrzewa, ma funkcje eco przy prasowaniu za pomocą pary.
Polecam w 100%.",38.0,35.0,7.0
negative,positive,[lekko],"[według, ustawienie, temp, choć, żelazko, polecać, za, swoje, regulator, lekko, miąć, zmieniać]",4.0,-0.08333333333333333,Polecam żelazko choć regulator temp wg mnie za lekko zmienia swoje ustawienie,12.0,12.0,1.0
negative,positive,"[kabel, gładko, szybki, długi]","[kabel, się, tkanina, gładko, stożek, dodatkowy, szybki, hałaśliwy, nagrzewać, super, długi, przesuwać, końcówka, po, parowy, nieco]",5.0,-0.03125,"Super szybkie nagrzewanie, długi kabel super dodatkowa para,super końcówka stożka parowego, gładko przesuwa się po tkaninie. Nieco hałaśliwe.",18.0,16.0,4.0
positive,positive,"[kabel, konstrukcja, wygodny, solidny, para]","[kabel, żelazko, dobrze, być, dużo, wykonać, że, konstrukcja, wygodny, służyć, super, solidny, być, prasować, widać, para, z, długo, prasować, i, funkcja, żelazko, polecać, spód, raczej]",5.0,0.1,"POLECAM!!! Super żelazko! Dużo funkcji, dobrze prasuje, wygodne prasowanie z parą, solidna konstrukcja, spód żelazka i kabel widać że są dobrze wykonane i raczej żelazko długo będzie służyć :)",29.0,25.0,5.0
positive,positive,"[duży, duży, przyjemność, par, uderzenie, mały]","[teraz, żelazko, co, dobrze, pozwalać, wyprofilować, duży, być, duży, przyjemność, par, prasować, zakamarek, uderzenie, mieć, prasować, na, nagrzewać, to, bardzo, szybko, wyprasować, żelazko, się, mały]",5.0,0.002666666666666675,"Żelazko bardzo dobrze prasuje. Szybko się nagrzewa, ma duże uderzenie pary. Prasuje największe zagniecenia.Przód żelazka jest bardzo dobrze wyprofilowany co pozwala na wyprasowanie naewt najmniejszych zakamarków. Prasowanie teraz to przyjemność.",30.0,25.0,6.0
neutral,positive,[],"[do, bardzo, cena, naprawdę, jakość, dobra]",4.0,0.0,Cena do jakości naprawdę bardzo dobra.,6.0,6.0,0.0
positive,negative,"[olbrzymi, potrzeba, swój, oko, woda, ja, plus, wszystek, pasja]","[chyba, wszystko, philips, z, ale, olbrzymi, teza, być, potrzeba, odkryć, prasować, prasować, samo, swój, to, niestety, jak, jednać, instrukcja, do, oko, pozdrawiać, nie, pisać, woda, mieć, ja, a, nawet, plus, destylować, w, wszystek, jednak, pasja]",3.0,0.05714285714285714,"Zelasko ladne, jak zelasko, wszystko chyba ok.
 W instrukcji pisze nawet ze nie potrzeba uzywac wody destylowanej , to tez jest jakis plus ale ma jednak jedna olbrzymia wade, niestety nie prasuje samo a ja nie nawidze prasowania.
Pozdrawiam wszystkich ktorzy  dzieki philipsowi odkryli swa pasje do prasowania  :-)))",49.0,35.0,9.0
neutral,positive,"[sam, prezent]","[kupić, sam, zostać, na, żelazko, dom, to, w, taki, posiadać, super, prezent]",5.0,0.0,"Super żelazko, sam posiadam w domu takie, to zostało kupione na prezent.",12.0,12.0,2.0
positive,positive,"[dobry, rewelacyjny]","[bardzo, cena, dobry, żelazko, rewelacyjny, za]",5.0,0.43333333333333335,Rewelacyjne żelazko za bardzo dobrą cenę.,6.0,6.0,2.0
positive,positive,"[marka, dobry, metrowy, wyrzut, powrót, dobry, poręczny, długi, par, marka, kabel, inny]","[zasilać, cena, okazać, marka, do, się, dobry, metrowy, męczący, wyrzut, przerwa, powrót, dobry, poręczny, długi, philips, kilkuletni, par, super, żelazko, marka, bardzo, jak, w, kabel, z, po, inny]",4.0,0.10238095238095238,"super żelazko w dobrej cenie z długim 3 metrowym kablem zasilającym, poręczne, z dobrym wyrzutem pary. Powrót do marki Philips po kilkuletniej przerwie jak się okazało bardzo męczącej z inną marką",31.0,28.0,12.0
neutral,positive,"[kabel, długi]","[kabel, długi, doskonale, polecać, prasować]",5.0,0.0,"doskonale prasuje, długi kabel, POLECAM",5.0,5.0,2.0
positive,positive,"[zadowolony, świetny]","[zadowolony, mówić, być, moja, też, być, i, ostatnio, od, bardzo, że, znajoma, używać, miesiąc, dopiero, świetny]",5.0,0.1875,"Używam dopiero od 3 miesięcy i jestem bardzo zadowolona, moja znajoma też ostatnio mówiła, że jest świetny",17.0,16.0,2.0
positive,positive,"[kabel, duży, długi, fajny, przystępny, ładny, fajny, dostępny, gorąco, dokładny, wygodny, woda, miejsce, raz, zadowolony, woda, wielki, oko, ostry]","[co, dobrze, kabel, trzeba, że, sum, rzep, duży, długi, musza, fajny, wad, polecać, dostać, przystępny, prasować, ładny, fajny, te, po, do, musieć, tydzień, grzać, być, cena, mieć, dostępny, była, gorąco, chwila, przechowywanie, dokładny, zauważyć, ułatwiać, wygodny, użytkowanie, teza, też, być, cięgiel, dla, na, wygląd, bardzo, woda, pojemnik, miejsce, raz, zadowolony, trudno, dzióbek, się, bo, dolewać, nie, być, woda, miąć, wielki, prasować, powiedzieć, oko, żelazko, i, żelazko, ostry, w, przy]",5.0,0.02560386473429951,"Po 2 tygodniach użytkowania muszę powiedzieć, że na te chwile jestem bardzo zadowolona. Żelazko ma bardzo długi kabel-3m co jest bardzo wygodne. Na kablu rzep co ułatwia przechowywanie żelazka. Duży pojemnik na wodę, co jest bardzo fajne bo nie trzeba cięgle dolewać wody przy większym prasowaniu. Fajny 'dzióbek' żelazka (ostry), co ułatwia dostanie się do trudno dostępnych miejsc i dokładniejsze prasowanie. Dobrze grzeje. Wygląd też jest ok. w sumie dla mnie żelazko nie musi być ładne;) Cena tez była przystępna. Gorąco polecam. Na razie nie zauważyłam wad.",87.0,69.0,19.0
neutral,positive,[],"[godne, polecenie]",5.0,0.0,godne polecenia.,2.0,2.0,0.0
neutral,positive,[prezent],"[trudno, na, produkt, mi, być, przeznaczyć, być, prezent]",4.0,0.0,"trudno mi jest zaopiniowac,poniewaz produkt był przeznaczony na prezent",9.0,8.0,1.0
negative,positive,"[fakt, duży, para, zbyt, moc, lekko, ładny, miara, ten, długi, opis, problem, stabilny, przewód]","[co, denerwować, fakt, pokrętło, ale, za, że, też, być, duży, czemu, prasować, para, zbyt, ubranie, moc, to, naćkać, lekko, ładny, cena, pryskać, miara, dzięki, ten, jedyne, długi, nie, opis, miąć, ładnie, super, chodzić, wykonanie, żelazko, w, przy, problem, trochę, stabilny, przewód]",5.0,-0.010162601626016256,"Za tę cenę super żelazko, ładnie prasuje ubrania, nie pryska parą, długi przewód, ładne wykonania. Jedyne co mnie troszke denerwuje to fakt, że pokrętło chodzi trochę zbyt lekko, jest też trochę naćkane w opisie przy mocy 1-3, ale to nie jest duży problem. W miarę cieżkie, dzięki czemu stabilne.",49.0,41.0,14.0
positive,positive,"[zadowolony, kabel, mama, długi, plus, ogromny]","[zadowolony, kabel, mama, użytkować, być, lato, już, kupić, kilka, długi, żelazko, i, na, żelazko, to, bardzo, plus, ogromny, stopa, kiedyś]",5.0,0.06666666666666667,Kiedyś kupiłam to żelazko mamie. Jest bardzo zadowolona. Użytkuje już kilka lat. Na ogromny plus stopa żelazka i długi kabel,20.0,20.0,6.0
negative,positive,"[producent, bez, zgodny, wielki]","[właściwość, wysiłek, dobrze, producent, bez, zgodny, specyfikacja, z, wielki, prasować]",4.0,-0.05,Dobrze prasuje bez większego wysiłku. Właściwości zgodne ze specyfikacją producenta.,10.0,10.0,4.0
neutral,positive,[],"[do, cena, relacja, jakość]",4.0,0.0,Relacja ceny = do jakości,5.0,4.0,0.0
neutral,positive,[],"[dobrze, prasować]",4.0,0.0,Dobrze prasuje.,2.0,2.0,0.0
neutral,positive,[oko],"[oko, wszystko, polecać]",5.0,0.0,Wszystko Ok. Polecam,3.0,3.0,1.0
neutral,positive,"[oko, para, lekki]","[oko, para, i, świetnie, wygląd, być, lekki, zachwycić, super, prasować]",4.0,0.0,"super. Jestem zachwycona. Świetnie prasuje, para ok. Lekkie i disajnerski wygląd.",11.0,10.0,3.0
positive,positive,"[miara, porządek, funkcjonalny, solidny]","[miara, tani, porządek, na, funkcjonalny, żelazko, najbardziej, jak, w, solidny, swoić, jakość]",4.0,0.2916666666666667,"Żelazko jak najbardziej w porządku - solidne, w miarę tanie jak na swoją jakość, funkcjonalne.",15.0,12.0,4.0
positive,positive,"[świetny, jaki, ten, dobry]","[świetny, jaki, ten, żelazko, do, się, nagrzewać, por, bardzo, mieć, dobry, szybko]",5.0,0.24444444444444446,"Świetne żelazko, bardzo szybko się nagrzewa. Najlepsze, jakie miałam do tej pory.",12.0,12.0,4.0
neutral,positive,[nim],"[wykonać, łatwo, nim, się, dobrze, prasować]",5.0,0.0,"Dobrze wykonane, łatwo się nim prasuje.",6.0,6.0,1.0
positive,positive,[prawdziwy],"[marek, ale, prawdziwy, być, to]",5.0,0.16,Mialam zelazka roznych marek Ale to jest PRAWDZIWE zelazko,9.0,5.0,1.0
negative,positive,"[stosunek, lekko, guzik, temperatura, łatwy, różny, odpowiedni]","[wygląd, moje, estetyczny, osiągać, rodzaj, prasować, cena, na, stosunek, polecać, lekko, między, poziom, stopa, po, do, obsługa, najwyższy, precyzyjnie, materiał, guzik, temperatura, spełnić, rozprasowywać, żelazko, przestrzeń, i, łatwy, oraz, żelazko, o, różny, jakość, w, oczekiwanie, odpowiedni, szybko, zagniecenie]",5.0,-0.008771929824561405,"Żelazko w 100% spełniło moje oczekiwania. Precyzyjnie i szybko rozprasowuje zagniecenia, oraz przestrzenie między guzikami. Szybko osiąga odpowiednią temperaturę prasowania. Stopa żelazka lekko ""płynie"" po różnego rodzaju materiałach. Łatwe w obsłudze i o estetycznym wyglądzie. W stosunku do ceny jakość na najwyższym poziomie. Polecam w 100%.",46.0,38.0,7.0
positive,positive,"[solidny, woda, wada]","[niewidoczny, solidny, produkt, to, woda, w, poziom, zbiornik, wada]",4.0,0.05555555555555555,"Produkt solidny,  wada to niewidoczny poziom wody w zbiorniku",9.0,9.0,3.0
positive,positive,"[nim, par, cały, odpowiedni, czas]","[można, żelazko, nim, polecać, się, ustawić, intensywność, super, prasować, i, na, par, świetnie, cały, odpowiedni, parę, czas]",5.0,0.058823529411764705,Super żelazko. Świetnie się nim prasuje. Można ustawić parę na odpowiednią intensywność i żelazko cały czas prasuje na parze. Polecam,20.0,17.0,5.0
negative,positive,"[inny, raz, marka, producent, mąż]","[zrobić, super, chęć, się, nie, materiał, inny, żałować, raz, marka, już, prasować, philips, wymienić, nawet, sunia, fajnie, i, na, żelazko, polecać, producent, to, bardzo, mąż, wygodnie, z, po, szybko]",5.0,-0.034482758620689655,Super żelazko. Fajnie sunie po materiałach. Prasuje się szybko i wygodnie. Nie wymienię już producenta philips na inną markę. Zrobiłam to raz i bardzo żałuję. Nawet mąż z chęcią prasuje. POLECAM!!!,31.0,29.0,5.0
positive,positive,"[uderzenie, par, silny]","[uderzenie, par, rozprasowywać, żelazko, silny, idealnie, prasować, super, szybko, zagniecenie]",5.0,0.13999999999999999,"prasuje idealnie szybko silne uderzenie pary rozprasowuje zagniecenia. super żelazko ,",11.0,10.0,3.0
