index,emotion,rate,text,detectedEmotion,correct_guess,score,text_length,text_length_bin
34,negative,1.0,"[najbardziej, antyfeministyczny, rzec, rzecz, wiek, dzieje, świat, to, ten, nawet, on, nie, dlatego, że, on, on, dala, po, dupa, czy, po, czym, co, wiek, tym, ten, to, że, być, wiek, tym, ten, to, film, wyidealizować, studnia, bez, beza, dno, dna, Adonis, sześciopak, ruchać, rucho, jak, jaka, Zeus, forsa, mój, mieć, jak, jaka, wujek, mówić, po, grać, gra, na, fortepian, pilotować, helikopter, zbudować, syn, zasadzić, dom, spłodzić, drzewo, on, nie, prezentować, się]",negative,True,1,489,48
35,negative,1.0,"[napisać, on, nie, on, nie, być, to, ten, warunek, aby, si, wy, niejeden, film, on, nie, po, aktorski, Dakota, Johnson, wiek, tym, ten, to, film, to, ten, amatorszczyzna, az, do, film, mój, mieć, oczyć, oko, jelonek, przygryźć, usta, wciąż, reakcja, przerysować, az, być, jej, on, przezywać]",negative,True,1,303,30
36,positive,7.0,"[mile, mil, mila, się, tyle, niepochlebny, opinia, na, temat, to, ten, film, że, całkowicie, stracić, ochota, na, obejrzeć, jednak, wiek, koniec, się, na, to, ten, zdecydować, aby, zobaczyć, czy, być, to, ten, rzeczywiście, pozytywnie, być, treściwy, scena, on, nie, były, być, wydłużać, ja, on, nie, zerkać, co, chwila, na, zegarek, aby, sprawdzić, kiedy, to, ten, wiek, koniec, się, Oda]",negative,False,0,409,40
37,positive,6.0,"[Jaques, Jacques, utwór, grać, gra, na, fortepian, go, on, bardzo, dobrze, ale, on, nie, pamiętać, jak, jaka, się]",negative,False,0,119,11
38,negative,1.0,"[mało, Złota]",negative,True,1,15,1
39,negative,1.0,"[budżet, ktoś, móc, może, co, wiek, tym, ten, to, badziewie, móc, kosztować, aż, milion, dolar, amerykański]",negative,True,1,116,11
40,negative,2.0,"[dno, dna, zły, film, jaki, widzieć, ostatnie, ostatni, wszystek, wszystko, wszyscy, nudny, potwornie, dłużyzna, nic, on, nie, służąca, służący, służyć, scena, co, mieć, podniecać, co, mieć, wzruszać, wywoływać, jedynie, wzruszenie, wzruszyć, kompletnie, oderwać, oderwany, oda, od, rzeczywistość, naiwny, wyglądać, na, wizja, ośmiolatka, ośmiolatek, który, podglądać, raz, przez, sekunda, co, rodzic, rodzice, robić, wiek, on, nie, marketing, to, ten, pies]",negative,True,1,489,48
41,negative,3.0,"[szał, on, nie, mój, mieć, niebezpieczny, dla, młody, młoda, młode, dziewczę, poukładać, on, nie, wiedzieć, jak, jaka, tu]",negative,True,1,132,13
42,negative,1.0,"[komedia, romantyczny, soft, dosłownie, wiać, wieja, beznadzieja, on, nie, doszukać, się, żaden, pozytywny, grać, sztywno, schematycznie, jakby, ród, rod, wyjąć, licealny, koło, koł, koła, kół, nadawać, się, raczej, raczy, bardzo, do, tani, porno, niżyć, niża, nizać, niż, produkcja, kinowy, cały, historia, być, dla, zagubić, zagubiony, średnio, inteligentny, kobieta, który, marzyć, ojciec, ocean, bycie, być]",positive,False,0,439,43
43,negative,2.0,"[film, dla, krytyk, bo, krytykować, można, możny, wiek, on, nim, ulegać, opinia, wyrabiać, się, zdanie, zdać, dopiero, po, obejrzeć, nigdy, on, nie, żałować, taka, tak, spędzić, dwa, aktorski, Ciężka, mówić, ojciec, ocean, coś, czego, co, on, nie, aktor, wyłonić, chyba, przez, emocja, emocje, przekaz, spodziewać, się, górnolotny, seans, ale, naprawdę, film, można, możny, być, zrobić, ojciec, ocean, wiele]",negative,True,1,436,43
44,negative,1.0,"[totalny, wrazić, wrażenie, że, ojciec, ocean, nic, niczym, zwłaszcza, wiek, moment, wiek, który, się, dokładny, wyjaśnienie, wyjaśnienia, ojciec, ocean, co, właściwie, aktorski, tekst, taka, tak, drętwy, że, trud, się, za, tym, ten, to, aktor, który, grać, gra, to, ten, wyglądać, jak, jaka]",negative,True,1,310,31
45,negative,3.0,"[stanowczo, film, bez, beza, głęboki, głębszy, ratować, go, on, nawet, przyzwoity, dialog, brak, klimat, nuda]",negative,True,1,115,11
46,positive,8.0,"[ładnie, zrobić, rozumieć, tyle, negatywny, opinia, na, temat, to, ten, film, że, soft, porno, że, dla, gimbus, bądź, być, niewyżyty, wyżyć, kur, kura, być, na, podstawa, książka, taka, taki, już, być, ten, ta, historia, taka, taki, on, autorka, autorek, napisać, więc, wiek, film, być, trochę, trocha, seks, sex, ciężko, żeby, go, on, on, nie, być, wiek, film, ojciec, ocean, właśnie, taki, iść, do, kino, kin, kina, chyba, każdy, wiedzieć, ojciec, ocean, czym, co, być, ten, film, więc, jak, jaka, ktoś, on, nie, pasować, to, ten, niech, na]",negative,False,0,577,57
47,negative,2.0,"[czas, taka, taki, oceniać, to, ten, coś, co, on, nie, zasługiwać, na, miana, mieć, miano, film, no, chyba, że, znajść, znaleźć, jakiś, nowa, nowy, kategoria, bo, ani, to, ten, ani, to, ten, straszny, czas, że, lud, człowiek, ludzie, uznać, uznawać, za, ciekawy, bicie, bit, bić, traktowanie, traktować, on, jak, jaka, przedmiot, no, jeszcze, dorabiać, do, to, ten]",negative,True,1,383,38
48,negative,2.0,"[rzadko, się, zdarzać, się, zdarzać, że, żałować, że, jakiś, film, wat, tym, ten, to, wypadek, niestety, ładny, mebel, dobry, muzyka, wiek, film, on, nie, być, nic, nica, interesujący, interesować]",positive,False,0,211,21
49,negative,2.0,"[przeczytać, książka, książka, jak, jaka, on, ja, miąć, on, nie, powalić, na, kolano, ale, była, były, być, nawet, do, poczytać, taka, tak, wiek, film, większość, treść, treści, zostać, okroić, dosycić, dosyć, mocno, okroić, przez, co, film, minuta, na, minuta, coraz, bardzo, zawodzić, przychylać, ja, miąć, raczej, raczy, ku, opinia, że, być]",negative,True,1,373,37
50,negative,1.0,"[to, ten, film, erotyk, to, ten, jakby, porno, do, ojciec, ocean, gust, si, on, nie, dyskutować, to, ten, jednak, mocno, dziwić, dziwy, potrafiać, tu, nawet, czy, gwiazdka]",positive,False,0,175,17
51,negative,1.0,"[znać, ktoś, zły, film, oda, od, to, ten, ja, miąć, to, ten, ciekawić, ciekawy, czy, dać, da, się, znaleźć, duży, wielki, gniot, wiek, historia, aktorski, naprawdę, rewelacyjny, idealny, dla, osoba, który, maić, maja, mieć, problem, film, natychmiastowo, mój, mieć, się, ochota, iścić, iść, do, toaleta, oczyścić, swoić, swój, podczas, oglądać, zastanawiać, się, czy, płakać, ojciec, ocean, stracić, stracony, czas, czy, śmiać, się]",positive,False,0,468,46
52,positive,7.0,"[Książek, ojciec, ocean, wiele, dobry, Książek, być, ojciec, ocean, wiele, najpierw, książka, potem, pot, pójść, do, kino, kin, kina, na, się]",positive,True,1,153,15
53,negative,4.0,"[lud, człowiek, ludzie, co, to, ten, porno, czy, co]",positive,False,0,53,5
54,positive,7.0,"[erekcja, jak, jaka, si, Johnson, wiece, wiec, dać, dama, gwiazdka, na, jej, on, to, ten, psychopata, ale, być, przystojny, wiece, wiec, dziewczyna, na, to, ten, oko, na, mój, mieć, cosinus, tylko, go, on, fantazja, ciut, panienka, jeszcze, wiek, wiece, wiec]",positive,True,1,263,26
55,negative,1.0,"[statystyka, statystyk, on, nie, chyba, kobieta, mało, mniej, inteligentny, oda, od, kobieta, jak, jaka, móc, on, imienia, im, imiesłów, si, to, ten, cosinus, taka, tak, już, mi, ja, opowiedzieć, jak, jaka, jej, on, się, podobać, ten, stwierdzić, Tylka, on, teza, on, nie, być, idealny, kobieta, dziwny, chyba, jednak, statystyka, statystyk, przytaczać, Korwin, się, on, nie, mylić, bo, statystyka, statystyk, si, on, nie, mylić, kobieta, szukać, płytki]",positive,False,0,470,47
56,positive,6.0,"[ojciec, ocean, facet, że, być, gorszyć, zły, jednak, to, ten, całkiem, niezły, szczęście, on, nie, chodzić, wiek, on, nim, tylko, ojciec, ocean, pokazać, mocno, erotyczny, scena, uff, bać, się, że, taka, tak, jednak, film, mój, mieć, głęboki, głębszy, maić, mieć, za, się, ciężki, dzieciństwo, bać, boja, się, czułość, czułości, bać, boja, się, dotyk, on, nie, dawać, się, prawa, prawo, prawy, do, dobre, dobry, kazać, kobieta, za, te, ten, ty, wszystek, swój, swoje, nieszczęśliwy]",positive,True,1,523,52
57,negative,3.0,"[czyli, dwa, zmarnować]",negative,True,1,24,2
58,negative,3.0,"[scena, rozdziewiczać, jeszcze, jako, jaka, taka, tako, potem, pot, to, ten, już, tylko, tani, niemiecki, erotyk, erotyka, lato, rok, aktor, aktorka, on, nie, gol, goły, golić, noga, młody, właściciel, firma, telekomunikacyjny, film, dla, scena, rozdziewiczać, jeszcze, jako, jaka, taka, tako, potem, pot, to, ten, już, tylko, tani, niemiecki, erotyk, erotyka, lato, rok]",negative,True,1,380,38
59,negative,1.0,"[że, parodia, być, wierny, adaptacja, oda, od, faktyczny, mówić, wszystko]",positive,False,0,78,7
60,positive,10.0,"[obejrzeć, się, właśnie, wersja, matka, święta, święto, święty, ojciec, ocean, ile, ił, się, dobrze, kojarzyć, słowa, słowo, wiek, wersja, napis, były, być, przetłumaczyć, jako, jaka, ale, kto, to, ten, tłumaczyć, tłumacz]",negative,False,0,244,24
61,negative,2.0,[kolejny],negative,True,1,9,0
62,negative,2.0,"[ja, miąć, bardzo, dość, że, relacja, miedza, bohater, przebiegać, wiek, za, szybki, tempo, temp, to, ten, jeszcze, była, były, być, taka, tak, sztuczny, głowa, aż, odgrywać, postać, pasować, do, się, jak, jaka, pięść, do, oko, zero, chemia, między, mały, plus, za, aktor, odgrywać, bo, na, ekran, prezentować, się, dobrze, lepiej, niżyć, niża, nizać, niż, na, gdyby, dal, dać, inny, aktorka, to, ten, być, choć, trochę, trocha]",negative,True,1,460,46
63,negative,2.0,[],negative,True,1,2,0
64,negative,2.0,"[refleksja, smutny, leczyć, leczo, lecz, niektóry, odbiorca, sądzić, iż, skoro, nawóz, służyć, do, hodowla, warzywo, owoc, tym, ten, to, sam, musić, muszy, musieć, być, bycie, również, zdatny, do, kupa, zawsze, pozostać, kupa, posypać, on, szczypiorek, podać, na, porcelanowy]",negative,True,1,293,29
65,negative,1.0,"[coś, być, miecić, mieść, mieć, kolejny, częsty, część, długo, być, męczyć, społeczeństwo, swój, swoje, istnieć, istnienie]",positive,False,0,141,14
66,negative,3.0,"[szczęście, dostać, te, ten, ty, malina, to, ten, prawo, prawie, mama, mieć, do, czynić, czynienie, pierwszy, pierwsze, pierwsza, taki, przypadek, gdy, zwyciężać, wiek, zły, kategoria, egzegeza, inny]",positive,False,0,209,20
67,negative,1.0,"[Złota, Malina, się, koniec]",negative,True,1,30,3
68,negative,3.0,[],negative,True,1,2,0
69,positive,6.0,[],negative,False,0,2,0
70,negative,4.0,"[Pan, na, luz, luza, mieć, swoić, swój, boski, to, ten, niech, teraz, kobitka, tenże, też, coś, maić, maja, mieć, to, ten, kino, kin, kina]",positive,False,0,147,14
71,negative,2.0,"[co, za, lipa, medialny, wokół, film, przeogromny, niestety, ale, prawda, być, taka, taki, że, twórca, kino, kin, kina, potrafić, nieźle, zmanipulować, widz, można, możny, nakręcić, zły, dno, dna, wodorost, taka, tak, zbajerować, człowiek, ludzie, że, gnać, być, do, kino, kin, kina, na, złamać, złamanie, kark, karko, wiek, tym, ten, to, film, być, wszystko, co, zły, mizerny, grać, gra, aktor, zero, wyuzdać, wyuzdany, co, wiek, on, nim, taki, kontrowersyjny, już, instynkt, lub, lubić, zauroczenie, zauroczyć, czy, tenże, też]",negative,True,1,559,55
72,negative,1.0,"[co, być, zabawny, choć, to, ten, pewniak, na, sprzedać, się, krotny, zysk, więc, spełnić, to, ten, samo, sam, zadanie, zadać, co, osobiście, bardzo, spodobać, się, móc, go, on, słuchać, godzina, czy, to, ten, jako, jaka, kołysanka, czy, wręcz, wręczyć, przeciwnie, bo, być, bardzo, on, nie, oglądać, ale, czytać, niech, on, nie, nastawiać, się, na, duży, wielki, niżyć, niża, nizać, niż, wiek, większość, epizod, obejrzeć, on, nie, czytać, polecać]",negative,True,1,485,48
73,negative,3.0,"[aktor, się, on, nie, wykazać, Książki, Książek, on, nie, czytać, więc, jej, on, on, nie, być, książka, książka, film, się, że, on, nie, tylko, komentator, ojciec, ocean, tym, ten, to, zapominać, zapomnieć, ojciec, ocean, tym, ten, to, bowiem, sam, scenarzysta, co, być, bycie, móc, może, sprawić, że, powieść, stały, stała, stać, się, bestseller, zmysłowy, opis, wyuzdać, wyuzdany, seks, sex, reakcja, odczuć, odczucie, główny, bohater, wiek, film, przełożyć, się, na, przydługi]",positive,False,0,518,51
74,positive,7.0,"[dzień, żółty, jak, jaka, widać, wszystko, znieść, czy, kamera, kiedy, powstać, powstanie, ekranizacja, tenże]",negative,False,0,119,11
75,positive,10.0,"[obiektywnie, on, nie, na, podstawa, jak, jaka, być, wiek, książka, jak, jaka, wiek, film, że, który, krytykować, czytać, książka, spodziewać, się, on, nie, wiadomo, jaki, film, że, być, to, ten, książka, on, nie, oda, od, dziś, że, film, nigdy, on, nie, być, identyczny, jak, jaka, się, osobiście, film, podobać, mima, mimo, iż, książka, przeczytać, raz, pod, rząd, można, możny, by, rzec, że, być, móc, może, być]",negative,False,0,448,44
76,negative,4.0,"[Książek, czy, film, przeczytać, ponieważ, moja, mój, przyjaciółka, gorąco, mi, ja, on, szczerza, szczerze, męczyć, ja, miąć, była, były, być, naprawdę, irytować, irytujący, móc, się, wydawać, że, on, nie, potrafić, nic, nica, zrobić, bez, beza, czyjś, taka, taki, moja, mój, subiektywny, tym, ten, to, często, mieć, wrazić, wrażenie, że, sam, on, nie, wiedzieć, czego, co, tenże, też, ja, miąć, jakoś, szczególnie, on, nie, część, zacząć, ale, skończyć, po]",negative,True,1,503,50
77,negative,2.0,"[odcień, smutek, całkowicie, odbiegać, oda, od, chaotyczny, wątek, być, się, zaczynać, nagle, kończyć, bez, beza, mały, kto, on, nie, czytać, książka, móc, może, miecić, mieść, mieć, problem, zrozumienie, zrozumieć, co, się, dzieje, dziać, alba, albo, wiek, ogół, ojciec, ocean, co, wiek, on, nim, że, nawet, ci, ten, ty, co, on, czytać, móc, miecić, mieść, mieć, tym, ten, to, brakować, klimat, taka, tak, jakby, scenarzysta, chcieć, zrobić, trochę, trocha, to, ten, trochę, trocha, tamten, tamto]",negative,True,1,534,53
78,negative,1.0,[szmira],negative,True,1,8,0
79,negative,5.0,"[który, odnosić, sukces, być, pewien, pewny, się, on, nie, być, więzień, własne, własny, umysł, niestety, wiek, tym, ten, to, film, być, potrafić, stawić, czoło, przeszłość, być, słaby, psychicznie, jednocześnie, być, przedstawiać, jako, jaka, on, nie, mój, mieć, duży, wielki, sens, wiek, sum, suma, można, możny, go, on, traktować, jako, jaka, spektakl, erotyczny, fabuła, wiek, być, to, ten, złe, zły, kino, kina, ponieważ, dostarczać]",negative,True,1,472,47
80,positive,6.0,"[kobieta, wat, tym, ten, to, film, jedno, jeden, ja, miąć, Christian, mój, mieć, lato, rok, wiek, wieko, wiek, lato, rok, rozdziewiczyć, przez, lato, rok, czyli, mialić, lato, rok, jak, jaka, si, oda, od, Robinson, mialić, niby, kobieta, ale, ostatni, dwa, latać, rok, lato, czyli, wychodzić, na, to, ten, wiek, lato, rok, mialić, az]",negative,False,0,344,34
