sentiment,word
-2.0,anemik
-1.0,anestetyczny
-1.0,anestezyjny
-2.0,angelologiczny
-1.0,angielska flegma
-2.0,anglofob
-2.0,anglofobia
-2.0,angolski
-2.0,anhydryt
-2.0,anhydrytowiec
-2.0,anhydrytowy
-2.0,anhydrytyt
2.0,anielica
2.0,anielskość
2.0,anielstwo
-1.0,aniksozaur
-2.0,animozja
2.0,anioł
2.0,anioł
2.0,anioł stróż
-1.0,anioł stróż
2.0,aniołek
1.0,aniołek Charliego
-2.0,aniołokształtne
-2.0,annopolski
-2.0,anorektyk
-1.0,anormalny
-1.0,anormalny
-2.0,ansa
-2.0,antagonizm
-1.0,antidotum
-1.0,antybiurokratyczny
-2.0,antychryst
-1.0,antyczny
-1.0,antydemokratyczny
-1.0,antyfeminista
-2.0,antyfeminizm
-2.0,antyhumanitarny
-2.0,antyjudaizm
-2.0,antykobiecy
-1.0,antykonstytucyjny
-1.0,antykonsumencki
-1.0,antylopa czteroroga
-1.0,antylopa końska
-1.0,antylopa szabloroga
-1.0,antylopi
-2.0,antyludzki
-1.0,antynaturalistycznie
-1.0,antynaturalistycznie
-1.0,antyobywatelski
-2.0,antyojcowski
-2.0,antypatia
-2.0,antypatriotyzm
-2.0,antypatyczność
-2.0,antypatyczny
-2.0,antypatyczny
-1.0,antypody
-2.0,antysemita
-2.0,antysemityzm
-1.0,antyseptyk
-2.0,antyslawizm
-2.0,antysztuka
-1.0,antytalent
-2.0,antytalent
-2.0,antywychowawczy
-2.0,antyżydowskość
-2.0,aparatczyk
-1.0,apasz
-2.0,apatia
-1.0,apatyczny
-1.0,apatyczny
-2.0,apetycznie
1.0,apetyczny
2.0,apetyczny
1.0,apetyczny
-2.0,apodyktyczność
-1.0,apodyktyczny
-2.0,apokalipsa
-2.0,apokalipsa
-2.0,apokaliptyczny
-1.0,apokryficzność
-1.0,apokryficzny
-1.0,aposterioryczny
-1.0,aprioryczny
-2.0,aragonitowy
-2.0,aragonitowy
1.0,arbiter
2.0,arbiter elegantiarum
-2.0,arbitralność
-1.0,arbitralny
-1.0,archaiczność
-1.0,archaiczny
-1.0,archaika
2.0,arcybogaty
-1.0,arcybrzydki
-2.0,arcybrzydki
-2.0,arcybrzydki
2.0,arcyciekawy
1.0,arcyciekawy
2.0,arcyciekawy
-2.0,arcydelikatny
2.0,arcydzielny
2.0,arcydzielny
2.0,arcydzielny
1.0,arcydzielny
2.0,arcydzielny
-1.0,arcykomiczny
-2.0,arcyłgarz
-2.0,arcyniemiły
2.0,arcypiękny
-2.0,arcypoważny
-2.0,arcypoważny
-1.0,arcyśmieszny
2.0,arcyważny
-1.0,arcyzabawny
-2.0,aripisowate
-2.0,arkadyjski
2.0,arkadyjskość
-1.0,armia zaciężna
-2.0,arogancki
-2.0,arogancki
-2.0,aroganckość
-2.0,arogant
-1.0,artykulacja
-1.0,artykuł papierniczy
2.0,artysta
1.0,artystyczność
2.0,artystyczny
-1.0,artystyczny nieład
2.0,artyzm
1.0,arystokratyczny
-2.0,arywista
2.0,as
1.0,as przestworzy
1.0,as wywiadu
-1.0,ascetyczność
-1.0,asdic
-1.0,asekurancki
-2.0,asekuranctwo
-2.0,asekurantyzm
-2.0,asertywny
1.0,asertywny
-1.0,asocjacyjnie
-1.0,asocjalny
-1.0,asocjalny
-1.0,aspołeczność
-1.0,aspołeczność
-2.0,aspołeczny
-2.0,aspołeczny
-2.0,aspołeczny
-2.0,aspołeczny
-2.0,asteniczny
-2.0,atak
-2.0,atak frontalny
2.0,atleta
1.0,atletyczny
1.0,atłasowy
2.0,atrakcyjny
2.0,atrakcyjny
1.0,atrakcyjny
-2.0,atutowy
1.0,augur
-2.0,austrofob
1.0,autentyczność
2.0,autentyczny
1.0,autentyczny
2.0,autentyczny
1.0,autentyczny
1.0,autentyczny
1.0,autentyka
-2.0,autochtoniczny
-1.0,autofilia
1.0,autoironiczny
-2.0,autokrata
-2.0,autokratyczny
1.0,automatyczny
1.0,autonomiczny
-1.0,autoregulacyjny
-1.0,autorotacyjny
-1.0,autorotacyjny
-1.0,autorytatywność
2.0,autorytatywny
-1.0,autorytatywny
2.0,autorytet
-2.0,awantura
-2.0,awantura
-2.0,awantura arabska
-2.0,awanturnictwo
-1.0,awanturniczy
-2.0,awanturniczy
-2.0,awanturniczy
-1.0,awanturnik
-1.0,awanturnik
-1.0,awanturny
-2.0,awanturny
-2.0,awanturny
-1.0,awaria
-2.0,awersja
-1.0,awersowy
-2.0,azbestowy
-1.0,azotynowy
-1.0,azydkowy
-2.0,baba
-1.0,baba
-2.0,baba jaga
-2.0,baba-chłop
-2.0,baba-jaga
-1.0,babi
-2.0,babiarz
-1.0,babington
-1.0,babka
-1.0,babkowaty
-1.0,babkowaty
-1.0,babkowy
-2.0,babochłop
-2.0,babon
-1.0,babrała
-1.0,babski
-2.0,babsko
-2.0,babsztyl
1.0,babula
-2.0,babula
-2.0,babulinka
2.0,babunia
-2.0,babus
1.0,babusia
1.0,babuśka
-1.0,bachanalia
-1.0,bachanalie
-1.0,bachiczny
-2.0,bachor
-1.0,bachusowy
1.0,baczny
1.0,badawczość
-1.0,badylarz
-1.0,bagdadzki
-2.0,bagienko
-2.0,bagno
2.0,bajeczny
2.0,bajeczny
2.0,bajerancki
-2.0,bajerant
2.0,bajkowy
-2.0,bajzel
-2.0,bakłażan
-1.0,balecik
1.0,balety
-1.0,balkonik
-1.0,bałagan
-2.0,bałaganiarstwo
-1.0,bałaganiarz
-1.0,bałaguła
-1.0,bałaguła
-2.0,bałamut
-2.0,bałamut
-2.0,bałamutnik
-2.0,bałamutność
-2.0,bałamutny
-2.0,bałwan
-2.0,bałwaniasty
-2.0,bałwaństwo
-2.0,bałwochwalczy
-2.0,bałwochwalski
-2.0,bałwochwalstwo
-1.0,bamber
-2.0,banalny
-2.0,banalny
-1.0,banan
-2.0,banan
2.0,banan
-1.0,banan
-2.0,bananowiec
-1.0,bananowy
-2.0,banderola
-2.0,bandycki
-2.0,bandycki
-2.0,bandyta
1.0,bania
-2.0,banieczka
-1.0,banita
-1.0,banita
1.0,bankietowy
-2.0,bankomatowy
-2.0,bankructwo
-2.0,bankrut
-2.0,baran
-1.0,baraneczek
-1.0,baranek
1.0,baranek
-2.0,baranowicki
1.0,baraszki
-2.0,barbarzyńca
-2.0,barbarzyński
-2.0,barbarzyński
-2.0,barbarzyński
-2.0,barbarzyński
-2.0,barbarzyński
-2.0,barbarzyński
-2.0,barbarzyńskość
-2.0,barbarzyńskość
-2.0,barbarzyńskość
-1.0,barbarzyńskość
-1.0,barbie
-2.0,barczatka dębolistna
-1.0,barczatka dębówka
-2.0,barczatka frankońska
-2.0,barczatka sosnówka
-2.0,barczatka śliwienica
-2.0,barczatka śliwówka
-1.0,bardysz
-2.0,barwny
-1.0,baryłkowaty
-1.0,baryłkowy
-2.0,barytowy
-2.0,barytowy
1.0,basałyk
-1.0,basenik
-1.0,bastard
-2.0,bastardowy
1.0,baśniowy
-2.0,batalia
-2.0,batożnik
-2.0,baty
-2.0,batypelagiczny
-1.0,bawidamek
-1.0,bawół afrykański leśny
-1.0,bawół brunatnoczerwony
-1.0,bawół czerwony
-1.0,bawół karłowaty
-1.0,bawół krótkorogi
-1.0,bawół leśny
-1.0,bawół mindorski
-2.0,bazgracz
-2.0,bazgrała
-2.0,bazyliszek
-2.0,bazyliszkowaty
1.0,bąbel
1.0,bąk
-2.0,bean
-1.0,bebechowaty
-1.0,bebopowy
-1.0,bebopowy
-1.0,bebopowy
-1.0,bech
-1.0,beczkowaty
-1.0,beczułkowaty
-1.0,bejca
-1.0,bejca
-1.0,bejcówka
-1.0,bek
-1.0,beka
-2.0,bekaśnice
-2.0,bekonowy
-1.0,beksa
-1.0,beksa-lala
-1.0,beleczka
-2.0,belzebub
-1.0,bełkaczek
-1.0,bełkotliwy
2.0,benedyktyńska cierpliwość
1.0,benedyktyński
-1.0,benedyktyński
1.0,beniaminek
1.0,berbeć
-2.0,berestecki
-2.0,berezyński
-1.0,Bergman
-2.0,berylowy
-2.0,besserwisser
-2.0,besserwisserstwo
-2.0,bestia
1.0,bestia
-2.0,bestialski
-2.0,bestialski
-2.0,bestialstwo
-1.0,beton
-2.0,betonowy
-1.0,bezanstenga
1.0,bezapelacyjność
2.0,bezawaryjny
-2.0,bezbarwność
-1.0,bezbarwny
-1.0,bezbarwny
-1.0,bezbielmowy
1.0,bezbiletowy
2.0,bezbłędność
2.0,bezbłędny
2.0,bezbłędny
1.0,bezbolesny
1.0,bezbolesny
1.0,bezbolesny
-2.0,bezbożnik
-2.0,bezbożny
-2.0,bezbożny
-1.0,bezbronność
-1.0,bezbronność
-1.0,bezbronny
-1.0,bezbronny
-1.0,bezbronny
-1.0,bezcelowość
-1.0,bezcelowy
2.0,bezcenny
2.0,bezcenny
-1.0,bezceremonialność
-1.0,bezceremonialny
-2.0,bezceremonialny
1.0,bezchmurny
2.0,bezczasowość
-2.0,bezczasowy
-1.0,bezczel
-1.0,bezczelnik
-2.0,bezczelność
-2.0,bezczelny
-2.0,bezczelny
-2.0,bezczucie
-2.0,bezczynność
-2.0,bezczynny
-2.0,bezczynny
-1.0,bezczynny
-2.0,bezdenny
-2.0,bezdomność
-1.0,bezdomny
-1.0,bezdomny
-1.0,bezdrożny
-2.0,bezdusznik
-2.0,bezduszność
-2.0,bezduszny
-2.0,bezduszny
-2.0,bezecnik
-2.0,bezecność
-2.0,bezecny
-2.0,bezecny
-1.0,bezforemny
1.0,bezgrzeszność
2.0,bezgrzeszny
-1.0,bezguście
-2.0,bezguście
-1.0,bezhołowie
-1.0,bezideowiec
-1.0,bezideowość
2.0,bezinteresowność
2.0,bezinteresowny
2.0,bezinteresowny
1.0,bezinwazyjność
-1.0,bezkierunkowo
-1.0,bezkierunkowość
-1.0,bezkierunkowy
-1.0,bezkierunkowy
-2.0,bezklasowy
1.0,bezkolizyjny
1.0,bezkonfliktowość
1.0,bezkonfliktowy
1.0,bezkonfliktowy
2.0,bezkonkurencyjny
2.0,bezkonkurencyjny
-1.0,bezkostny
-1.0,bezkrwistość
-1.0,bezkrwisty
-1.0,bezkrwisty
-1.0,bezkrytycyzm
-1.0,bezkrytyczność
-1.0,bezkrytyczny
-2.0,bezkrytyczny
-1.0,bezkształtny
-1.0,bezkształtny
-2.0,bezlitosny
-2.0,bezlitosny
-2.0,bezlitosny
-2.0,bezlitosny
-2.0,bezlitosny
-1.0,bezład
-1.0,bezładny
-2.0,bezmózg
-2.0,bezmózgi
-2.0,bezmózgi
-2.0,bezmózgi
-2.0,bezmózgowiec
-2.0,bezmyślność
-2.0,bezmyślny
-2.0,bezmyślny
-2.0,bezmyślny
-2.0,beznadziejny
-2.0,beznadziejny
-2.0,beznamiętność
-1.0,beznogi
1.0,bezobłoczny
-1.0,bezogniowy
-2.0,bezoki
-1.0,bezokienny
-1.0,bezosobowość
-1.0,bezosobowy
-1.0,bezowocność
-2.0,bezowocny
-1.0,bezpancerzowce
-2.0,bezpański
-1.0,bezpańskość
-2.0,bezpardonowy
2.0,bezpieczeństwo
1.0,bezpieczny
1.0,bezpieczny
1.0,bezpieczny
-2.0,bezplamka
-1.0,bezplanowość
-1.0,bezplanowy
1.0,bezpłatny
-1.0,bezpłciowiec
-2.0,bezpłciowość
-2.0,bezpłciowy
-2.0,bezpłetwce
-1.0,bezpłodność
-1.0,bezpłodny
-2.0,bezpłodny
-2.0,bezpłodny
-1.0,bezpłodny
-2.0,bezpodstawność
-2.0,bezpodstawny
-1.0,bezpostaciowy
-1.0,bezpostaciowy
-1.0,bezpowrotność
-2.0,bezprawny
1.0,bezpretensjonalność
-2.0,bezpretensjonalny
1.0,bezpretensjonalny
2.0,bezpretensjonalny
1.0,bezpretensjonalny
1.0,bezproblemowość
1.0,bezproblemowość
1.0,bezproblemowość
2.0,bezproblemowy
1.0,bezproblemowy
1.0,bezproblemowy
-1.0,bezproduktywność
-2.0,bezproduktywny
-2.0,bezproduktywny
-2.0,bezproduktywny
-2.0,bezprzedmiotowość
-1.0,bezprzedmiotowy
-1.0,bezprzetargowo
-1.0,bezprzetargowy
2.0,bezprzykładny
-1.0,bezradność
-1.0,bezradność
-1.0,bezradny
-1.0,bezradny
-1.0,bezradny
-2.0,bezrąbek
-1.0,bezrefleksyjność
-2.0,bezrefleksyjny
-1.0,bezrefleksyjny
-1.0,bezrozumność
-2.0,bezrozumny
-1.0,bezrozumny
-2.0,bezrozumny
-1.0,bezsenny
-1.0,bezsenny
-1.0,bezsenny
-2.0,bezsens
-2.0,bezsensowność
-2.0,bezsensowny
-2.0,bezsensowny
-2.0,bezsensowy
-2.0,bezsensowy
-2.0,bezsilność
-1.0,bezsilny
-1.0,bezsilny
-1.0,bezsilny
-2.0,bezsiła
-1.0,bezskuteczność
-2.0,bezskuteczny
-1.0,bezsłoneczny
-1.0,bezsłoneczny
-1.0,bezsmakowy
1.0,bezsporność
1.0,bezsporny
-1.0,bezstopniowy
1.0,bezstresowy
1.0,bezstronny
1.0,bezstronny
-1.0,bezstylowy
1.0,bezszmerowy
-1.0,bezświadomy
-1.0,beztalencie
-2.0,beztalencie
-1.0,beztreściowy
-1.0,beztreściwy
-2.0,beztroska
1.0,beztroska
-2.0,beztroski
1.0,beztroski
-2.0,beztroski
1.0,beztroski
1.0,beztroski
2.0,bezusterkowy
-1.0,bezużyteczny
-2.0,bezużyteczny
-2.0,bezwartościowość
-2.0,bezwartościowość
-2.0,bezwartościowość
-2.0,bezwartościowość
-2.0,bezwartościowy
-2.0,bezwartościowy
-2.0,bezwartościowy
-2.0,bezwartościowy
-2.0,bezwartościowy
-1.0,bezwarunkowość
-2.0,bezwład
-2.0,bezwładność
-1.0,bezwładny
-1.0,bezwładny
-1.0,bezwładny
-1.0,bezwładny
-1.0,bezwodzie
-2.0,bezwolność
-2.0,bezwolny
-2.0,bezwstyd
-2.0,bezwstydnica
-1.0,bezwstydnik
-2.0,bezwstydność
-2.0,bezwstydność
-2.0,bezwstydny
-2.0,bezwstydny
-2.0,bezwyjściowość
-2.0,bezwyjściowy
1.0,bezwypadkowy
-2.0,bezwzględnie
-2.0,bezwzględność
-1.0,bezwzględność
-1.0,bezwzględny
-2.0,bezwzględny
-2.0,bezzasadność
-2.0,bezzasadny
-1.0,bezzębność
1.0,bezzwłoczność
1.0,bezzwłoczny
1.0,bezzwrotny
-2.0,bęcwał
-2.0,bękart
-2.0,biadanie
-2.0,biadolenie
-1.0,biadolenie
-2.0,bialski
1.0,bialutki
-1.0,białas
2.0,bibliofilia
-2.0,bicz boży
-2.0,bić Niemca po kasku
-1.0,bidak
-1.0,bidaka
-1.0,bidny
-1.0,bidny
-1.0,bidny
-1.0,bidny
-1.0,bieda
-2.0,bieda
-1.0,biedaczysko
-2.0,biedak
-2.0,biedak
-1.0,biedniak
-2.0,biedniejszy
-1.0,biedniutki
-1.0,biedniutki
-1.0,biedny
-2.0,biedny
-1.0,biedny
-1.0,biedny
-1.0,biedny
-2.0,biedny
-2.0,biedota
-1.0,biedota
-1.0,bieganina
1.0,biegły
-1.0,biegowy
-2.0,bielawski
-2.0,bielinek bytomkowiec
-2.0,bielinek rukiewnik
1.0,bieluśki
1.0,bielutki
-1.0,bierność
-1.0,bierny
-1.0,bierny
-2.0,bies
-2.0,bigos
-2.0,bigot
-2.0,bijatyka
-1.0,bilardowy
-2.0,bilonowy
-1.0,bilonowy
-2.0,biłgorajski
-2.0,bimbrownik
-1.0,binegacja
-1.0,biolit
-2.0,bioterrorysta
-1.0,birbancki
-2.0,birbant
-2.0,biskupiecki
1.0,bisurman
-1.0,bitka
-1.0,bitles
1.0,bitny
-1.0,bitwa
-2.0,biurokracja
-1.0,biurokrata
-1.0,biurokratka
-2.0,biurokratyczność
-2.0,biurokratyzm
-2.0,biurwa
-2.0,biwakowy
-2.0,blachara
-1.0,bladawy
-1.0,blady
-1.0,blady
-2.0,bladziuch
-1.0,bladziutki
-1.0,bladziutki
-2.0,bladź
-2.0,bladź
-2.0,blagier
-2.0,blamaż
2.0,blask
-1.0,bledziuch
-1.0,bledziutki
-1.0,bledziutki
-2.0,blefiarz
1.0,bliski
2.0,bliski
2.0,bliski
-2.0,bliski
1.0,bliźni
1.0,bliższy
-1.0,blockers
-1.0,blokers
-1.0,blondas
-1.0,blondi
-1.0,blondzia
-1.0,bluegrassowy
-2.0,bluffiarz
-1.0,bluszczowy
-2.0,bluźnierca
-2.0,bluźnierczość
-2.0,bluźnierczy
-2.0,bluźnierstwo
-1.0,błahy
-2.0,błazen
-1.0,błazeński
-1.0,błaznowaty
-2.0,błędność
-1.0,błędność
-1.0,błędny
-1.0,błędny
-1.0,błędny
-1.0,błędny
2.0,błogi
2.0,błogi
2.0,błogosławieństwo
1.0,błogosławiony
2.0,błogostan
2.0,błogość
-1.0,błotny
1.0,błysk
-1.0,błysk
1.0,błyskawiczność
1.0,błyskawiczny
2.0,błyskotliwość
2.0,błyskotliwy
2.0,błyskotliwy
2.0,błyskotliwy
1.0,błyskotny
-1.0,błyszcz
2.0,błyszczący
-1.0,błyszczyk
-2.0,bob
1.0,bobas
1.0,bobasek
1.0,bobo
-2.0,bobrek
-1.0,boczny tor
1.0,bogatszy
-2.0,bogatszy
1.0,bogatszy
1.0,bogatszy
1.0,bogatszy
1.0,bogatszy
2.0,bogatszy
2.0,bogaty
1.0,bogaty
1.0,bogaty
2.0,bogaty
2.0,bogaty
2.0,bogini
-2.0,Bogusław
2.0,bohater
2.0,bohaterski
-2.0,bohaterski
2.0,bohatersko
1.0,bohatyrski
-1.0,bohatyrski
-1.0,boj
-2.0,bojaźliwość
-2.0,bojaźliwy
-2.0,bojaźliwy
-2.0,bojaźń
-1.0,boje homeryckie
-1.0,bojowiec
-1.0,bojowniczy
1.0,bojownik
-2.0,bojowo
1.0,bojowy
-1.0,bojówkarz
-2.0,boksowy
-1.0,bolączka
-2.0,bolesławicki
-2.0,bolesny
-2.0,bolesny
-2.0,bolesny
-2.0,bolesny
-1.0,bolesny
-1.0,boleściwy
-1.0,boleściwy
-2.0,boleść
-1.0,boleśnie
-2.0,bolszewizacja
-1.0,bomba ekologiczna
-1.0,bombast
-1.0,bombastyczność
-1.0,bombastyczny
-2.0,bombiarz
2.0,bombowy
-2.0,bon viveur
-1.0,bonanza
-2.0,bonza
-2.0,bonzo
1.0,boom
-1.0,borek
-1.0,borsuk
-1.0,boruta
-1.0,boski
2.0,boski
-2.0,bosy Antek
-2.0,bożek
-2.0,bóg
-2.0,bógwico
-1.0,bój
-1.0,bójka
-2.0,ból
-2.0,ból świata
2.0,bóstwo
1.0,brach
-1.0,braciak
-2.0,brakorób
-2.0,brakoróbca
1.0,bramkostrzelny
-2.0,branka
2.0,brat
1.0,brat
2.0,brat
2.0,brat syjamski
1.0,braterski
-1.0,braterski
2.0,braterstwo
1.0,bratni
1.0,bratni
2.0,bratnia dusza
-2.0,bratobójca
-2.0,bratobójczy
-2.0,bratobójczy
-1.0,brązalowy
1.0,brązowiutki
1.0,brązowiutki
-1.0,brązowniczy
-1.0,brązowy
1.0,brązowy
-2.0,brechtać kizior
-2.0,brewerie
-1.0,brokatowy
-1.0,brud
-2.0,brudas
-1.0,brudnawy
-2.0,brudnica nieparka
-1.0,brudnozielony
-1.0,brudny
-2.0,brudny
-2.0,brudny
-1.0,brudny
-2.0,brudny
-2.0,brudny
-2.0,brudny
-2.0,bruhatkajozaur
-2.0,brunatny
-2.0,brunszwicki
-2.0,brutalizm
-2.0,brutalność
-2.0,brutalność
-1.0,brutalność
-2.0,brutalny
-2.0,brutalny
-2.0,brutalny
-1.0,brutalny
-2.0,brutalny
2.0,brylant
2.0,brylantowy
2.0,brylowanie
-2.0,bryła lodu
-2.0,brytofobia
1.0,brzdąc
-2.0,brzeski
1.0,brzoskwiniowy
1.0,brzoskwinka
-2.0,brzozowski
-2.0,brzuchacz
-2.0,brzuchal
-1.0,brzuchaty
-2.0,brzydal
-2.0,brzydki
-1.0,brzydki
-1.0,brzydki
-1.0,brzydki
-1.0,brzydki
-2.0,brzydki jak nieszczęście
-2.0,brzydki jak noc
-2.0,brzydki jak noc listopadowa
-1.0,brzydkie kaczątko
-1.0,brzydula
-1.0,brzytwa
2.0,brzytwa
-2.0,bu
-1.0,bubek
-2.0,buc
-2.0,bucowaty
2.0,budujący
-2.0,bufon
-2.0,bufonada
-2.0,bufonowaty
-1.0,bujacz
-2.0,bujak
2.0,bujny
2.0,bujny
1.0,bujny
-1.0,bukat
-2.0,bukoliczny
-2.0,bukowoberdowy
-1.0,bulioner
-2.0,bullterier
-2.0,bulterier
-1.0,bułatowy
-2.0,bułgaryzacja
-1.0,bułowaty
-1.0,bułowaty
-2.0,bumelanctwo
-2.0,bumelant
-2.0,bumelka
-1.0,bumerangowy
-1.0,buntowniczość
-1.0,buntownik
-1.0,buńczuczny
-1.0,buńczuczny
-2.0,buraczany
-1.0,burak
-1.0,burak cukrowy
-1.0,burak pospolity
-1.0,burczenie
-1.0,burczymucha
-2.0,burda
-2.0,burdel
-2.0,burdelowy
-2.0,burdelówka
-1.0,burek
-2.0,burger
-1.0,burkliwy
-1.0,burszowski
-2.0,burza
-2.0,burza
1.0,burza
-2.0,burza w szklance wody
-2.0,burzliwość
-2.0,burzliwy
-1.0,burzliwy
-1.0,burzliwy
1.0,burzliwy
-2.0,burzyciel
-1.0,burżuj
-2.0,burżuj
-1.0,burżujski
-1.0,burżujstwo
1.0,butikowy
1.0,butikowy
-1.0,butność
-2.0,butny
-1.0,buziak
-2.0,bychowski
-1.0,byczek
-2.0,bydlak
-2.0,bydlę
-2.0,bydlęctwo
-2.0,bydlęcy
-2.0,bydlęcy
-1.0,bydło
2.0,byk
1.0,byk
-1.0,byk
-2.0,bykowiec
-1.0,była żona
-1.0,były mąż
2.0,bystrość
1.0,bystrość
2.0,bystrość
1.0,bystrość
-1.0,bystry
1.0,bystry
1.0,bystry
2.0,bystry
2.0,bystrzak
-1.0,bystrzejszy
-1.0,bystrzyk loretański
-1.0,bystrzyk z Loreto
-2.0,bytomkowiec
2.0,bywały
-2.0,bzdurność
-1.0,bzdurny
-1.0,bzdurny
2.0,bzik
1.0,bzik
1.0,bzikowaty
-2.0,bździak
-1.0,c
-2.0,call girl
-1.0,call-girl
1.0,calusieńki
1.0,calusieńki
1.0,caluśki
1.0,caluśki
1.0,caluteńki
1.0,caluteńki
1.0,calutki
1.0,calutki
-2.0,całobrzegi
-1.0,całopalny
-1.0,całunek
-1.0,całus
1.0,cały
1.0,cały
-2.0,cap
-2.0,cap
-2.0,capi
-1.0,caravaningowy
-2.0,carobójca
-1.0,casanova
-1.0,casus
-1.0,cebulak
-2.0,cegiełkowy
1.0,celebra
1.0,celebracja
-1.0,celibat
-2.0,celkowy
2.0,celność
2.0,celny
1.0,celny
1.0,celny
1.0,celny
1.0,celowy
-2.0,cement
-2.0,cementowy
-2.0,cementowy
-2.0,cementowy
2.0,ceniony
1.0,cenność
2.0,cenny
2.0,cenny
-1.0,centralniejszy
-1.0,centuś
1.0,cenzuralny
-2.0,cep
-1.0,cepeliowski
-2.0,ceper
-2.0,ceremonialny
-2.0,cesarski
-2.0,chałturnik
-2.0,chałturowiec
-2.0,chałturszczyk
-2.0,chałturzysta
-2.0,cham
-2.0,cham
-2.0,chamowaty
-2.0,chamowaty
-2.0,chamski
-2.0,chamski
-2.0,chamski cyc
-2.0,chamstwo
-2.0,chamstwo
-2.0,chandra
-1.0,chaos
-1.0,chaotyczny
-2.0,chaotyczny
-1.0,charakternik
-2.0,charakterystycznie
-2.0,charakterystyczny
2.0,charytatywny
-2.0,charyzma
2.0,charyzmat
-1.0,charyzmat
-1.0,charyzmatycznie
2.0,charyzmatyczny
2.0,charyzmatyczny
2.0,chcica
2.0,chcica
-1.0,chciwie
-2.0,chciwiec
-2.0,chciwość
-2.0,chciwy
-2.0,chciwy
-1.0,chełmiecki
-2.0,chełmski
-2.0,chełpliwość
-1.0,chełpliwy
-1.0,chełpliwy
-2.0,cherlactwo
-1.0,cherlak
-1.0,cherlawiec
-1.0,cherlawy
-1.0,cherlawy
2.0,cherubin
2.0,chęć posiadania
1.0,chędogi
1.0,chętka
2.0,chętliwy
-1.0,chętliwy
1.0,chętny
-2.0,chętny
1.0,chętny
2.0,chętny
1.0,chętny
-1.0,chichot
