comments,emotion,rate
"McKay znalazł błyskotliwą formę dla swojej opowieści, przez którą prowadzą nas również bohaterowie, zwracając się bezpośrednio do widzów. Znakomicie zrównoważył świetne poczucie humoru z wątkami poruszającymi, nadzwyczaj zajmująco budując dramaturgię. Przede wszystkim jednak oparł historię na frapujących i co ważne - autentycznych postaciach.",positive,8.3
Posługuje się w sposób niezwykle finezyjny estetyką dokumentalizującą.,positive,8.3
"Lekki w formie, błyskotliwy ""Big short"" jest filmem bardzo ważnym i potrzebnym.",positive,8.3
"Świetnie opowiedziana historia, która pozwala zrozumieć genezę i konsekwencje kryzysu finansowego. Już sama obsada aktorska zachęca do sięgnięcia właśnie po tę pozycję.",positive,8.0
"Choć film ciężki i nudny, warto go zobaczyć. Zrozumieć procesy, które wpłynęły na nasze życia.",positive,8.0
"Mało z tego zrozumiałem, ale nie przeszkodziło mi to dobrze się bawić, poznając tę historię. Sprawdźcie, czy będziecie mieć podobnie - moim zdaniem warto.",positive,8.0
"Dawno jednak nie trafiłam na film, z którego tak dużo nie zrozumiałam, a który jednak tak bardzo mi się podobał.",positive,8.0
"Doskonale zrealizowany film będzie w ścisłej czołówce w wyścigu po Oscary, bo i temat na czasie, i aktorstwo naprawdę przednie, a że jest mądry i ważny tylko pomagają go lubić.",positive,8.0
Zaskakująco szalony jak na film o facetach w garniturach.,positive,8.0
"Przystępnie, wartko i z humorem.",positive,8.0
"Twórcy swój światopogląd prezentują jasno i inteligentnie. Dawno nikt z taką gracją nie wcielał w życie poczciwej oświeceniowej zasady ""bawiąc, uczyć"".",positive,8.0
Kompensacyjna komedia o przyczynach kryzysu ekonomicznego z 2008 roku. I jednocześnie o ludzkiej głupocie. Diabelsko sprytna.,positive,7.5
"Potrafi zafascynować, ale i znużyć, zaciekawić, ale też ugiąć się pod ciężarem braku znajomości terminów i zawiłości procesów bankowych itd.",positive,7.0
"Cieszę się, że reżyser zdecydował się na walkę z wiatrakami. Nawet jeżeli tylko je pokazał, warto było nakręcić ten film.",positive,7.0
"Dobrze, że twórcy nie uciekają się do taniego moralizowania, nie wskazują konkretnie sprawców kryzysu w postaci konkretnych osób czy nawet instytucji, ale wyraźnie sygnalizują, że wpłynęło na to wiele czynników.",positive,7.0
"Ogląda się to przede wszystkim przyjemnie. McKay tworzy dzieło atrakcyjne, świetne wizualnie, z porządną, energetyczną ścieżką dźwiękową, która nie pozwoli popaść w czasie oglądania w marazm.",positive,7.0
"Film ten choć ubrany w szaty komedii, nie należy do seansów łatwych. Tym, których nie wciągnie dość zawiła opowieść, na pocieszenie zostają kreacje aktorskie, a zdolnych aktorów w tej produkcji jest akurat pod dostatkiem.",positive,6.0
"Mam jednak wrażenie, że film został stworzony nie dla zwykłych ludzi tylko tych specjalizujących się w temacie.",positive,6.0
"McKayowi paradoksalnie udaje się pośród chaosu i świecidełek zawrzeć klarowną, z biegiem czasu coraz bardziej zajmującą historię. Tak więc, mimo przefajnowania - warto.",positive,6.0
"Jest śmiałą próbą przedstawienia początków kryzysu finansowego w możliwie przystępny sposób, na dodatek balansując pomiędzy dramatem a komedią.",positive,6.0
"Film z ciekawym pomysłem i ze skopaną realizacją, gdzie powaga miesza się z groteską, a ciągłe puszczanie ""oczka"" do widza nuży już po drugim zdaniu Ryana Goslinga.",negative,5.0
"Ma w sobie słodycz ""Amelii"", jest poetycki, ale nie koturnowy, śmieszny, ale nie ośmieszający, zuchwały, ale nie obraźliwy. I wcale nie tak bluźnierczy, jakby zapowiadał początek: nie ma tu śladu cynicznej zgrywy, szuka się w nim - fakt, że przewrotnie - alternatywnych ładów moralnych, szuka nadziei.",positive,8.3
"Przepełniony jest gagami, które stanowią spójny rozwój fabuły oraz utrzymują zainteresowanie widza.",positive,8.0
"Obrazoburczy w założeniu, ale w wykonaniu już nieco mniej. Van Dormael nie liczy bowiem na ekskomunikę, ale po prostu na dobrą zabawą. I ją zapewnia.",positive,8.0
"Bardzo dobrze zrealizowana komedia, która powinna bawić w szczególności wybredniejszych widzów.",positive,8.0
"Im dalej w las, tym słabiej i nie cały film trzyma wysoki fason. Ale i tak warto.",positive,7.0
"Jego sztywna forma miejscami trochę nuży, lecz treść tworzy jeden z najbardziej przejmujących, ekranowych obrazów człowieczeństwa.",positive,6.7
"Byłem bliżej rozczarowania, niż oczarowania, ale w regularnym repertuarze ""Zupełnie Nowym Testamentem"" można się zupełnie swobodnie zachwycać.",positive,6.7
"Stanowi z pewnością przede wszystkim ciekawy pomysł na film, który niestety z kolejnymi minutami nieco się rozmywa. Mimo to, ze względu na humor i wykreowanie postaci i świata, ogląda się go z przyjemnością.",positive,6.0
"Ma swoje niezłe momenty, choć jest nieco zbyt przeciągnięty i trochę udający bycie czymś poważniejszym niż tylko zwykłą komedią fantasy. Ale na szczęście w wielu momentach potrafi przyzwoicie widza rozbawić i w sumie chyba właśnie o to chodzi.",positive,6.0
Wypełniony jest oklepanymi do bólu prawdami objawionymi i ogranymi chwytami.,positive,6.0
"Van Dormael nie zaskoczył i nie stworzył filmu stricte gatunkowego. Belgijski reżyser dalej łączy zabawne z poważnym, chociaż w innych proporcjach i nie jest już w takiej formie jak przy poprzednich filmach.",positive,6.0
"Ciekawa propozycja dla widzów z dystansem do siebie, religii i swojej wiary.",positive,6.0
"Jest efektownym poradnikiem samoakceptacji, ""Biblią dla opornych"", niezłą komedią i przyzwoitą tragedią. Wszystkim tylko nie filmem, który sugeruje tytuł.",positive,6.0
"Co chwilę gubi tempo. Pośród natłoku często dowcipnych pomysłów ginie feeling, tak potrzebny w przywiązaniu widza do komediowego repertuaru.",negative,5.0
"Jest więc filmem przyzwoitym, ale na wielkie laury nie zasługuje.",negative,5.0
"Pozostaje ciekawym konceptem, którego rozwinięcie mogłoby być o wiele lepsze.",negative,5.0
"Laicka zabawa katolicką ikonografią i schematami z hollywoodzkiego kina biblijnego. Ani obrazoburcza, ani specjalnie mądra w swojej przewrotności.",negative,5.0
"Historyczno-materialistyczny model kina upchnięty w niby-rozrywkowy film i zakamuflowany pod słowem ""komedia"" odbieram jako próbę oszustwa.",negative,4.0
"Ogół puent, gagów i humorystycznych zabiegów to w większości katalog już dawno zużyty i zwyczajnie mało zabawny. Film zaledwie snuje się po powierzchni i niestety nieudolnie usiłuje stworzyć niebanalną narrację.",negative,4.0
"Ślizga się po nieco kontrowersyjnym temacie, ale poprzez nijaką i nudną warstwę fabularną, nuży szybciej niż powietrze wypuszczane z napompowanego balonika.",negative,4.0
"Pisanie o mistrzostwie Sekretu w ich oczach jako takim byłoby przesadą, ale jeśli nie oglądało się pierwszej wersji thrillera, ani nie czytało książki, na podstawie której powstały obydwie produkcje, film Billy'ego Raya można po prostu uznać za dobry.",positive,7.2
Nie jest to bynajmniej zły lub całkiem nieudany film - po prostu w zestawieniu z oryginałem wypada blado...,positive,6.0
"Dłużył mi się strasznie. Ostatecznie okazało się, że warto było poczekać, ale rozwlekanie tego ""dzieła"" służy chyba tylko temu, żeby było bardziej ""artystyczne"".",negative,5.0
"Na tle poprzednich filmów reżysera rozczarowuje. Brak jest ciekawie opowiedzianej historii, niemalże liźnięcie kwestii dotyczącej walki z terroryzmem i brakiem chemii między odtwórcami głównych ról rażą swoją sztucznością.",negative,5.0
Marna - choć w obsadzie błyszcząca od gwiazd - wersja argentyńskiego thrillera.,negative,5.0
Jednoujęciowy majstersztyk z argentyńskiego oryginału zmienił się tutaj w banał. I to samo można powiedzieć o całym filmie.,negative,5.0
"Zręczny technicznie i aktorsko remake argentyńskiego arcydzieła, pozbawiony jego siły i polotu.",negative,4.0
"Rzecz profesjonalnie zrobiona, ale pusta. Dramaty, przegrane uczucia, bolesne tragedie - wszystko to wypada w filmie bezdusznie.",negative,4.0
"Wszystkie tragedie, rozterki i dramatyczne twisty oryginału tutaj wieją pustką. Gęsta, przejmująca i szokująca historia zmienia się w przeciętny thriller, który zapominamy krótko po odstawieniu na podłogę popcornu.",negative,3.3
"Mimo wielu wad, film Krzysztofa Langa ogląda się naprawdę dobrze.",positive,7.0
"Polska komedia romantyczna, która miło zaskakuje.",positive,6.7
"Niezły, ale z charakterem.",positive,6.0
"Krzysztofowi Langowi daleko do brawury Lejdis Tomasza Koneckiego czy banalności Och Karol 2 Piotra Wereśniaka, dzięki czemu plasuje się w bezpiecznym środku poprawnego opowiadania, które gwarantuje niegłupią rozrywkę o kobiecej sile i niezależności.",positive,6.0
"Coś, co zapowiadało się na szmirowatą komedię romantyczną, jest całkiem udanym dziełem, które przy okazji sprzedaje kilka prawd o teraźniejszości. Nie wszystko zostało dograne w stu procentach, ale nie można powiedzieć, że się to ogląda źle.",positive,6.0
"Komercyjny film, zupełnie oderwany od rzeczywistości. Wiem jednak, że czasem przychodzi humor na coś lekkiego, niewymagającego użycia mózgu. Ten film spełnia te wymagania pierwszorzędnie.",negative,5.0
"Produkcja Krzysztofa Langa to kolejna z wielu, które opowiadają o tym samym i w taki sam sposób. A szkoda, bo można było wycisnąć z tego tematu o wiele więcej.",negative,5.0
"Powstał bezpieczny, niewymagający film, na który możecie zabrać ciocię z babcią.",negative,4.0
"Najgorsze, że Słaba płeć? nie jest zbyt śmieszna. Tfu - nie jest w ogóle śmieszna! To kino lekkie oraz bezpretensjonalne, które nie bawi i nie wciąga.",negative,3.5
"Cykl ładnych, schematycznych obrazków, demaskujących nowomiejski sen o sukcesie. W zamyśle, twórcy postanowili przerysować i wyostrzyć pewne zdarzenia, jednak nie podołali konwencji. Gdzieś po drodze wszystko się rozsypuje i gubi.",negative,3.0
Jest po prostu... śmiesznie.,negative,2.0
Kino najgorszego sortu. Komediowy rak który drąży polskie kino i którego należy się jak najszybciej pozbyć aby nie męczyło naszych umysłów.,negative,1.5
Nareszcie mądra animacja dla małych i dużych.,positive,9.0
"Produkcja pozornie skierowana do najmłodszego grona odbiorców jest ciepłym, serdecznym, sympatycznym filmem. Starsi mogą poczuć nutkę nostalgii wobec ferajny: Linusa, Lucy, Patty, Schroedera i nie będzie w tym nic złego, bo przypomną sobie początki znajomości z Charlie Brownem.",positive,7.0
"Przeurocza animacja. Radosna i ciepła, pełna pozytywnej energii.",positive,7.0
Polecam dla małych i dużych.,positive,7.0
"Mimo wygładzenia, ""Fistaszki"" okazały się całkiem sensowną przekąską.",positive,7.0
"Dzieciaki dostają film, jakich w zasadzie już się nie produkuje - bez przedawkowania brutalności, słodyczy i odwołań do świata popkultury, inteligentny, oparty na charakterach.",positive,7.0
"Miła, świeża rozrywka dla tych, którzy nie żywią fanatycznego sentymentu do oryginalnego komiksu.",positive,6.0
"Jeśli nie zna się oryginalnych Fistaszków, całość sprawia wrażenie tworu dziwnego, trochę banalnego, ale z urokiem i sercem, a przez to też nierównego.",positive,6.0
"Fani oryginalnego gazetowego komiksu nie mają w kinie czego szukać. Ironiczne, melancholijne poczucie humoru Charlesa Schulza przerobiono na sentymentalny bieg z przeszkodami.",negative,5.0
"Problemem głównym kinowej wersji Fistaszków jest to, że nie udało się przenieść tego momentu, w którym czytelnik mógł w samotności kontemplować komiks. Jednak nie mogę napisać złego słowa o producentach.",negative,5.0
"Jeżeli cenicie sobie naturalność, a wręcz naturalizm, jeżeli lubicie historie z fajerwerkami o ponadprzeciętnych i niewiarygodnych, a jednak prawdziwych czynach, to tutaj tego nie znajdziecie. Znajdziecie za to dużo abstrakcyjnego i kreatywnego myślenia, sympatyczną bohaterkę i jej mniej sympatyczną rodzinę oraz prawdę, że wielkość nie oznacza wyłącznie czynów w stylu podbijania K2 zimą.",positive,8.0
"Motywacja, humor, mocne charaktery i barwne postaci. Jak dla mnie to całkiem dobry przepis na udany film. Gdy do tego dochodzi intryga, to mamy już murowany sukces.",positive,8.0
"Kolejny przykład solidnego rzemiosła Russela, pokazującego jak znakomicie prowadzi aktorów. To dzięki nim ta historia świetnie się ogląda, pokazując jak wiele szczęścia i uporu trzeba, by spełniać swoje marzenia.",positive,7.0
"Byłby kolejną przewidywalną historią o spełnionym american dream, gdyby nie dobre aktorstwo Lawrence, która razem z Robertem De Niro, Virginią Madsen i Isabellą Rossellini stworzyła żywe i angażujące uwagę widza relacje.",positive,7.0
"Świetne tempo, idealny montaż, zdecydowane prowadzenie i fantastyczna Lawrence, która kolejny już raz udowadnia, że jest naprawdę świetną aktorką.",positive,7.0
"Jeśli coś można filmowi zarzucić, to zbyt długi i trochę chaotyczny wstęp, potem już akcja rusza z kopyta.",positive,7.0
"W stu procentach film jednego aktora. Jennifer Lawrence ""zabiera"" dla siebie najlepsze sceny i dialogi, a występujący obok niej Bradley Cooper i Robert De Niro są właściwie niepotrzebnym męskim rekwizytem.",positive,7.0
Rzadko portretowane są tak silne osobowości kobiece.,positive,7.0
Estetyka pierwszej połowy lat 90. na szklanym ekranie to perwersyjna przyjemność dosłownie dla wszystkich.,positive,7.0
"Dawno nie oglądałem filmu, który daje tak porządnego, pozytywnego kopa i jednocześnie przynosi świadomość, że nie oglądamy wcale typowej, hollywoodzkiej bajeczki.",positive,7.0
Niepokojące obserwacje dotyczące amerykańskiego snu reżyser wreszcie poparł ciekawym złamaniem formy.,positive,6.7
"Problem w tym, że z jednej strony od konwencjonalności nie da się tu uciec, z drugiej - że połączenie dramatu z komedią i rzeczywistości z baśnią nie przebiega tu bezkolizyjnie i w tonacji filmu pojawiają się zgrzyty.",positive,6.7
"Dygresyjny, zabawny, świetnie zagrany i mimo dramatycznych twistów podtrzymuje na duchu.",positive,6.7
"Widz cofa się do przeszłości, gdzie Russell się jeszcze uczył, zaś on sam cofa się do punktu wyjścia, gdzie znów musi dobierać aktorów pod napisane postacie, a nie pisać postacie pod aktorów.",positive,6.3
"Nie chcę całkowicie przekreślać filmu O'Russella, bo nie do końca do mnie przemówił, ale pozostało we mnie wystarczająco dużo dobrego i kilka ciekawych myśli, żeby wyjść z projekcji z pełną głową. W następnym filmie proszę jednak dać Jennifer trochę inną rolę.",positive,6.0
"Film, który mógłby być ciekawym hołdem dla intrygującej kobiety, jest niczym więcej niż niespójną układanką eksperymentów z formą.",positive,6.0
"Szalenie nierówny, w którym wszystkiego jest za dużo.",positive,6.0
Obecny kształt filmu pozostawia niedosyt i rozczarowuje.,positive,6.0
"Może bawić i inspirować, jednak jego mankamenty i słodko-gorzki posmak równie dobrze mogą prowadzić do poczucia rozczarowania.",positive,6.0
"Choć projekt ""kino-noweli"" Russella raczej się nie udaje, to ""Joy"" i tak wychodzi na swoje.",positive,6.0
"Uroczej, pyzatej blondynce nie udało się udźwignąć tego filmu powyżej przeciętności.",negative,5.0
"Budując przekonanie, że nie warto rezygnować z życiowych marzeń, tylko za wszelką cenę próbować się z nimi zmierzyć, co chwilę grzęźnie w banałach rodem z telenoweli. Tą swoistą huśtawkę nadziei i rozczarowań ratuje - bez zaskoczeń - wyborne aktorstwo.",negative,5.0
"Bite dwie godziny nudy, kiepskich dialogów, płaskich postaci i monotonności. I nawet dobra Jennifer Lawrecene nie jest w stanie obronić tego filmu.",negative,5.0
"Zamiast interesującego filmu o feministycznym wydźwięku, wyszło kino nieforemne, męczące i zdecydowanie za długie. Rozczarowanie.",negative,5.0
"Optymistyczna, ale wtórna historia jednej aktorki.",negative,5.0
Komediodramat bez komedii i bez dramatu.,negative,5.0
"Wiele w tym filmie różnorodnych elementów, lecz bardzo mały ich odsetek został wykonany chociażby poprawnie.",negative,4.5
"Skrajnie nieprzemyślany, niedorobiony, prowadzony ręką reżysera, który zachowuje się tak, jakby znudził go jego własny styl.",negative,4.0
"Jennifer Lawrence gra jak Renee Zellweger, a Isabella Rossellini jak postać z kreskówki. To się nie klei!",negative,4.0
"Russell połączył zbyt wiele koncepcji i wątków na raz, przez co produkcja stała się ciężkostrawna. Niestety, w Joy, nie ma za grosz tytułowej radości.",negative,4.0
Bardzo rzadko wzruszam się na filmach. Tym razem jednak naprawdę zaszkliły mi się oczy. Wielkie kino.,positive,10.0
Kawał świetnego kina bokserskiego.,positive,10.0
Na takiego Rocky'ego wszyscy czekali - czapki z głów.,positive,10.0
"Zrobiony jest z wyczuciem, szacunkiem i mądrością należną cyklowi, który ma przywilej kontynuować.",positive,9.0
"Dobiegający siedemdziesiątki Rocky Balboa jest jak sam film: szczery, empatyczny, ujmująco prostolinijny.",positive,9.0
Jest faktycznie filmem wyjątkowo udanym i godnym uwagi.,positive,9.0
"Ponadczasowe dzieło, które złotymi literami wpisze się zarówno w historię ""Rocky'ego"", jak i całej kinematografii.",positive,9.0
"Kawał rzetelnego filmu, a gdyby spojrzeć na ostatnie 12 miesięcy, jest też jedną z nielicznych naprawdę udanych kontynuacji hitów sprzed lat.",positive,9.0
"Najlepsza część serii od czasu oryginalnego ""Rocky'ego"".",positive,9.0
"W świecie rozrywki rządzonym przez sequele, rebooty i remake'i ""Creed"" jest ewenementem. Jednym z nielicznych filmów, które składając hołd dawnemu herosowi, tworzą zupełnie nową filmową jakość.",positive,8.5
"Najlepszy jest finał, zarówno ten ringowy, jak i później, gdy Ryan Coogler nawiązuje do historii Rocky'ego - prawdziwa wisienka na torcie.",positive,8.3
"Tak dobrze już dawno nie było. Wystarczy usłyszeć świst wyprowadzanych ciosów i inne odgłosy ringu, by dać się porwać ""Creedowi"". Dla fanów kina sportowego - seans obowiązkowy.",positive,8.3
"Historię z ""Creeda"" i postać legendarnego Rocky'ego połączono po mistrzowsku.",positive,8.0
"Nie jest filmem rewolucyjnym. Jednak dawno nie było w kinie tak satysfakcjonującej rozrywki w starym, dobrym stylu.",positive,8.0
"Ma równe i miarodajne tempo, nie czuć w nim ani jednego fałszywego ruchu, wszystko jest odmierzone i dopasowane niczym bokserskie ruchy.",positive,8.0
"Pozycja godna uwagi. Dobrze napisana, wyreżyserowana i zagrana.",positive,8.0
"Przypadł mi do serca głównie za sprawą Stallone'a, który po raz kolejny postanowił odkurzyć postać Rocky'ego. Bez niego ten film by się nie obronił.",positive,8.0
"Przejmujący spektakl, który trzeba zobaczyć. To jak wdrapywanie się na schody, aby u szczytu otrzymać przejmujący widok, który zapiera dech w piersi.",positive,8.0
"Twórcy nie przesadzili jednak z lukrem i odkurzyli po prostu statuę Rockiego dając widzom to co najlepsze z serii. Również to, co najlepsze w dramacie sportowym.",positive,8.0
"Kino najlepszego sortu, które się świetnie ogląda, chociaż całość mocno gra na sentymentach do ""Rocky'ego"". Wciągająca historia, charyzmatyczni bohaterowie, doskonale napisane dialogi i wyborny montaż - to składniki, z których Ryan Coogler stworzył bardzo dobry i solidny film.",positive,8.0
"Pełnokrwiste kino bokserskie, w którym jest miejsce na tradycyjne, dynamicznie zmontowane sceny treningów i walk z opowieścią o przyjaźni czarnoskórego pięściarza z białym trenerem.",positive,8.0
Cooglar świetnie połączył sportowe widowisko z ludzkim dramatem.,positive,8.0
"Kawał świetnego kina i widowisko, które obok pierwszej i szóstej części Rocky'ego staje się jednym z lepszych aktorskich dokonań Sylvestra Stallone.",positive,8.0
"Nie jest to wielkie kino, bo jest pełne schematów, a niektóre wątki - głównie relacja Adonisa z wdową po ojcu - można było bardziej rozbudować i rozwinąć. Niemniej reżyserowi udało się odświeżyć serię, by znów utrzymać w napięciu do finałowego starcia.",positive,7.5
"Naprawdę solidne, męskie kino, które każdy - zarówno ci, którzy na ""Rockim"" się wychowali, jak i ci, dla których nie ma znaczenia kultowego - z pewnością doceni.",positive,7.5
"Z pewnością nie nokautuje, ale stanowi ciekawy wstęp do kolejnej kilkurundowej sagi bokserskiej. Choć czempion wciąż jest tylko jeden.",positive,7.0
Niezła podróż sentymentalna oraz kawał dobrze zrealizowanego kina.,positive,7.0
Imponuje sposób w jaki reżyser oddaje cześć poprzednim odsłonom serii.,positive,7.0
"Do arcydzieła daleko, ale to wystarczająco solidna, potrafiąca pobudzić do życia rundka.",positive,7.0
"Nie nokautuje, ale jest godnym spadkobiercą oryginału, który Ryan Coogler traktuje z nostalgią. Dostarcza przy tym najważniejszego - czyli czysto sportowych emocji.",positive,6.7
"Trzeba przyznać, że powrót do świata boksu jaki zaserwował Ryan Coogler jest nadspodziewanie udany. Pomysł na tę kontynuację jest interesujący i ciekawie poprowadzony. Szkoda tylko, że chwilami idzie na łatwiznę, wybierając przesadnie proste rozwiązania fabularne.",positive,6.5
"W najlepszym wypadku ""Creed"" wydaje się naiwny, a w najgorszym - fałszywy. ""Creeda"" broni jednak energia.",positive,6.5
"Dobrze poszło i wygląda na to, że można się spodziewać kontynuacji.",positive,6.0
"Dobry, choć podążający utartymi ścieżkami.",positive,6.0
"Pokazujący samą istotę fenomenu kina: rzecz nie musi być wybitna, żeby dała się kochać.",positive,6.0
"Nie potrafił mnie dostatecznie zaangażować, a seans oglądało się przez większość czasu bez większego przejęcia wydarzeniami. Braku zaskoczenia opowieścią się spodziewałem, ale wierzyłem, że Coogler będzie miał więcej do zaproponowania.",positive,6.0
"Pełen sentymentalizmu, ale nie brak mu siły.",positive,6.0
"W pomyśle i scenariuszu Ryana Cooglera sporo jest logicznych błędów i wzajemnych sprzeczności. Ale jest też potencjał. Gdyby tylko Michael B. Jordan potrafił je zagrać. Brak talentu odtwórcy głównej roli pasuje do ""Creeda"" jak walkower do mistrza świata.",negative,5.0
"Niestety, ale na ringu po przeciętnej walce zostaje tylko Stallone dla którego jedynie można zobaczyć ten film.",negative,5.0
Czegoś takiego nie można przegapić.,positive,9.5
"Udało się opowiedzieć tragiczną historię bez krztyny patosu, a za to z olbrzymim ładunkiem ciepłego humoru. A wątki dojmujące wcale nie gryzą się z komicznymi w obrębie jednego seansu - bo właśnie w tej ""psychologicznej"" równowadze należałoby szukać najpotężniejszej siły artystycznego sukcesu projekcji.",positive,9.0
"Trudny temat przedstawiony jest tu z dystansem i ironią. ""Moje córki krowy"" to jeden z lepszych polskich filmów ostatnich lat - inteligentne, zabawne, wzruszające kino ze świetnymi rolami aktorskimi.",positive,9.0
Piękny film.,positive,8.5
"Dramat obyczajowy, który sprawy najwyższej wagi rozbraja czułym humorem, bez irytującego patosu. Imponujące reżyserskie wyczucie i świetna aktorska chemia.",positive,8.3
"Tak inteligentnej, przewrotnej i wzruszającej polskiej komedii nie miałem jeszcze okazji oglądać.",positive,8.3
"Historia klasyczna, ale piekielnie dobrze zrealizowana i przemyślana na każdym etapie pracy - od pomysłu, poprzez każdy kostium, aż do wyborów castingowych.",positive,8.0
"Dębska nie bawi się w wyrachowane manipulacje. Nie wyciska łez i nie sypie żarcikami jak z rękawa. Jako autorka jest szczera. Mówi o tym, jak w rodzinie jest.",positive,8.0
"Jest filmem przystępnym dla każdego, niezależnie od wieku, płci czy statusu materialnego.",positive,8.0
"Dla każdego, nie ma widza, który czegoś nie zaczerpnie z tego seansu.",positive,8.0
"Porządny polski komediodramat, w którym te dwa gatunki idealnie się zaziębiają. Są momenty przezabawne, są też smutne i poruszające, ale ogólny wydźwięk jest pozytywny i nie dołuje niepotrzebnie widza.",positive,8.0
Ciepłe i zwyczajne kino pełne emocji.,positive,8.0
"Z jednej strony, ""Moje córki krowy"" to miejscami gorzki dramat i wyciskacz łez, ale też bywa zabawny oraz lekki. Co najważniejsze, nie wywołuje to zgrzytu, jak było w przypadku ""33 scen z życia"".",positive,7.5
"Zdecydowanie jest to film, na który należałoby znaleźć chwilę wolnego czasu, bowiem nie tylko zmusza on do refleksji, ale pozwala na gorzki uśmiech, a tego czasem potrzebuje każdy z nas.",positive,7.0
"Jak najbardziej wart obejrzenia, godny polecenia, zyskujący przy kolejnych projekcjach.",positive,7.0
Jedna rzecz udała się świetnie: realistyczne oddanie słodko-gorzkich relacji we współczesnej polskiej rodzinie. Ale cała reszta wyszła już jak zwykle.,positive,7.0
"Mimo potknięć w warstwie formalnej i zbyt krótkiego metrażu film zdecydowanie broni się emocjami i grą aktorską. Przypomina, aby cieszyć się chwilą, mimo że los często bywa surowy.",positive,7.0
"Umiejętne poprowadzenie gatunkowe sprawia, że ""Moje córki krowy"" ogląda się z niesłabnącym zainteresowaniem oraz wewnętrznym tornadem emocjonalnym.",positive,7.0
"Teoretycznie zwyczajne kino, niepozbawione wad, a jednak ze scenami mocno zapadającymi w pamięć i udanym duetem Kulesza-Dziędziel.",positive,7.0
"Świetnie wyreżyserowana i zagrana tragikomedia o tym, że dorosłość osiągamy dopiero po śmierci rodziców.",positive,7.0
"Momenty złości, wkurzenia, kłótni i pretensji przeplatają się z poczuciem autentycznej bliskości. Pokazanie tego w subtelny sposób, mądra, dowcipna rodzinność tego filmu, jest największą siłą ""Moich córek krów"".",positive,7.0
"Skromne i kameralne kino, będące pełnokrwistym komediodramatem, w którym każdy znajdzie coś dla siebie.",positive,7.0
"Świetny, mądry i potrzebny obraz.",positive,6.7
"Słodko-gorzka pigułka, pełna humoru i ciepła rodzinnego.",positive,6.7
"Momentami polskie ""Czułe słówka"", cały czas aktorski koncert i dobre dialogi przełamujące schemat, który niestety powraca.",positive,6.7
"Na tle produkcji paradokumentalnych, oprócz w miarę przyzwoitego aktorstwa i tematu nie wyróżnia się zbytnio od tego czym karmi nas telewizja.",negative,5.0
"Kolejny komediodramat rodzinny - raz radzący sobie lepiej, innym razem gorzej. Filmowi zdarzają się więc prawdziwe perełki, ale także i pójścia na łatwiznę - fragmenty widziane już w nieskończonej liczbie produkcji.",negative,5.0
"To raczej taka filmowa wesoła laurka o treści ""trzymaj się"", którą daje się smutnym ludziom na stypie. I tyle samo w niej niestety wartości.",negative,4.0
"W dobie produkowanych taśmowo, kiepskich filmów grozy, ""The Forest"" posiada znaczek jakości. Chociaż nie wyróżnia się niczym szczególnym, wszystkie elementy są tutaj na swoim miejscu.",positive,6.5
"Podobnego kina jest naprawdę dużo, jeśli jednak szukacie czegoś, przy czym można parę razy podskoczyć na krześle, gdy na pierwszym planie pojawi się kolejna przerażająca gęba, uwzględnijcie ten tytuł wśród innych branych pod uwagę.",positive,6.0
